ENSCSAP00000018337	ENSCSAG00000018818	Chlorocebus_sabaeus
ENSUPAP00010012338	ENSUPAG00010010026	Urocitellus_parryii
ENSCCEP00000003785	ENSCCEG00000004236	Cyanistes_caeruleus
ENSCJAP00000045326	ENSCJAG00000017463	Callithrix_jacchus
ENSCPGP00000006844	ENSCPGG00000004912	Calidris_pygmaea
ENSRNOP00000067295	ENSRNOG00000050646	Rattus_norvegicus
ENSSMRP00000017729	ENSSMRG00000013832	Salvator_merianae
ENSCPRP00005011867	ENSCPRG00005008459	Crocodylus_porosus
ENSMFAP00000014352	ENSMFAG00000030314	Macaca_fascicularis
ENSAPEP00000018652	ENSAPEG00000013324	Amphiprion_percula
ENSPPAP00000034366	ENSPPAG00000040031	Pan_paniscus
ENSPNYP00000007867	ENSPNYG00000006034	Pundamilia_nyererei
ENSPPYP00000005897	ENSPPYG00000005179	Pongo_abelii
ENSACIP00000022101	ENSACIG00000017192	Amphilophus_citrinellus
ENSMUNP00000017813	ENSMUNG00000013645	Melopsittacus_undulatus
ENSBSLP00000044132	ENSBSLG00000020940	Betta_splendens
ENSGALP00000039928	ENSGALG00000004168	Gallus_gallus
ENSMUSP00000057996	ENSMUSG00000043683	Mus_musculus_strain_reference_(CL57BL6)
ENSDORP00000021367	ENSDORG00000016191	Dipodomys_ordii
ENSCHIP00000011281	ENSCHIG00000013500	Capra_hircus
ENSORLP00015033213	ENSORLG00015018457	Oryzias_latipes_ASM223469v1
ENSDNOP00000034940	ENSDNOG00000043866	Dasypus_novemcinctus
ENSPLAP00000026029	ENSPLAG00000013477	Poecilia_latipinna
ENSLCOP00000009306	ENSLCOG00000006794	Lepidothrix_coronata
ENSMUSP00000100568	ENSMUSG00000078157	Mus_musculus_strain_reference_(CL57BL6)
ENSPMEP00000018372	ENSPMEG00000000534	Poecilia_mexicana
ENSCCNP00000031912	ENSCCNG00000030327	Castor_canadensis
ENSTGUP00000018150	ENSTGUG00000018247	Taeniopygia_guttata
ENSLSDP00000003329	ENSLSDG00000002546	Lonchura_striata_domestica
ENSPMJP00000017087	ENSPMJG00000012880	Parus_major
ENSHHUP00000064227	ENSHHUG00000037913	Hucho_hucho
ENSPPYP00000010560	ENSPPYG00000009417	Pongo_abelii
ENSOARP00000013676	ENSOARG00000012770	Ovis_aries
ENSNBRP00000000086	ENSNBRG00000000089	Neolamprologus_brichardi
ENSPSIP00000006956	ENSPSIG00000006434	Pelodiscus_sinensis
ENSMLUP00000022125	ENSMLUG00000011483	Myotis_lucifugus
ENSGGOP00000008513	ENSGGOG00000008707	Gorilla_gorilla
ENSLBEP00000002461	ENSLBEG00000001941	Labrus_bergylta
ENSGAGP00000001160	ENSGAGG00000000935	Gopherus_agassizii
