ENSDCDP00000022153	ENSDCDG00000017113	Denticeps_clupeoides	ENSDCDT00000030274
ENSELUP00000023609	ENSELUG00000022445	Esox_lucius	ENSELUT00000034882
ENSAMEP00000016935	ENSAMEG00000016048	Ailuropoda_melanoleuca	ENSAMET00000017631
ENSEEUP00000004044	ENSEEUG00000004454	Erinaceus_europaeus	ENSEEUT00000004444
ENSTBEP00000000864	ENSTBEG00000001015	Tupaia_belangeri	ENSTBET00000000994
ENSVPAP00000004704	ENSVPAG00000005073	Vicugna_pacos	ENSVPAT00000005072
ENSOARP00000005459	ENSOARG00000005090	Ovis_aries	ENSOART00000005546
ENSTTRP00000007149	ENSTTRG00000007558	Tursiops_truncatus	ENSTTRT00000007558
ENSPVAP00000011900	ENSPVAG00000012620	Pteropus_vampyrus	ENSPVAT00000012620
ENSPPYP00000015277	ENSPPYG00000013664	Pongo_abelii	ENSPPYT00000015886
ENSPCAP00000002495	ENSPCAG00000002666	Procavia_capensis	ENSPCAT00000002640
ENSCHOP00000004535	ENSCHOG00000005122	Choloepus_hoffmanni	ENSCHOT00000005135
ENSCABP00000003830	ENSCABG00000002884	Chelonoidis_abingdonii	ENSCABT00000004156
