ENSEBUP00000019778	ENSEBUG00000012286	Eptatretus_burgeri
ENSPMAP00000008299	ENSPMAG00000007543	Petromyzon_marinus
ENSMEUP00000002763	ENSMEUG00000003028	Notamacropus_eugenii
ENSVURP00010019420	ENSVURG00010014825	Vombatus_ursinus
ENSSHAP00000007956	ENSSHAG00000006903	Sarcophilus_harrisii
ENSMODP00000046930	ENSMODG00000049547	Monodelphis_domestica
ENSVURP00010006986	ENSVURG00010005416	Vombatus_ursinus
ENSSHAP00000005921	ENSSHAG00000005164	Sarcophilus_harrisii
ENSVURP00010003292	ENSVURG00010002646	Vombatus_ursinus
ENSSHAP00000006936	ENSSHAG00000006028	Sarcophilus_harrisii
ENSCHIP00000004229	ENSCHIG00000008436	Capra_hircus
ENSOARP00000017356	ENSOARG00000016167	Ovis_aries
ENSBMUP00000013669	ENSBMUG00000010434	Bos_mutus
ENSBIXP00005036506	ENSBIXG00005018094	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000065540	ENSBTAG00000045744	Bos_taurus
ENSBBBP00000006714	ENSBBBG00000000811	Bison_bison_bison
ENSVPAP00000000599	ENSVPAG00000000648	Vicugna_pacos
ENSTTRP00000012436	ENSTTRG00000013108	Tursiops_truncatus
ENSSSCP00000013418	ENSSSCG00000012620	Sus_scrofa_strain_reference
ENSEASP00005018717	ENSEASG00005012904	Equus_asinus_asinus
ENSECAP00000019938	ENSECAG00000022495	Equus_caballus
ENSPVAP00000003085	ENSPVAG00000003266	Pteropus_vampyrus
ENSMLUP00000005133	ENSMLUG00000005621	Myotis_lucifugus
ENSPTIP00000016704	ENSPTIG00000015381	Panthera_tigris_altaica
ENSPPRP00000002128	ENSPPRG00000023645	Panthera_pardus
ENSFCAP00000008104	ENSFCAG00000008742	Felis_catus
ENSUMAP00000002378	ENSUMAG00000002134	Ursus_maritimus
ENSUAMP00000037469	ENSUAMG00000028368	Ursus_americanus
ENSAMEP00000000166	ENSAMEG00000000152	Ailuropoda_melanoleuca
ENSNVIP00000028953	ENSNVIG00000022340	Neovison_vison
