ENSPSMP00000016989	ENSPSMG00000012108	Prolemur_simus	ENSPSMT00000019748
ENSOGAP00000020393	ENSOGAG00000026802	Otolemur_garnettii	ENSOGAT00000030662
ENSPPAP00000001512	ENSPPAG00000006844	Pan_paniscus	ENSPPAT00000007379
ENSPTRP00000080906	ENSPTRG00000043804	Pan_troglodytes	ENSPTRT00000080800
ENSP00000331500	ENSG00000182459	Homo_sapiens	ENST00000333437
ENSGGOP00000035271	ENSGGOG00000038115	Gorilla_gorilla	ENSGGOT00000050215
ENSPPYP00000009852	ENSPPYG00000008776	Pongo_abelii	ENSPPYT00000010244
ENSNLEP00000024954	ENSNLEG00000035142	Nomascus_leucogenys	ENSNLET00000050075
ENSTGEP00000014976	ENSTGEG00000012169	Theropithecus_gelada	ENSTGET00000017947
ENSMMUP00000044341	ENSMMUG00000044068	Macaca_mulatta	ENSMMUT00000074668
ENSCSAP00000018559	ENSCSAG00000019047	Chlorocebus_sabaeus	ENSCSAT00000019137
ENSPTEP00000030291	ENSPTEG00000029546	Piliocolobus_tephrosceles	ENSPTET00000041991
ENSMUSP00000037027	ENSMUSG00000039337	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000039146
MGP_CAROLIEiJ_P0031716	MGP_CAROLIEiJ_G0017554	Mus_caroli_strain_CAROLI_EIJ	MGP_CAROLIEiJ_T0031716
ENSMSIP00000013612	ENSMSIG00000011783	Mus_spicilegus	ENSMSIT00000017285
MGP_SPRETEiJ_P0033176	MGP_SPRETEiJ_G0018398	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0033176
MGP_PahariEiJ_P0038438	MGP_PahariEiJ_G0018681	Mus_pahari_strain_PAHARI_EIJ	MGP_PahariEiJ_T0038438
ENSRNOP00000051810	ENSRNOG00000036671	Rattus_norvegicus	ENSRNOT00000054927
ENSMUGP00000022716	ENSMUGG00000019023	Meriones_unguiculatus	ENSMUGT00000026055
ENSMSIP00000013605	ENSMSIG00000011776	Mus_spicilegus	ENSMSIT00000017277
MGP_SPRETEiJ_P0033177	MGP_SPRETEiJ_G0018399	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0033177
ENSMUSP00000048592	ENSMUSG00000039329	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000039088
ENSRNOP00000051811	ENSRNOG00000036670	Rattus_norvegicus	ENSRNOT00000054928
ENSMUGP00000022708	ENSMUGG00000019019	Meriones_unguiculatus	ENSMUGT00000026044
ENSPEMP00000019513	ENSPEMG00000017784	Peromyscus_maniculatus_bairdii
ENSMOCP00000019488	ENSMOCG00000017463	Microtus_ochrogaster
ENSCGRP00001011549	ENSCGRG00001013174	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000022551	ENSCGRG00000016346	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015032319	ENSCGRG00015024390	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000002218	ENSMAUG00000001776	Mesocricetus_auratus
ENSNGAP00000008949	ENSNGAG00000011788	Nannospalax_galili
ENSJJAP00000007429	ENSJJAG00000011841	Jaculus_jaculus
ENSCCNP00000009805	ENSCCNG00000010321	Castor_canadensis
ENSCCNP00000009814	ENSCCNG00000010330	Castor_canadensis
ENSSDAP00000016283	ENSSDAG00000014731	Spermophilus_dauricus
ENSSTOP00000022173	ENSSTOG00000021594	Ictidomys_tridecemlineatus
ENSMMMP00000003452	ENSMMMG00000003173	Marmota_marmota_marmota
ENSTBEP00000009125	ENSTBEG00000010570	Tupaia_belangeri
ENSUAMP00000000475	ENSUAMG00000000504	Ursus_americanus
ENSUAMP00000002217	ENSUAMG00000002052	Ursus_americanus
ENSUMAP00000000685	ENSUMAG00000000765	Ursus_maritimus
ENSAMEP00000008389	ENSAMEG00000007979	Ailuropoda_melanoleuca
ENSNVIP00000022277	ENSNVIG00000017384	Neovison_vison
ENSFCAP00000044777	ENSFCAG00000046356	Felis_catus
ENSEASP00005008156	ENSEASG00005005907	Equus_asinus_asinus
ENSECAP00000039741	ENSECAG00000035116	Equus_caballus
ENSBIXP00000032306	ENSBIXG00000014839	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00000023856	ENSBIXG00000001626	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005035487	ENSBIXG00005016635	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000054895	ENSBTAG00000053776	Bos_taurus
ENSBMUP00000020806	ENSBMUG00000015673	Bos_mutus
ENSBBBP00000006476	ENSBBBG00000001041	Bison_bison_bison
ENSOARP00000000134	ENSOARG00000000160	Ovis_aries
ENSBIXP00000009131	ENSBIXG00000014841	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005035489	ENSBIXG00005016644	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000020343	ENSBTAG00000050312	Bos_taurus
ENSBMUP00000020819	ENSBMUG00000015680	Bos_mutus
ENSBBBP00000006472	ENSBBBG00000001044	Bison_bison_bison
ENSOARP00000017961	ENSOARG00000016723	Ovis_aries
ENSTTRP00000012470	ENSTTRG00000013141	Tursiops_truncatus
ENSSSCP00000072400	ENSSSCG00000044039	Sus_scrofa_strain_reference
ENSLAFP00000018579	ENSLAFG00000031831	Loxodonta_africana
ENSPCAP00000006489	ENSPCAG00000006989	Procavia_capensis
