ENSLSDP00000005910	ENSLSDG00000004551	Lonchura_striata_domestica
ENSTGUP00000013844	ENSTGUG00000013445	Taeniopygia_guttata
ENSCCEP00000003978	ENSCCEG00000004424	Cyanistes_caeruleus
ENSPMJP00000003197	ENSPMJG00000002830	Parus_major
ENSSCAP00000011701	ENSSCAG00000008647	Serinus_canaria
ENSFALP00000004874	ENSFALG00000004680	Ficedula_albicollis
ENSJHYP00000020283	ENSJHYG00000015319	Junco_hyemalis
ENSZALP00000011159	ENSZALG00000009451	Zonotrichia_albicollis
ENSMVIP00005001757	ENSMVIG00005001390	Manacus_vitellinus
ENSLCOP00000015173	ENSLCOG00000010843	Lepidothrix_coronata
ENSMUNP00000007642	ENSMUNG00000006118	Melopsittacus_undulatus
ENSCPUP00000018341	ENSCPUG00000012633	Calidris_pugnax
ENSCPGP00000022846	ENSCPGG00000015852	Calidris_pygmaea
ENSAPLP00000011629	ENSAPLG00000011832	Anas_platyrhynchos_platyrhynchos
ENSAPLP00000026276	ENSAPLG00000019817	Anas_platyrhynchos_platyrhynchos
ENSABRP00000017849	ENSABRG00000015188	Anser_brachyrhynchus
ENSGALP00000043522	ENSGALG00000034317	Gallus_gallus
ENSMGAP00000015375	ENSMGAG00000014522	Meleagris_gallopavo
ENSCJPP00005005465	ENSCJPG00005005212	Coturnix_japonica
ENSNMEP00000011920	ENSNMEG00000011169	Numida_meleagris
ENSAOWP00000013094	ENSAOWG00000008932	Apteryx_owenii	ENSAOWT00000014883
ENSAHAP00000027532	ENSAHAG00000018938	Apteryx_haastii	ENSAHAT00000030323
ENSARWP00000020063	ENSARWG00000013748	Apteryx_rowi	ENSARWT00000022778
ENSDNVP00000012492	ENSDNVG00000008754	Dromaius_novaehollandiae	ENSDNVT00000015051
ENSNPEP00000012246	ENSNPEG00000009146	Nothoprocta_perdicaria	ENSNPET00000012552
ENSCPRP00005020780	ENSCPRG00005014469	Crocodylus_porosus
ENSGAGP00000031350	ENSGAGG00000022523	Gopherus_agassizii
ENSCABP00000012421	ENSCABG00000008549	Chelonoidis_abingdonii
ENSCPBP00000008183	ENSCPBG00000006402	Chrysemys_picta_bellii
ENSNSUP00000023787	ENSNSUG00000017211	Notechis_scutatus
ENSNSUP00000023788	ENSNSUG00000017213	Notechis_scutatus
ENSACAP00000020720	ENSACAG00000003006	Anolis_carolinensis
ENSACAP00000019089	ENSACAG00000023409	Anolis_carolinensis
ENSPVIP00000014910	ENSPVIG00000008494	Pogona_vitticeps
ENSSMRP00000030035	ENSSMRG00000023061	Salvator_merianae
ENSSPUP00000016224	ENSSPUG00000012552	Sphenodon_punctatus
ENSPTRP00000053992	ENSPTRG00000023787	Pan_troglodytes
ENSPTRP00000091422	ENSPTRG00000048135	Pan_troglodytes
ENSPPAP00000007567	ENSPPAG00000026784	Pan_paniscus
ENSP00000409667	ENSG00000159082	Homo_sapiens
ENSGGOP00000015563	ENSGGOG00000015945	Gorilla_gorilla
ENSPPYP00000012687	ENSPPYG00000011365	Pongo_abelii
ENSNLEP00000031272	ENSNLEG00000003734	Nomascus_leucogenys
ENSPANP00000010251	ENSPANG00000022531	Papio_anubis
ENSTGEP00000034176	ENSTGEG00000027256	Theropithecus_gelada
ENSMLEP00000026181	ENSMLEG00000037029	Mandrillus_leucophaeus
ENSCATP00000020590	ENSCATG00000033891	Cercocebus_atys
ENSMMUP00000035609	ENSMMUG00000004624	Macaca_mulatta
ENSMFAP00000012432	ENSMFAG00000018883	Macaca_fascicularis
ENSMNEP00000034411	ENSMNEG00000040077	Macaca_nemestrina
ENSCSAP00000005902	ENSCSAG00000009654	Chlorocebus_sabaeus
ENSPTEP00000010885	ENSPTEG00000012150	Piliocolobus_tephrosceles
ENSCANP00000016156	ENSCANG00000031359	Colobus_angolensis_palliatus
ENSRROP00000031398	ENSRROG00000039256	Rhinopithecus_roxellana
ENSRBIP00000021151	ENSRBIG00000034477	Rhinopithecus_bieti
ENSSBOP00000008186	ENSSBOG00000021001	Saimiri_boliviensis_boliviensis
ENSCCAP00000006153	ENSCCAG00000020825	Cebus_capucinus_imitator
ENSCJAP00000044134	ENSCJAG00000009187	Callithrix_jacchus
ENSANAP00000019221	ENSANAG00000027325	Aotus_nancymaae
ENSTSYP00000013373	ENSTSYG00000014541	Carlito_syrichta
ENSMICP00000044997	ENSMICG00000034953	Microcebus_murinus
ENSPCOP00000025231	ENSPCOG00000024841	Propithecus_coquereli
ENSPSMP00000012859	ENSPSMG00000008973	Prolemur_simus
ENSOGAP00000005375	ENSOGAG00000006010	Otolemur_garnettii
ENSTBEP00000014196	ENSTBEG00000016298	Tupaia_belangeri
MGP_SPRETEiJ_P0044137	MGP_SPRETEiJ_G0021857	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000113308	ENSMUSG00000022973	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000019238	ENSMSIG00000016178	Mus_spicilegus
MGP_CAROLIEiJ_P0042238	MGP_CAROLIEiJ_G0020951	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0029599	MGP_PahariEiJ_G0016656	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000060346	ENSRNOG00000002051	Rattus_norvegicus
ENSMUGP00000014779	ENSMUGG00000012587	Meriones_unguiculatus
ENSCGRP00015017497	ENSCGRG00015013383	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001008665	ENSCGRG00001010861	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000021712	ENSCGRG00000015749	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000008297	ENSMAUG00000009743	Mesocricetus_auratus
ENSPEMP00000020989	ENSPEMG00000018767	Peromyscus_maniculatus_bairdii
ENSNGAP00000000623	ENSNGAG00000000453	Nannospalax_galili
ENSJJAP00000019155	ENSJJAG00000020168	Jaculus_jaculus
ENSCCNP00000030616	ENSCCNG00000029221	Castor_canadensis
ENSSTOP00000014153	ENSSTOG00000015806	Ictidomys_tridecemlineatus
ENSUPAP00010002253	ENSUPAG00010001714	Urocitellus_parryii
ENSSDAP00000010379	ENSSDAG00000009350	Spermophilus_dauricus
ENSMMMP00000000725	ENSMMMG00000000553	Marmota_marmota_marmota
ENSCPOP00000021648	ENSCPOG00000012182	Cavia_porcellus
ENSCAPP00000014028	ENSCAPG00000014483	Cavia_aperea
ENSCLAP00000014193	ENSCLAG00000009796	Chinchilla_lanigera
ENSHGLP00100017077	ENSHGLG00100012591	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000008929	ENSHGLG00000006420	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000008551	ENSFDAG00000016818	Fukomys_damarensis
ENSOCUP00000031396	ENSOCUG00000001420	Oryctolagus_cuniculus
ENSOPRP00000012452	ENSOPRG00000013602	Ochotona_princeps
ENSDORP00000013867	ENSDORG00000014735	Dipodomys_ordii
ENSODEP00000003140	ENSODEG00000002409	Octodon_degus
ENSSARP00000008620	ENSSARG00000009490	Sorex_araneus
ENSEEUP00000004804	ENSEEUG00000005150	Erinaceus_europaeus
ENSMLUP00000005276	ENSMLUG00000005764	Myotis_lucifugus
ENSMLUP00000022309	ENSMLUG00000026584	Myotis_lucifugus
ENSUAMP00000026312	ENSUAMG00000018606	Ursus_americanus
ENSUMAP00000027285	ENSUMAG00000018419	Ursus_maritimus
ENSAMEP00000015882	ENSAMEG00000015028	Ailuropoda_melanoleuca
ENSNVIP00000007174	ENSNVIG00000005184	Neovison_vison
ENSMPUP00000001142	ENSMPUG00000001153	Mustela_putorius_furo
ENSCAFP00000052066	ENSCAFG00000009041	Canis_lupus_familiaris
ENSCAFP00020033426	ENSCAFG00020025776	Canis_lupus_dingo
ENSVVUP00000031809	ENSVVUG00000023125	Vulpes_vulpes
ENSPPRP00000002271	ENSPPRG00000023469	Panthera_pardus
ENSPTIP00000005990	ENSPTIG00000007930	Panthera_tigris_altaica
ENSFCAP00000053120	ENSFCAG00000012498	Felis_catus
ENSCHIP00000002480	ENSCHIG00000005095	Capra_hircus
ENSOARP00000014404	ENSOARG00000013414	Ovis_aries
ENSBIXP00000024040	ENSBIXG00000005498	Bos_indicus_x_Bos_taurus_UOA_Angus_1
