ENSATEP00000007320	ENSATEG00000005155	Anabas_testudineus
ENSPMGP00000016797	ENSPMGG00000013776	Periophthalmus_magnuspinnatus
ENSMZEP00005031855	ENSMZEG00005023762	Maylandia_zebra
ENSMMOP00000007352	ENSMMOG00000005719	Mola_mola
ENSFHEP00000031931	ENSFHEG00000018112	Fundulus_heteroclitus
ENSPPYP00000019584	ENSPPYG00000017469	Pongo_abelii
ENSMAMP00000008891	ENSMAMG00000006018	Mastacembelus_armatus
ENSXCOP00000007180	ENSXCOG00000005545	Xiphophorus_couchianus
ENSPLAP00000025517	ENSPLAG00000012584	Poecilia_latipinna
ENSGMOP00000013232	ENSGMOG00000012367	Gadus_morhua
ENSTRUP00000010452	ENSTRUG00000004398	Takifugu_rubripes
ENSSDUP00000024430	ENSSDUG00000017751	Seriola_dumerili
ENSPNYP00000022113	ENSPNYG00000016708	Pundamilia_nyererei
ENSNBRP00000021157	ENSNBRG00000016235	Neolamprologus_brichardi
ENSHCOP00000008767	ENSHCOG00000011092	Hippocampus_comes
ENSDARP00000128023	ENSDARG00000096920	Danio_rerio	ENSDART00000156071
ENSAPEP00000018642	ENSAPEG00000013307	Amphiprion_percula
