ENSECAP00000009066	ENSECAG00000011252	Equus_caballus	ENSECAT00000011584
ENSEEUP00000005002	ENSEEUG00000005522	Erinaceus_europaeus
ENSOARP00000005890	ENSOARG00000005486	Ovis_aries
ENSCHIP00000023065	ENSCHIG00000020800	Capra_hircus
ENSBIXP00000038459	ENSBIXG00000022287	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005033597	ENSBIXG00005014385	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000014919	ENSBTAG00000011233	Bos_taurus
ENSBMUP00000019895	ENSBMUG00000014989	Bos_mutus
ENSBBBP00000007722	ENSBBBG00000015716	Bison_bison_bison
ENSSSCP00000066490	ENSSSCG00000007367	Sus_scrofa_strain_reference
ENSUMAP00000000867	ENSUMAG00000000902	Ursus_maritimus
ENSUAMP00000034712	ENSUAMG00000026367	Ursus_americanus
ENSAMEP00000020644	ENSAMEG00000019599	Ailuropoda_melanoleuca
ENSMPUP00000018905	ENSMPUG00000019027	Mustela_putorius_furo
ENSNVIP00000015178	ENSNVIG00000011897	Neovison_vison
ENSCAFP00000013759	ENSCAFG00000009338	Canis_lupus_familiaris
ENSCAFP00020017038	ENSCAFG00020013648	Canis_lupus_dingo
ENSVVUP00000026144	ENSVVUG00000019198	Vulpes_vulpes
ENSPTIP00000019536	ENSPTIG00000017302	Panthera_tigris_altaica
ENSPPRP00000002971	ENSPPRG00000023086	Panthera_pardus
ENSFCAP00000010353	ENSFCAG00000011143	Felis_catus
ENSMNEP00000034089	ENSMNEG00000040264	Macaca_nemestrina
ENSMFAP00000044948	ENSMFAG00000000223	Macaca_fascicularis
ENSMMUP00000037960	ENSMMUG00000031325	Macaca_mulatta
ENSCSAP00000018273	ENSCSAG00000018751	Chlorocebus_sabaeus
ENSMLEP00000008557	ENSMLEG00000028489	Mandrillus_leucophaeus
ENSCATP00000011795	ENSCATG00000030101	Cercocebus_atys
ENSPANP00000008828	ENSPANG00000003347	Papio_anubis
ENSRBIP00000016605	ENSRBIG00000032329	Rhinopithecus_bieti
ENSRROP00000025293	ENSRROG00000036399	Rhinopithecus_roxellana
ENSCANP00000035111	ENSCANG00000041242	Colobus_angolensis_palliatus
ENSPPYP00000012312	ENSPPYG00000011024	Pongo_abelii
ENSP00000362094	ENSG00000124196	Homo_sapiens
ENSNLEP00000047749	ENSNLEG00000029652	Nomascus_leucogenys
ENSSBOP00000033896	ENSSBOG00000033121	Saimiri_boliviensis_boliviensis
ENSCCAP00000012360	ENSCCAG00000023964	Cebus_capucinus_imitator
ENSANAP00000039434	ENSANAG00000037122	Aotus_nancymaae
ENSTSYP00000021206	ENSTSYG00000033591	Carlito_syrichta
ENSMMMP00000015407	ENSMMMG00000013745	Marmota_marmota_marmota
ENSSDAP00000005048	ENSSDAG00000004737	Spermophilus_dauricus
ENSUPAP00010001418	ENSUPAG00010001233	Urocitellus_parryii
ENSCGRP00015030299	ENSCGRG00015022811	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000025679	ENSCGRG00000018672	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001015982	ENSCGRG00001016445	Cricetulus_griseus_CHOK1GS_HDv1
ENSMOCP00000008200	ENSMOCG00000008147	Microtus_ochrogaster
ENSPEMP00000031448	ENSPEMG00000024644	Peromyscus_maniculatus_bairdii
ENSPEMP00000034923	ENSPEMG00000025625	Peromyscus_maniculatus_bairdii
ENSMSIP00000034217	ENSMSIG00000028544	Mus_spicilegus
MGP_SPRETEiJ_P0058109	MGP_SPRETEiJ_G0025533	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000092237	ENSMUSG00000070708	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0055946	MGP_CAROLIEiJ_G0024611	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0066931	MGP_PahariEiJ_G0026055	Mus_pahari_strain_PAHARI_EIJ
ENSMUGP00000025176	ENSMUGG00000021022	Meriones_unguiculatus
ENSOPRP00000001922	ENSOPRG00000002095	Ochotona_princeps
ENSCPOP00000007375	ENSCPOG00000008201	Cavia_porcellus
ENSCAPP00000000622	ENSCAPG00000000639	Cavia_aperea
ENSCCNP00000006640	ENSCCNG00000007037	Castor_canadensis
ENSMICP00000032792	ENSMICG00000031457	Microcebus_murinus
ENSPCOP00000005448	ENSPCOG00000013630	Propithecus_coquereli
ENSPSMP00000000143	ENSPSMG00000000146	Prolemur_simus
ENSOGAP00000006895	ENSOGAG00000007706	Otolemur_garnettii
ENSCHOP00000001437	ENSCHOG00000001631	Choloepus_hoffmanni
ENSDNOP00000002717	ENSDNOG00000003520	Dasypus_novemcinctus
ENSLAFP00000027843	ENSLAFG00000008405	Loxodonta_africana
