ENSMICP00000030933	ENSMICG00000010744	Microcebus_murinus
ENSPCOP00000010863	ENSPCOG00000016911	Propithecus_coquereli
ENSPSMP00000024756	ENSPSMG00000017440	Prolemur_simus
ENSOGAP00000001158	ENSOGAG00000001296	Otolemur_garnettii
ENSPTRP00000020937	ENSPTRG00000012213	Pan_troglodytes
ENSPPAP00000012523	ENSPPAG00000029440	Pan_paniscus
ENSP00000295225	ENSG00000115041	Homo_sapiens
ENSGGOP00000009619	ENSGGOG00000009841	Gorilla_gorilla
ENSPPYP00000013442	ENSPPYG00000012056	Pongo_abelii
ENSRBIP00000008492	ENSRBIG00000028142	Rhinopithecus_bieti
ENSRROP00000031367	ENSRROG00000039385	Rhinopithecus_roxellana
ENSCANP00000038389	ENSCANG00000042861	Colobus_angolensis_palliatus
ENSPTEP00000014054	ENSPTEG00000015697	Piliocolobus_tephrosceles
ENSCATP00000040445	ENSCATG00000042814	Cercocebus_atys
ENSPANP00000011482	ENSPANG00000018833	Papio_anubis
ENSTGEP00000012799	ENSTGEG00000010439	Theropithecus_gelada
ENSCSAP00000013423	ENSCSAG00000017397	Chlorocebus_sabaeus
ENSMNEP00000003202	ENSMNEG00000014727	Macaca_nemestrina
ENSMMUP00000063222	ENSMMUG00000059372	Macaca_mulatta
ENSMFAP00000030214	ENSMFAG00000042264	Macaca_fascicularis
ENSMLEP00000028875	ENSMLEG00000038635	Mandrillus_leucophaeus
ENSCCAP00000023259	ENSCCAG00000029404	Cebus_capucinus_imitator
ENSCJAP00000035104	ENSCJAG00000018883	Callithrix_jacchus
ENSSBOP00000019037	ENSSBOG00000026087	Saimiri_boliviensis_boliviensis
ENSANAP00000017427	ENSANAG00000026585	Aotus_nancymaae
ENSTSYP00000034903	ENSTSYG00000026882	Carlito_syrichta
ENSETEP00000011361	ENSETEG00000014002	Echinops_telfairi
ENSMAUP00000008785	ENSMAUG00000010104	Mesocricetus_auratus
ENSMOCP00000013737	ENSMOCG00000013430	Microtus_ochrogaster
ENSMSIP00000022511	ENSMSIG00000019089	Mus_spicilegus
ENSRNOP00000071572	ENSRNOG00000014152	Rattus_norvegicus
ENSDORP00000015003	ENSDORG00000025385	Dipodomys_ordii
ENSCPOP00000013569	ENSCPOG00000015053	Cavia_porcellus
ENSCAPP00000002564	ENSCAPG00000005544	Cavia_aperea
ENSCLAP00000006362	ENSCLAG00000004497	Chinchilla_lanigera
ENSHGLP00000011679	ENSHGLG00000008371	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100017676	ENSHGLG00100013041	Heterocephalus_glaber_HetGla_1.0
ENSSTOP00000021215	ENSSTOG00000027755	Ictidomys_tridecemlineatus
ENSOPRP00000001286	ENSOPRG00000001400	Ochotona_princeps
ENSTBEP00000001693	ENSTBEG00000001966	Tupaia_belangeri
ENSMMUP00000066547	ENSMMUG00000057381	Macaca_mulatta
ENSPCAP00000007502	ENSPCAG00000008014	Procavia_capensis
ENSEASP00005003142	ENSEASG00005002426	Equus_asinus_asinus
ENSEEUP00000013584	ENSEEUG00000014885	Erinaceus_europaeus
ENSBMUP00000033375	ENSBMUG00000024925	Bos_mutus
ENSBTAP00000065904	ENSBTAG00000017955	Bos_taurus
ENSBBBP00000016893	ENSBBBG00000025193	Bison_bison_bison
ENSCHIP00000028000	ENSCHIG00000023677	Capra_hircus
ENSSSCP00000008669	ENSSSCG00000008119	Sus_scrofa_strain_reference
ENSTTRP00000004684	ENSTTRG00000004971	Tursiops_truncatus
ENSUAMP00000013884	ENSUAMG00000011180	Ursus_americanus
ENSUMAP00000016589	ENSUMAG00000012165	Ursus_maritimus
ENSMPUP00000009039	ENSMPUG00000009115	Mustela_putorius_furo
ENSNVIP00000019885	ENSNVIG00000015589	Neovison_vison
ENSVVUP00000038293	ENSVVUG00000027320	Vulpes_vulpes
ENSCAFP00020025181	ENSCAFG00020019804	Canis_lupus_dingo
ENSPPRP00000010424	ENSPPRG00000004592	Panthera_pardus
ENSPTIP00000021485	ENSPTIG00000018613	Panthera_tigris_altaica
ENSFCAP00000060960	ENSFCAG00000010689	Felis_catus
ENSECAP00000047676	ENSECAG00000031446	Equus_caballus
ENSPVAP00000006080	ENSPVAG00000006437	Pteropus_vampyrus
ENSMLUP00000005532	ENSMLUG00000006055	Myotis_lucifugus
ENSAMEP00000009680	ENSAMEG00000009180	Ailuropoda_melanoleuca
ENSOCUP00000047627	ENSOCUG00000023638	Oryctolagus_cuniculus
ENSSDAP00000014366	ENSSDAG00000012952	Spermophilus_dauricus
ENSMUGP00000013985	ENSMUGG00000011865	Meriones_unguiculatus
ENSFDAP00000005912	ENSFDAG00000014808	Fukomys_damarensis
ENSCCNP00000008961	ENSCCNG00000009385	Castor_canadensis
ENSCGRP00001011333	ENSCGRG00001013000	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000011409	ENSCGRG00000008305	Cricetulus_griseus_CriGri_1.0
ENSPEMP00000025496	ENSPEMG00000021898	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0056559	MGP_SPRETEiJ_G0025179	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000028850	ENSMUSG00000079056	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0054453	MGP_CAROLIEiJ_G0024259	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0065429	MGP_PahariEiJ_G0025704	Mus_pahari_strain_PAHARI_EIJ
ENSMMMP00000001227	ENSMMMG00000001102	Marmota_marmota_marmota
ENSNGAP00000004629	ENSNGAG00000006226	Nannospalax_galili
ENSCGRP00015019934	ENSCGRG00015015258	Cricetulus_griseus_CriGri-PICR
ENSJJAP00000004948	ENSJJAG00000009925	Jaculus_jaculus
ENSUPAP00010021322	ENSUPAG00010016958	Urocitellus_parryii
ENSODEP00000010733	ENSODEG00000007993	Octodon_degus
ENSNLEP00000000007	ENSNLEG00000000006	Nomascus_leucogenys
ENSOARP00000015107	ENSOARG00000014075	Ovis_aries
ENSLAFP00000008404	ENSLAFG00000010032	Loxodonta_africana
ENSDNOP00000023819	ENSDNOG00000032897	Dasypus_novemcinctus
ENSVURP00010020318	ENSVURG00010015552	Vombatus_ursinus
ENSPCIP00000047616	ENSPCIG00000031536	Phascolarctos_cinereus
ENSMEUP00000007770	ENSMEUG00000008504	Notamacropus_eugenii
ENSMODP00000060201	ENSMODG00000008007	Monodelphis_domestica
ENSSHAP00000010879	ENSSHAG00000009380	Sarcophilus_harrisii
ENSOANP00000011202	ENSOANG00000007037	Ornithorhynchus_anatinus
ENSNSUP00000001487	ENSNSUG00000001283	Notechis_scutatus
ENSSMRP00000019634	ENSSMRG00000015309	Salvator_merianae
ENSPVIP00000024007	ENSPVIG00000018118	Pogona_vitticeps
ENSSPUP00000018451	ENSSPUG00000014246	Sphenodon_punctatus
ENSGAGP00000021399	ENSGAGG00000015713	Gopherus_agassizii
ENSCABP00000020988	ENSCABG00000015449	Chelonoidis_abingdonii
ENSCPBP00000006079	ENSCPBG00000004856	Chrysemys_picta_bellii
ENSPSIP00000009502	ENSPSIG00000008584	Pelodiscus_sinensis
ENSXETP00000034641	ENSXETG00000014991	Xenopus_tropicalis
ENSNPEP00000005396	ENSNPEG00000004084	Nothoprocta_perdicaria
ENSDNVP00000004862	ENSDNVG00000003467	Dromaius_novaehollandiae
ENSAHAP00000007971	ENSAHAG00000005876	Apteryx_haastii
ENSAOWP00000011483	ENSAOWG00000007892	Apteryx_owenii
ENSARWP00000007702	ENSARWG00000005243	Apteryx_rowi
ENSAPLP00000020536	ENSAPLG00000027308	Anas_platyrhynchos_platyrhynchos
ENSAPLP00000019302	ENSAPLG00000023861	Anas_platyrhynchos_platyrhynchos
ENSABRP00000001167	ENSABRG00000001207	Anser_brachyrhynchus
ENSCJPP00005014008	ENSCJPG00005011751	Coturnix_japonica
ENSGALP00000069404	ENSGALG00000046830	Gallus_gallus
ENSNMEP00000023341	ENSNMEG00000019905	Numida_meleagris
ENSCPUP00000016653	ENSCPUG00000011502	Calidris_pugnax
ENSCPGP00000011412	ENSCPGG00000008153	Calidris_pygmaea
ENSLCOP00000005663	ENSLCOG00000004198	Lepidothrix_coronata
ENSLSDP00000010792	ENSLSDG00000007937	Lonchura_striata_domestica
ENSCCEP00000005127	ENSCCEG00000005628	Cyanistes_caeruleus
ENSPMJP00000020991	ENSPMJG00000015585	Parus_major
ENSFALP00000000095	ENSFALG00000000090	Ficedula_albicollis
ENSSCAP00000002277	ENSSCAG00000002009	Serinus_canaria
ENSJHYP00000010866	ENSJHYG00000008495	Junco_hyemalis
ENSAMXP00000034596	ENSAMXG00000038364	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005048049	ENSAMXG00005021910	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000030806	ENSPNAG00000017757	Pygocentrus_nattereri
ENSIPUP00000036739	ENSIPUG00000024608	Ictalurus_punctatus
ENSEEEP00000028038	ENSEEEG00000013489	Electrophorus_electricus
ENSDARP00000130174	ENSDARG00000017880	Danio_rerio
ENSCHAP00000050936	ENSCHAG00000023338	Clupea_harengus
ENSDCDP00000024068	ENSDCDG00000018192	Denticeps_clupeoides
ENSTNIP00000011961	ENSTNIG00000009102	Tetraodon_nigroviridis
ENSTRUP00000016525	ENSTRUG00000006718	Takifugu_rubripes
ENSCSEP00000002506	ENSCSEG00000001671	Cynoglossus_semilaevis
ENSLCRP00005043246	ENSLCRG00005016522	Larimichthys_crocea
ENSLBEP00000028422	ENSLBEG00000021370	Labrus_bergylta
