ENSFCAP00000014042	ENSFCAG00000015138	Felis_catus
ENSGGOP00000033245	ENSGGOG00000006214	Gorilla_gorilla
ENSCPGP00000027451	ENSCPGG00000018928	Calidris_pygmaea
ENSTGUP00000001534	ENSTGUG00000001485	Taeniopygia_guttata
ENSMUNP00000010591	ENSMUNG00000008349	Melopsittacus_undulatus
ENSVURP00010015515	ENSVURG00010011882	Vombatus_ursinus
ENSPVIP00000002913	ENSPVIG00000002467	Pogona_vitticeps	ENSPVIT00000003761
ENSMPUP00000003075	ENSMPUG00000003106	Mustela_putorius_furo
MGP_SPRETEiJ_P0023098	MGP_SPRETEiJ_G0015865	Mus_spretus_strain_SPRET/EiJ
ENSMMMP00000001084	ENSMMMG00000001014	Marmota_marmota_marmota
ENSGAGP00000003657	ENSGAGG00000002964	Gopherus_agassizii
ENSECAP00000037295	ENSECAG00000007482	Equus_caballus
ENSNLEP00000033992	ENSNLEG00000001962	Nomascus_leucogenys
ENSNSUP00000019103	ENSNSUG00000013950	Notechis_scutatus	ENSNSUT00000020328
ENSNSUP00000019102	ENSNSUG00000013949	Notechis_scutatus	ENSNSUT00000020327
ENSPLAP00000026961	ENSPLAG00000000539	Poecilia_latipinna
ENSMGAP00000004262	ENSMGAG00000004431	Meleagris_gallopavo
ENSPTEP00000039894	ENSPTEG00000036825	Piliocolobus_tephrosceles
ENSPPYP00000000262	ENSPPYG00000000253	Pongo_abelii
ENSPTIP00000002605	ENSPTIG00000005579	Panthera_tigris_altaica
ENSPREP00000011211	ENSPREG00000007640	Poecilia_reticulata
ENSFDAP00000000463	ENSFDAG00000010705	Fukomys_damarensis
ENSPLAP00000026984	ENSPLAG00000015211	Poecilia_latipinna
ENSMAUP00000021195	ENSMAUG00000019003	Mesocricetus_auratus
ENSLOCP00000013885	ENSLOCG00000011297	Lepisosteus_oculatus
ENSSPAP00000010505	ENSSPAG00000007998	Stegastes_partitus
ENSSBOP00000000850	ENSSBOG00000003627	Saimiri_boliviensis_boliviensis
ENSCJAP00000027711	ENSCJAG00000015032	Callithrix_jacchus
ENSAHAP00000027230	ENSAHAG00000018977	Apteryx_haastii	ENSAHAT00000030008
ENSMODP00000003085	ENSMODG00000002539	Monodelphis_domestica
ENSPMEP00000021551	ENSPMEG00000001840	Poecilia_mexicana
ENSCPRP00005022761	ENSCPRG00005015863	Crocodylus_porosus
MGP_CAROLIEiJ_P0022021	MGP_CAROLIEiJ_G0015065	Mus_caroli_strain_CAROLI_EIJ
ENSOCUP00000003494	ENSOCUG00000004035	Oryctolagus_cuniculus
ENSSDAP00000006149	ENSSDAG00000005703	Spermophilus_dauricus
ENSMMOP00000028864	ENSMMOG00000021783	Mola_mola
ENSOGAP00000020990	ENSOGAG00000010708	Otolemur_garnettii
ENSELUP00000035796	ENSELUG00000014900	Esox_lucius
ENSPTRP00000092249	ENSPTRG00000001941	Pan_troglodytes
ENSLCAP00010057287	ENSLCAG00010026729	Lates_calcarifer
ENSMUGP00000018000	ENSMUGG00000015274	Meriones_unguiculatus
ENSMUSP00000075839	ENSMUSG00000026638	Mus_musculus_strain_reference_(CL57BL6)
ENSUAMP00000021004	ENSUAMG00000016526	Ursus_americanus
ENSNPEP00000010386	ENSNPEG00000007805	Nothoprocta_perdicaria	ENSNPET00000010655
ENSNPEP00000010385	ENSNPEG00000007802	Nothoprocta_perdicaria	ENSNPET00000010653
ENSMZEP00005014277	ENSMZEG00005010752	Maylandia_zebra
ENSCCEP00000003708	ENSCCEG00000004117	Cyanistes_caeruleus
ENSP00000355988	ENSG00000117595	Homo_sapiens
ENSCHIP00000014522	ENSCHIG00000015540	Capra_hircus
ENSMLEP00000000704	ENSMLEG00000002414	Mandrillus_leucophaeus
ENSMOCP00000018808	ENSMOCG00000016987	Microtus_ochrogaster
ENSPFOP00000014123	ENSPFOG00000014077	Poecilia_formosa
ENSAOWP00000013756	ENSAOWG00000009394	Apteryx_owenii	ENSAOWT00000015617
ENSCAFP00000017629	ENSCAFG00000011971	Canis_lupus_familiaris
ENSHHUP00000073400	ENSHHUG00000043077	Hucho_hucho
ENSMVIP00005024378	ENSMVIG00005017119	Manacus_vitellinus
ENSTSYP00000028512	ENSTSYG00000010982	Carlito_syrichta
ENSCPBP00000030218	ENSCPBG00000021272	Chrysemys_picta_bellii
