ENSRBIP00000026815	ENSRBIG00000037274	Rhinopithecus_bieti
ENSGAFP00000028914	ENSGAFG00000019516	Gambusia_affinis
ENSPCOP00000017303	ENSPCOG00000020451	Propithecus_coquereli
ENSFCAP00000035966	ENSFCAG00000034653	Felis_catus
ENSPPAP00000018671	ENSPPAG00000032496	Pan_paniscus
ENSCMIP00000037086	ENSCMIG00000015643	Callorhinchus_milii
ENSAMEP00000001211	ENSAMEG00000001164	Ailuropoda_melanoleuca
ENSPMGP00000007019	ENSPMGG00000005859	Periophthalmus_magnuspinnatus
ENSMZEP00005012659	ENSMZEG00005009499	Maylandia_zebra
ENSBTAP00000070289	ENSBTAG00000055077	Bos_taurus
ENSVURP00010026710	ENSVURG00010020452	Vombatus_ursinus
ENSOCUP00000045989	ENSOCUG00000032040	Oryctolagus_cuniculus
ENSTSYP00000002861	ENSTSYG00000003123	Carlito_syrichta
ENSXMAP00000018474	ENSXMAG00000018439	Xiphophorus_maculatus
ENSMAMP00000021434	ENSMAMG00000014373	Mastacembelus_armatus
ENSBTAP00000061311	ENSBTAG00000054835	Bos_taurus
ENSNGAP00000007086	ENSNGAG00000010413	Nannospalax_galili
ENSP00000296102	ENSG00000243147	Homo_sapiens
ENSCANP00000016454	ENSCANG00000031675	Colobus_angolensis_palliatus
ENSLCRP00005036618	ENSLCRG00005014266	Larimichthys_crocea
ENSTSYP00000017404	ENSTSYG00000037426	Carlito_syrichta
ENSECAP00000028723	ENSECAG00000038436	Equus_caballus
ENSCAFP00020017411	ENSCAFG00020013937	Canis_lupus_dingo
ENSBIXP00005041117	ENSBIXG00005023996	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSAPEP00000032808	ENSAPEG00000023310	Amphiprion_percula
ENSSPAP00000018281	ENSSPAG00000013797	Stegastes_partitus
ENSLCAP00010047158	ENSLCAG00010021889	Lates_calcarifer
ENSPNAP00000026153	ENSPNAG00000011437	Pygocentrus_nattereri
ENSCABP00000014937	ENSCABG00000011157	Chelonoidis_abingdonii
ENSMALP00000006592	ENSMALG00000004698	Monopterus_albus
ENSSDAP00000007091	ENSSDAG00000006527	Spermophilus_dauricus
ENSHGLP00100009511	ENSHGLG00100007051	Heterocephalus_glaber_HetGla_1.0
ENSMAUP00000006487	ENSMAUG00000008426	Mesocricetus_auratus
ENSCCNP00000002935	ENSCCNG00000003190	Castor_canadensis
ENSCAFP00000007741	ENSCAFG00000005186	Canis_lupus_familiaris
ENSECRP00000003092	ENSECRG00000002103	Erpetoichthys_calabaricus
ENSCJAP00000058214	ENSCJAG00000046753	Callithrix_jacchus
ENSPVAP00000005823	ENSPVAG00000006159	Pteropus_vampyrus
ENSCLAP00000010636	ENSCLAG00000007340	Chinchilla_lanigera
ENSSBOP00000000538	ENSSBOG00000002398	Saimiri_boliviensis_boliviensis
ENSCHAP00000047101	ENSCHAG00000021738	Clupea_harengus
ENSPTEP00000006064	ENSPTEG00000006978	Piliocolobus_tephrosceles
