ENSCHIP00000015164	ENSCHIG00000015914	Capra_hircus
ENSTSYP00000024500	ENSTSYG00000032740	Carlito_syrichta
ENSSARP00000012228	ENSSARG00000013548	Sorex_araneus
ENSPSMP00000029069	ENSPSMG00000020181	Prolemur_simus
ENSMPUP00000015183	ENSMPUG00000015293	Mustela_putorius_furo
ENSMVIP00005016790	ENSMVIG00005012041	Manacus_vitellinus
ENSPTIP00000018049	ENSPTIG00000016307	Panthera_tigris_altaica
ENSMLEP00000001661	ENSMLEG00000006459	Mandrillus_leucophaeus
ENSAPLP00000001464	ENSAPLG00000002043	Anas_platyrhynchos_platyrhynchos
ENSPSIP00000012764	ENSPSIG00000011455	Pelodiscus_sinensis
ENSGAGP00000033318	ENSGAGG00000023752	Gopherus_agassizii	ENSGAGT00000037754
ENSCGRP00001018510	ENSCGRG00001018231	Cricetulus_griseus_CHOK1GS_HDv1
ENSSPUP00000023446	ENSSPUG00000017992	Sphenodon_punctatus
ENSMAUP00000020357	ENSMAUG00000018388	Mesocricetus_auratus
ENSEEUP00000002112	ENSEEUG00000002326	Erinaceus_europaeus
ENSHGLP00000015538	ENSHGLG00000011118	Heterocephalus_glaber_HetGla_female_1.0
ENSPCOP00000007230	ENSPCOG00000014846	Propithecus_coquereli
ENSUPAP00010006507	ENSUPAG00010005220	Urocitellus_parryii
ENSSTOP00000022758	ENSSTOG00000022624	Ictidomys_tridecemlineatus
ENSCLAP00000011330	ENSCLAG00000007816	Chinchilla_lanigera
ENSBIXP00005032610	ENSBIXG00005013176	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSLCOP00000012401	ENSLCOG00000008980	Lepidothrix_coronata
ENSBBBP00000003447	ENSBBBG00000012503	Bison_bison_bison
ENSDORP00000025816	ENSDORG00000029089	Dipodomys_ordii
ENSPTRP00000060352	ENSPTRG00000039364	Pan_troglodytes
ENSPANP00000029012	ENSPANG00000033286	Papio_anubis
ENSDNVP00000014355	ENSDNVG00000010089	Dromaius_novaehollandiae
ENSMNEP00000018878	ENSMNEG00000033336	Macaca_nemestrina
