ENSPPYP00000006987	ENSPPYG00000006147	Pongo_abelii
ENSUMAP00000000225	ENSUMAG00000000244	Ursus_maritimus
ENSVVUP00000039935	ENSVVUG00000028448	Vulpes_vulpes
ENSRBIP00000006437	ENSRBIG00000026579	Rhinopithecus_bieti
ENSTTRP00000012960	ENSTTRG00000013664	Tursiops_truncatus	ENSTTRT00000013660
ENSBIXP00000031658	ENSBIXG00000001588	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSTGEP00000008312	ENSTGEG00000006787	Theropithecus_gelada
ENSPTEP00000003609	ENSPTEG00000004282	Piliocolobus_tephrosceles
ENSNLEP00000036635	ENSNLEG00000033455	Nomascus_leucogenys
ENSRROP00000037179	ENSRROG00000042025	Rhinopithecus_roxellana
ENSMMUP00000071698	ENSMMUG00000053846	Macaca_mulatta
