ENSSFOP00015026488	ENSSFOG00015016948	Scleropages_formosus	ENSSFOT00015026784
ENSPKIP00000010133	ENSPKIG00000024957	Paramormyrops_kingsleyae	ENSPKIT00000034256
ENSSFOP00015015974	ENSSFOG00015010227	Scleropages_formosus	ENSSFOT00015016159
ENSPKIP00000002600	ENSPKIG00000020334	Paramormyrops_kingsleyae	ENSPKIT00000026548
ENSTNIP00000010307	ENSTNIG00000007498	Tetraodon_nigroviridis
ENSTRUP00000047146	ENSTRUG00000018417	Takifugu_rubripes
ENSMMOP00000005891	ENSMMOG00000004621	Mola_mola
ENSGWIP00000023002	ENSGWIG00000012046	Gouania_willdenowi
ENSPMGP00000005771	ENSPMGG00000004844	Periophthalmus_magnuspinnatus
ENSSMAP00000016587	ENSSMAG00000010116	Scophthalmus_maximus
ENSCSEP00000023588	ENSCSEG00000015001	Cynoglossus_semilaevis
ENSSDUP00000011294	ENSSDUG00000008200	Seriola_dumerili
ENSSLDP00000019587	ENSSLDG00000015345	Seriola_lalandi_dorsalis
ENSLCAP00010001668	ENSLCAG00010000947	Lates_calcarifer
ENSMAMP00000027421	ENSMAMG00000018447	Mastacembelus_armatus
ENSMALP00000032451	ENSMALG00000022346	Monopterus_albus
ENSATEP00000017792	ENSATEG00000012372	Anabas_testudineus
ENSBSLP00000015178	ENSBSLG00000007878	Betta_splendens
ENSAOCP00000014628	ENSAOCG00000019389	Amphiprion_ocellaris
ENSAPEP00000032061	ENSAPEG00000022736	Amphiprion_percula
ENSAPOP00000032726	ENSAPOG00000020817	Acanthochromis_polyacanthus
ENSSPAP00000008014	ENSSPAG00000006061	Stegastes_partitus
ENSPRNP00000010291	ENSPRNG00000002838	Parambassis_ranga
ENSFHEP00000022013	ENSFHEG00000002204	Fundulus_heteroclitus
ENSCVAP00000013406	ENSCVAG00000015980	Cyprinodon_variegatus
ENSXMAP00000036363	ENSXMAG00000005901	Xiphophorus_maculatus
ENSXCOP00000001219	ENSXCOG00000000988	Xiphophorus_couchianus
ENSGAFP00000020326	ENSGAFG00000013730	Gambusia_affinis
ENSPFOP00000015798	ENSPFOG00000015525	Poecilia_formosa
ENSPMEP00000026126	ENSPMEG00000009806	Poecilia_mexicana
ENSPLAP00000030705	ENSPLAG00000022095	Poecilia_latipinna
ENSPREP00000032268	ENSPREG00000021844	Poecilia_reticulata
ENSKMAP00000012744	ENSKMAG00000009465	Kryptolebias_marmoratus
ENSORLP00000035118	ENSORLG00000003893	Oryzias_latipes_ASM223467v1
ENSORLP00020008790	ENSORLG00020009706	Oryzias_latipes_ASM223471v1
ENSORLP00015032050	ENSORLG00015016688	Oryzias_latipes_ASM223469v1
ENSOMEP00000010950	ENSOMEG00000012232	Oryzias_melastigma
ENSMZEP00005004506	ENSMZEG00005003460	Maylandia_zebra
ENSACLP00000041255	ENSACLG00000027760	Astatotilapia_calliptera
ENSHBUP00000026436	ENSHBUG00000009102	Haplochromis_burtoni
ENSPNYP00000004205	ENSPNYG00000003218	Pundamilia_nyererei
ENSNBRP00000010402	ENSNBRG00000008022	Neolamprologus_brichardi
ENSONIP00000014189	ENSONIG00000011273	Oreochromis_niloticus
ENSACIP00000002441	ENSACIG00000001937	Amphilophus_citrinellus
ENSLCRP00005009740	ENSLCRG00005003305	Larimichthys_crocea
ENSLBEP00000032855	ENSLBEG00000024716	Labrus_bergylta
ENSCGOP00000023219	ENSCGOG00000010490	Cottoperca_gobio
ENSGACP00000021041	ENSGACG00000015942	Gasterosteus_aculeatus
ENSHCOP00000000801	ENSHCOG00000001681	Hippocampus_comes
ENSGMOP00000020141	ENSGMOG00000018740	Gadus_morhua
ENSHHUP00000057912	ENSHHUG00000034392	Hucho_hucho
ENSHHUP00000011008	ENSHHUG00000006752	Hucho_hucho
ENSHHUP00000055678	ENSHHUG00000033282	Hucho_hucho
ENSELUP00000024450	ENSELUG00000023286	Esox_lucius
ENSCHAP00000001927	ENSCHAG00000001252	Clupea_harengus
ENSCHAP00000002076	ENSCHAG00000001467	Clupea_harengus
ENSDCDP00000038155	ENSDCDG00000023947	Denticeps_clupeoides
ENSAMXP00005020206	ENSAMXG00005010473	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000051852	ENSAMXG00000008524	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000030884	ENSPNAG00000018040	Pygocentrus_nattereri
ENSIPUP00000036013	ENSIPUG00000024135	Ictalurus_punctatus
ENSEEEP00000014058	ENSEEEG00000006987	Electrophorus_electricus
ENSDARP00000080071	ENSDARG00000060631	Danio_rerio
ENSLOCP00000004754	ENSLOCG00000003976	Lepisosteus_oculatus
ENSECRP00000028687	ENSECRG00000019425	Erpetoichthys_calabaricus
ENSMGAP00000009057	ENSMGAG00000008765	Meleagris_gallopavo
ENSCJPP00005013122	ENSCJPG00005011091	Coturnix_japonica
ENSGALP00000068978	ENSGALG00000000847	Gallus_gallus
ENSNMEP00000014816	ENSNMEG00000013230	Numida_meleagris
ENSABRP00000000390	ENSABRG00000000396	Anser_brachyrhynchus
ENSCPGP00000018883	ENSCPGG00000013074	Calidris_pygmaea
ENSCPGP00000000900	ENSCPGG00000000704	Calidris_pygmaea
ENSCPUP00000023765	ENSCPUG00000016132	Calidris_pugnax
ENSMUNP00000012179	ENSMUNG00000009228	Melopsittacus_undulatus
ENSZALP00000013147	ENSZALG00000010968	Zonotrichia_albicollis
ENSJHYP00000003328	ENSJHYG00000002751	Junco_hyemalis
ENSSCAP00000022169	ENSSCAG00000015938	Serinus_canaria
