ENSXETP00000052035	ENSXETG00000020632	Xenopus_tropicalis	ENSXETT00000053462
ENSLACP00000014148	ENSLACG00000012455	Latimeria_chalumnae	ENSLACT00000014247
ENSBSLP00000019078	ENSBSLG00000009951	Betta_splendens
ENSKMAP00000021964	ENSKMAG00000016319	Kryptolebias_marmoratus
ENSATEP00000013976	ENSATEG00000009735	Anabas_testudineus
ENSPRNP00000012287	ENSPRNG00000006851	Parambassis_ranga	ENSPRNT00000013272
ENSSDUP00000003742	ENSSDUG00000002706	Seriola_dumerili
ENSSLDP00000021577	ENSSLDG00000016850	Seriola_lalandi_dorsalis
ENSLCAP00010026485	ENSLCAG00010012385	Lates_calcarifer
ENSSMAP00000029741	ENSSMAG00000018206	Scophthalmus_maximus
ENSLCAP00010029673	ENSLCAG00010013947	Lates_calcarifer
ENSGWIP00000038792	ENSGWIG00000019745	Gouania_willdenowi
ENSCGOP00000014889	ENSCGOG00000007154	Cottoperca_gobio
ENSGACP00000011408	ENSGACG00000008625	Gasterosteus_aculeatus
ENSMMOP00000015512	ENSMMOG00000011828	Mola_mola
ENSTRUP00000041107	ENSTRUG00000016076	Takifugu_rubripes
ENSLCRP00005003220	ENSLCRG00005001606	Larimichthys_crocea
ENSMALP00000004424	ENSMALG00000003164	Monopterus_albus
ENSMAMP00000012936	ENSMAMG00000008765	Mastacembelus_armatus
ENSPNYP00000021296	ENSPNYG00000016044	Pundamilia_nyererei
ENSACLP00000031604	ENSACLG00000021424	Astatotilapia_calliptera
ENSMZEP00005019895	ENSMZEG00005014929	Maylandia_zebra
ENSHBUP00000013847	ENSHBUG00000015654	Haplochromis_burtoni
ENSNBRP00000017281	ENSNBRG00000013357	Neolamprologus_brichardi
ENSONIP00000010307	ENSONIG00000008186	Oreochromis_niloticus
ENSACIP00000023084	ENSACIG00000017936	Amphilophus_citrinellus
ENSXMAP00000011786	ENSXMAG00000011760	Xiphophorus_maculatus
ENSXCOP00000016923	ENSXCOG00000012762	Xiphophorus_couchianus
ENSGAFP00000015104	ENSGAFG00000010200	Gambusia_affinis
ENSPMEP00000019640	ENSPMEG00000022693	Poecilia_mexicana
ENSPMEP00000003167	ENSPMEG00000004305	Poecilia_mexicana
ENSPFOP00000006398	ENSPFOG00000006393	Poecilia_formosa
ENSPLAP00000016797	ENSPLAG00000021093	Poecilia_latipinna
ENSPREP00000032088	ENSPREG00000021743	Poecilia_reticulata
ENSFHEP00000033542	ENSFHEG00000020752	Fundulus_heteroclitus
ENSCVAP00000025402	ENSCVAG00000010190	Cyprinodon_variegatus
ENSORLP00000010207	ENSORLG00000008129	Oryzias_latipes_ASM223467v1
ENSORLP00020034394	ENSORLG00020020846	Oryzias_latipes_ASM223471v1
ENSORLP00015001368	ENSORLG00015001976	Oryzias_latipes_ASM223469v1
ENSOMEP00000031987	ENSOMEG00000017144	Oryzias_melastigma
ENSAOCP00000020773	ENSAOCG00000005110	Amphiprion_ocellaris
ENSAPEP00000020788	ENSAPEG00000014836	Amphiprion_percula
ENSAPOP00000026521	ENSAPOG00000010403	Acanthochromis_polyacanthus
ENSSPAP00000028898	ENSSPAG00000021740	Stegastes_partitus
ENSCSEP00000012039	ENSCSEG00000007768	Cynoglossus_semilaevis
ENSPMGP00000026124	ENSPMGG00000021069	Periophthalmus_magnuspinnatus
ENSHCOP00000013075	ENSHCOG00000016168	Hippocampus_comes
ENSLBEP00000036149	ENSLBEG00000027077	Labrus_bergylta
ENSGMOP00000002483	ENSGMOG00000002348	Gadus_morhua
ENSHHUP00000051993	ENSHHUG00000031260	Hucho_hucho
ENSHHUP00000034911	ENSHHUG00000021925	Hucho_hucho
ENSELUP00000006420	ENSELUG00000007308	Esox_lucius
ENSDCDP00000006263	ENSDCDG00000003228	Denticeps_clupeoides
ENSCHAP00000031871	ENSCHAG00000015218	Clupea_harengus
ENSAMXP00000031367	ENSAMXG00000017742	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005037205	ENSAMXG00005017718	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000024395	ENSPNAG00000001251	Pygocentrus_nattereri
ENSIPUP00000034707	ENSIPUG00000023322	Ictalurus_punctatus
ENSDARP00000091066	ENSDARG00000007655	Danio_rerio
ENSSFOP00015010539	ENSSFOG00015006811	Scleropages_formosus	ENSSFOT00015010684
ENSPKIP00000011795	ENSPKIG00000018723	Paramormyrops_kingsleyae	ENSPKIT00000023747
ENSPKIP00000029576	ENSPKIG00000010692	Paramormyrops_kingsleyae	ENSPKIT00000010373
ENSSFOP00015022254	ENSSFOG00015014293	Scleropages_formosus	ENSSFOT00015022501
ENSLOCP00000006668	ENSLOCG00000005525	Lepisosteus_oculatus
ENSECRP00000013183	ENSECRG00000008749	Erpetoichthys_calabaricus
ENSCMIP00000031868	ENSCMIG00000013635	Callorhinchus_milii
