ENSPFOP00000005127	ENSPFOG00000005256	Poecilia_formosa
ENSPLAP00000007627	ENSPLAG00000010007	Poecilia_latipinna
ENSPREP00000025105	ENSPREG00000016939	Poecilia_reticulata
ENSPMEP00000004755	ENSPMEG00000006026	Poecilia_mexicana
ENSGAFP00000029688	ENSGAFG00000020015	Gambusia_affinis
ENSXMAP00000027898	ENSXMAG00000026090	Xiphophorus_maculatus
ENSFHEP00000030034	ENSFHEG00000015096	Fundulus_heteroclitus
ENSMMOP00000003478	ENSMMOG00000002781	Mola_mola
ENSTRUP00000050929	ENSTRUG00000024038	Takifugu_rubripes
ENSAPEP00000032612	ENSAPEG00000023165	Amphiprion_percula
ENSCSEP00000005048	ENSCSEG00000003268	Cynoglossus_semilaevis
ENSACLP00000020146	ENSACLG00000013687	Astatotilapia_calliptera	ENSACLT00000020608
ENSHBUP00000022703	ENSHBUG00000003101	Haplochromis_burtoni	ENSHBUT00000012957
ENSMZEP00005010164	ENSMZEG00005007685	Maylandia_zebra	ENSMZET00005010533
ENSPNYP00000026799	ENSPNYG00000020203	Pundamilia_nyererei	ENSPNYT00000027456
ENSONIP00000015081	ENSONIG00000011980	Oreochromis_niloticus	ENSONIT00000015094
ENSKMAP00000003590	ENSKMAG00000002741	Kryptolebias_marmoratus
ENSCGOP00000033132	ENSCGOG00000015382	Cottoperca_gobio
ENSSPAP00000031431	ENSSPAG00000023563	Stegastes_partitus
ENSAOCP00000016041	ENSAOCG00000020900	Amphiprion_ocellaris
ENSGWIP00000029692	ENSGWIG00000015510	Gouania_willdenowi
ENSORLP00000043522	ENSORLG00000026371	Oryzias_latipes_ASM223467v1
ENSORLP00020021497	ENSORLG00020001335	Oryzias_latipes_ASM223471v1
ENSORLP00015020276	ENSORLG00015021413	Oryzias_latipes_ASM223469v1
ENSOMEP00000015071	ENSOMEG00000016610	Oryzias_melastigma
ENSMALP00000019858	ENSMALG00000013867	Monopterus_albus
ENSGACP00000025565	ENSGACG00000019343	Gasterosteus_aculeatus
ENSLCRP00005059057	ENSLCRG00005021895	Larimichthys_crocea
ENSSLDP00000017502	ENSSLDG00000013808	Seriola_lalandi_dorsalis
ENSSDUP00000026687	ENSSDUG00000019343	Seriola_dumerili
ENSSMAP00000024946	ENSSMAG00000015260	Scophthalmus_maximus
ENSTNIP00000008083	ENSTNIG00000005399	Tetraodon_nigroviridis
ENSPRNP00000041307	ENSPRNG00000020238	Parambassis_ranga
ENSMAMP00000034775	ENSMAMG00000023354	Mastacembelus_armatus
ENSATEP00000034408	ENSATEG00000023640	Anabas_testudineus
ENSGMOP00000014477	ENSGMOG00000013552	Gadus_morhua
ENSHHUP00000084808	ENSHHUG00000049158	Hucho_hucho
ENSHHUP00000000981	ENSHHUG00000000679	Hucho_hucho
ENSELUP00000028740	ENSELUG00000005448	Esox_lucius
ENSDARP00000093077	ENSDARG00000031228	Danio_rerio
ENSLOCP00000019254	ENSLOCG00000015641	Lepisosteus_oculatus
ENSEEEP00000050757	ENSEEEG00000023847	Electrophorus_electricus
ENSPNAP00000022429	ENSPNAG00000029797	Pygocentrus_nattereri
ENSDCDP00000057928	ENSDCDG00000033725	Denticeps_clupeoides
ENSPKIP00000021355	ENSPKIG00000005801	Paramormyrops_kingsleyae
ENSECRP00000015758	ENSECRG00000010514	Erpetoichthys_calabaricus
ENSTGUP00000002038	ENSTGUG00000001980	Taeniopygia_guttata
ENSLSDP00000004454	ENSLSDG00000003469	Lonchura_striata_domestica
ENSZALP00000001622	ENSZALG00000001912	Zonotrichia_albicollis
ENSFALP00000012412	ENSFALG00000011884	Ficedula_albicollis
ENSJHYP00000023168	ENSJHYG00000017450	Junco_hyemalis
