ENSFDAP00000001090	ENSFDAG00000011157	Fukomys_damarensis
ENSGACP00000006993	ENSGACG00000005286	Gasterosteus_aculeatus
ENSTRUP00000048186	ENSTRUG00000021447	Takifugu_rubripes
ENSMLEP00000028320	ENSMLEG00000038376	Mandrillus_leucophaeus
ENSCHAP00000030789	ENSCHAG00000014773	Clupea_harengus
ENSMNEP00000008135	ENSMNEG00000028599	Macaca_nemestrina
ENSPCAP00000002491	ENSPCAG00000002685	Procavia_capensis
ENSCGRP00015021609	ENSCGRG00015016456	Cricetulus_griseus_CriGri-PICR
ENSGAGP00000004294	ENSGAGG00000003565	Gopherus_agassizii
ENSBSLP00000014406	ENSBSLG00000007568	Betta_splendens
ENSMOCP00000024202	ENSMOCG00000020703	Microtus_ochrogaster
ENSONIP00000024970	ENSONIG00000019837	Oreochromis_niloticus
ENSOARP00000009395	ENSOARG00000008751	Ovis_aries
ENSPTIP00000002607	ENSPTIG00000005586	Panthera_tigris_altaica
ENSRBIP00000036674	ENSRBIG00000041939	Rhinopithecus_bieti
ENSSMAP00000034466	ENSSMAG00000021084	Scophthalmus_maximus
ENSUAMP00000032861	ENSUAMG00000025053	Ursus_americanus
ENSAPOP00000014490	ENSAPOG00000017375	Acanthochromis_polyacanthus
ENSCCAP00000016969	ENSCCAG00000026294	Cebus_capucinus_imitator
ENSETEP00000010234	ENSETEG00000012627	Echinops_telfairi
ENSARWP00000008861	ENSARWG00000006195	Apteryx_rowi	ENSARWT00000010111
ENSCLAP00000007614	ENSCLAG00000005345	Chinchilla_lanigera
ENSSMRP00000019160	ENSSMRG00000014928	Salvator_merianae	ENSSMRT00000022466
ENSMSIP00000008434	ENSMSIG00000007497	Mus_spicilegus
ENSCSAVP00000002117	ENSCSAVG00000001244	Ciona_savignyi
ENSPEMP00000014690	ENSPEMG00000014421	Peromyscus_maniculatus_bairdii
ENSCCEP00000007550	ENSCCEG00000007924	Cyanistes_caeruleus	ENSCCET00000012107
ENSMVIP00005018947	ENSMVIG00005013425	Manacus_vitellinus	ENSMVIT00005021409
ENSDCDP00000017014	ENSDCDG00000013832	Denticeps_clupeoides
ENSEEEP00000001984	ENSEEEG00000001237	Electrophorus_electricus
ENSLCOP00000018816	ENSLCOG00000013304	Lepidothrix_coronata	ENSLCOT00000019874
ENSEASP00005007590	ENSEASG00005005543	Equus_asinus_asinus
ENSCABP00000004051	ENSCABG00000003062	Chelonoidis_abingdonii
ENSTTRP00000013581	ENSTTRG00000014326	Tursiops_truncatus
ENSAOCP00000030501	ENSAOCG00000021507	Amphiprion_ocellaris
ENSOPRP00000009352	ENSOPRG00000010256	Ochotona_princeps
ENSFCAP00000007507	ENSFCAG00000008101	Felis_catus
ENSSTOP00000003942	ENSSTOG00000004408	Ictidomys_tridecemlineatus
ENSSSCP00000049213	ENSSSCG00000008482	Sus_scrofa_strain_reference
ENSCAFP00000042087	ENSCAFG00000029480	Canis_lupus_familiaris
ENSGALP00000071321	ENSGALG00000013821	Gallus_gallus
ENSMEUP00000009429	ENSMEUG00000010347	Notamacropus_eugenii
ENSHBUP00000030302	ENSHBUG00000015030	Haplochromis_burtoni
ENSPANP00000018404	ENSPANG00000011066	Papio_anubis
ENSECAP00000005217	ENSECAG00000007191	Equus_caballus
ENSMLUP00000013442	ENSMLUG00000014772	Myotis_lucifugus
ENSCMIP00000011335	ENSCMIG00000005893	Callorhinchus_milii
ENSDNVP00000000690	ENSDNVG00000000531	Dromaius_novaehollandiae	ENSDNVT00000000842
ENSABRP00000018766	ENSABRG00000016142	Anser_brachyrhynchus
ENSAMEP00000016893	ENSAMEG00000016004	Ailuropoda_melanoleuca
ENSUMAP00000018421	ENSUMAG00000013522	Ursus_maritimus
ENSAMXP00005042177	ENSAMXG00005019709	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000006532	ENSPNAG00000012548	Pygocentrus_nattereri
MGP_SPRETEiJ_P0047620	MGP_SPRETEiJ_G0022819	Mus_spretus_strain_SPRET/EiJ
ENSMMOP00000024088	ENSMMOG00000018333	Mola_mola
ENSKMAP00000009115	ENSKMAG00000006850	Kryptolebias_marmoratus
ENSAMXP00000045522	ENSAMXG00000006993	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNYP00000022574	ENSPNYG00000017043	Pundamilia_nyererei
ENSCVAP00000005408	ENSCVAG00000006772	Cyprinodon_variegatus
MGP_PahariEiJ_P0045222	MGP_PahariEiJ_G0020893	Mus_pahari_strain_PAHARI_EIJ
ENSTGUP00000002159	ENSTGUG00000002093	Taeniopygia_guttata	ENSTGUT00000002179
ENSSPUP00000008644	ENSSPUG00000006725	Sphenodon_punctatus	ENSSPUT00000009219
ENSAHAP00000005399	ENSAHAG00000004185	Apteryx_haastii	ENSAHAT00000006049
ENSCGRP00000017429	ENSCGRG00000012675	Cricetulus_griseus_CriGri_1.0
ENSVVUP00000025565	ENSVVUG00000018764	Vulpes_vulpes
ENSOCUP00000013392	ENSOCUG00000015599	Oryctolagus_cuniculus
ENSMODP00000010817	ENSMODG00000008690	Monodelphis_domestica
ENSGMOP00000017152	ENSGMOG00000016000	Gadus_morhua
ENSPCIP00000027708	ENSPCIG00000020697	Phascolarctos_cinereus
ENSRROP00000035770	ENSRROG00000041365	Rhinopithecus_roxellana
ENSMICP00000042387	ENSMICG00000044164	Microcebus_murinus
ENSPPRP00000009162	ENSPPRG00000003704	Panthera_pardus
ENSPPAP00000026845	ENSPPAG00000036509	Pan_paniscus
ENSPKIP00000040562	ENSPKIG00000017473	Paramormyrops_kingsleyae
ENSSARP00000002169	ENSSARG00000002420	Sorex_araneus
ENSPMJP00000003681	ENSPMJG00000003229	Parus_major	ENSPMJT00000005242
ENSCPGP00000001781	ENSCPGG00000001334	Calidris_pygmaea	ENSCPGT00000001957
ENSPTEP00000016647	ENSPTEG00000018267	Piliocolobus_tephrosceles
ENSSBOP00000004725	ENSSBOG00000019013	Saimiri_boliviensis_boliviensis
ENSHGLP00000025803	ENSHGLG00000018364	Heterocephalus_glaber_HetGla_female_1.0
ENSTGEP00000034439	ENSTGEG00000027463	Theropithecus_gelada
ENSPVAP00000011380	ENSPVAG00000012079	Pteropus_vampyrus
D1007.4.1	WBGene00017002	Caenorhabditis_elegans_strain_N2
ENSGAFP00000000621	ENSGAFG00000000474	Gambusia_affinis
