ENSLBEP00000033688	ENSLBEG00000025370	Labrus_bergylta	ENSLBET00000035159
ENSPMEP00000027506	ENSPMEG00000011930	Poecilia_mexicana	ENSPMET00000016770
ENSPVIP00000015437	ENSPVIG00000011895	Pogona_vitticeps	ENSPVIT00000019296
ENSAPOP00000019649	ENSAPOG00000000661	Acanthochromis_polyacanthus	ENSAPOT00000029592
ENSPLAP00000007017	ENSPLAG00000009235	Poecilia_latipinna	ENSPLAT00000005309
ENSHBUP00000015354	ENSHBUG00000017261	Haplochromis_burtoni	ENSHBUT00000023588
ENSELUP00000039728	ENSELUG00000019973	Esox_lucius	ENSELUT00000031332
ENSXCOP00000005322	ENSXCOG00000004168	Xiphophorus_couchianus	ENSXCOT00000005383
ENSCVAP00000025284	ENSCVAG00000009932	Cyprinodon_variegatus	ENSCVAT00000002080
ENSTSYP00000017236	ENSTSYG00000030993	Carlito_syrichta	ENSTSYT00000047227
ENSSFOP00015035731	ENSSFOG00015022752	Scleropages_formosus	ENSSFOT00015036120
