ENSSSCP00000053470	ENSSSCG00000036460	Sus_scrofa_strain_reference	ENSSSCT00000040960
ENSVPAP00000011283	ENSVPAG00000012132	Vicugna_pacos	ENSVPAT00000012131
ENSCHIP00000004408	ENSCHIG00000008615	Capra_hircus	ENSCHIT00000011840
ENSOARP00000013530	ENSOARG00000012631	Ovis_aries	ENSOART00000013730
ENSBIXP00000005252	ENSBIXG00000011488	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005024202	ENSBIXG00005026805	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000055941	ENSBTAG00000046711	Bos_taurus
ENSBMUP00000015545	ENSBMUG00000011820	Bos_mutus
ENSMLUP00000014269	ENSMLUG00000015666	Myotis_lucifugus
ENSECAP00000044883	ENSECAG00000032228	Equus_caballus
ENSEEUP00000013240	ENSEEUG00000014528	Erinaceus_europaeus
ENSAMEP00000009195	ENSAMEG00000008748	Ailuropoda_melanoleuca
ENSNVIP00000005484	ENSNVIG00000004413	Neovison_vison
ENSCAFP00000052451	ENSCAFG00000049967	Canis_lupus_familiaris
ENSCAFP00020016208	ENSCAFG00020012997	Canis_lupus_dingo
ENSVVUP00000041231	ENSVVUG00000029343	Vulpes_vulpes
ENSFCAP00000010095	ENSFCAG00000010863	Felis_catus
ENSSBOP00000030144	ENSSBOG00000031354	Saimiri_boliviensis_boliviensis
ENSCJAP00000068966	ENSCJAG00000052292	Callithrix_jacchus
ENSANAP00000037042	ENSANAG00000036019	Aotus_nancymaae
ENSRROP00000014474	ENSRROG00000031441	Rhinopithecus_roxellana
ENSRBIP00000001192	ENSRBIG00000006289	Rhinopithecus_bieti
ENSPTEP00000007468	ENSPTEG00000008503	Piliocolobus_tephrosceles
ENSCANP00000005284	ENSCANG00000018162	Colobus_angolensis_palliatus
ENSMFAP00000021976	ENSMFAG00000035902	Macaca_fascicularis
ENSMMUP00000049922	ENSMMUG00000038276	Macaca_mulatta
ENSMNEP00000026240	ENSMNEG00000036563	Macaca_nemestrina
ENSTGEP00000000255	ENSTGEG00000000301	Theropithecus_gelada
ENSCATP00000014070	ENSCATG00000031101	Cercocebus_atys
ENSP00000319126	ENSG00000180872	Homo_sapiens
ENSGGOP00000025423	ENSGGOG00000025282	Gorilla_gorilla
ENSPTRP00000031211	ENSPTRG00000018267	Pan_troglodytes
ENSPPAP00000027810	ENSPPAG00000036979	Pan_paniscus
ENSPPYP00000018681	ENSPPYG00000016698	Pongo_abelii
ENSOGAP00000014898	ENSOGAG00000016646	Otolemur_garnettii
ENSLAFP00000014015	ENSLAFG00000016703	Loxodonta_africana
