ENSVURP00010011365	ENSVURG00010008780	Vombatus_ursinus	ENSVURT00010012906
ENSPCIP00000037651	ENSPCIG00000027725	Phascolarctos_cinereus	ENSPCIT00000046369
ENSSHAP00000015631	ENSSHAG00000013320	Sarcophilus_harrisii	ENSSHAT00000015759
ENSMSIP00000006465	ENSMSIG00000005765	Mus_spicilegus
MGP_SPRETEiJ_P0062133	MGP_SPRETEiJ_G0026427	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000010279	ENSMUSG00000074344	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0059751	MGP_CAROLIEiJ_G0025478	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0070707	MGP_PahariEiJ_G0026923	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000068169	ENSRNOG00000043375	Rattus_norvegicus
ENSMUGP00000016273	ENSMUGG00000013935	Meriones_unguiculatus
ENSCGRP00001018592	ENSCGRG00001018286	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000022329	ENSCGRG00000016177	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015036009	ENSCGRG00015027017	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000009619	ENSMAUG00000010720	Mesocricetus_auratus
ENSPEMP00000022621	ENSPEMG00000019932	Peromyscus_maniculatus_bairdii
ENSNGAP00000022362	ENSNGAG00000021259	Nannospalax_galili
ENSJJAP00000006409	ENSJJAG00000011089	Jaculus_jaculus
ENSHGLP00000006340	ENSHGLG00000004637	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100005269	ENSHGLG00100003998	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000015249	ENSFDAG00000003016	Fukomys_damarensis
ENSCLAP00000013112	ENSCLAG00000009052	Chinchilla_lanigera
ENSODEP00000011842	ENSODEG00000008789	Octodon_degus
ENSMMMP00000013420	ENSMMMG00000011967	Marmota_marmota_marmota
ENSUPAP00010027938	ENSUPAG00010022070	Urocitellus_parryii
ENSSDAP00000019889	ENSSDAG00000018151	Spermophilus_dauricus
ENSSTOP00000000436	ENSSTOG00000000483	Ictidomys_tridecemlineatus
ENSDORP00000024254	ENSDORG00000000135	Dipodomys_ordii
