ENSFCAP00000015460	ENSFCAG00000018865	Felis_catus
ENSVPAP00000010631	ENSVPAG00000011413	Vicugna_pacos
ENSSPUP00000019016	ENSSPUG00000014649	Sphenodon_punctatus
ENSODEP00000014694	ENSODEG00000010860	Octodon_degus
ENSCPRP00005017091	ENSCPRG00005011907	Crocodylus_porosus
ENSRROP00000035847	ENSRROG00000041395	Rhinopithecus_roxellana
ENSEEUP00000007168	ENSEEUG00000007820	Erinaceus_europaeus
ENSCHOP00000008705	ENSCHOG00000009814	Choloepus_hoffmanni
ENSMODP00000014302	ENSMODG00000011440	Monodelphis_domestica
ENSARWP00000007248	ENSARWG00000005085	Apteryx_rowi
ENSSARP00000005326	ENSSARG00000005825	Sorex_araneus
MGP_PahariEiJ_P0073522	MGP_PahariEiJ_G0027484	Mus_pahari_strain_PAHARI_EIJ
ENSPVIP00000001530	ENSPVIG00000001367	Pogona_vitticeps
ENSSTOP00000000882	ENSSTOG00000000981	Ictidomys_tridecemlineatus
ENSMFAP00000045397	ENSMFAG00000000427	Macaca_fascicularis
ENSAOWP00000010656	ENSAOWG00000007330	Apteryx_owenii
ENSAMEP00000012899	ENSAMEG00000012235	Ailuropoda_melanoleuca
ENSCHAP00000055025	ENSCHAG00000024933	Clupea_harengus
ENSSBOP00000027906	ENSSBOG00000030320	Saimiri_boliviensis_boliviensis
ENSELUP00000013717	ENSELUG00000013809	Esox_lucius
ENSPCIP00000003829	ENSPCIG00000003128	Phascolarctos_cinereus
ENSPCOP00000025339	ENSPCOG00000024886	Propithecus_coquereli
ENSPTRP00000021770	ENSPTRG00000012733	Pan_troglodytes
ENSECRP00000033996	ENSECRG00000022974	Erpetoichthys_calabaricus
ENSHHUP00000055111	ENSHHUG00000032980	Hucho_hucho
ENSPVAP00000000820	ENSPVAG00000000867	Pteropus_vampyrus
ENSBMUP00000030180	ENSBMUG00000022575	Bos_mutus
ENSMEUP00000011684	ENSMEUG00000012801	Notamacropus_eugenii
ENSCMIP00000035842	ENSCMIG00000015159	Callorhinchus_milii
ENSECAP00000003572	ENSECAG00000003846	Equus_caballus
ENSCMIP00000035846	ENSCMIG00000015164	Callorhinchus_milii
ENSPPRP00000026864	ENSPPRG00000018026	Panthera_pardus
ENSAMXP00000019229	ENSAMXG00000018670	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000019229
ENSSDAP00000018509	ENSSDAG00000016892	Spermophilus_dauricus
ENSOGAP00000011673	ENSOGAG00000013027	Otolemur_garnettii
ENSUPAP00010029358	ENSUPAG00010023110	Urocitellus_parryii
ENSCHAP00000055039	ENSCHAG00000024938	Clupea_harengus
ENSCGRP00000001467	ENSCGRG00000001124	Cricetulus_griseus_CriGri_1.0
ENSCMIP00000035845	ENSCMIG00000015162	Callorhinchus_milii
ENSCAPP00000009947	ENSCAPG00000011300	Cavia_aperea
ENSMUGP00000003911	ENSMUGG00000003507	Meriones_unguiculatus
ENSIPUP00000012461	ENSIPUG00000008494	Ictalurus_punctatus
ENSOANP00000012497	ENSOANG00000007844	Ornithorhynchus_anatinus
ENSGGOP00000018964	ENSGGOG00000016191	Gorilla_gorilla
MGP_CAROLIEiJ_P0018214	MGP_CAROLIEiJ_G0014246	Mus_caroli_strain_CAROLI_EIJ
ENSVURP00010023131	ENSVURG00010017695	Vombatus_ursinus
ENSHGLP00100012108	ENSHGLG00100008976	Heterocephalus_glaber_HetGla_1.0
ENSMNEP00000001680	ENSMNEG00000007473	Macaca_nemestrina
ENSAMXP00005031735	ENSAMXG00005015526	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSOCUP00000016701	ENSOCUG00000012473	Oryctolagus_cuniculus
ENSCAFP00020008322	ENSCAFG00020006701	Canis_lupus_dingo
ENSRNOP00000005314	ENSRNOG00000003991	Rattus_norvegicus
ENSAHAP00000004632	ENSAHAG00000003598	Apteryx_haastii
ENSMPUP00000012274	ENSMPUG00000012368	Mustela_putorius_furo
ENSANAP00000020164	ENSANAG00000027854	Aotus_nancymaae
ENSDNVP00000000023	ENSDNVG00000000010	Dromaius_novaehollandiae
ENSP00000427882	ENSG00000151687	Homo_sapiens
ENSDARP00000091115	ENSDARG00000000516	Danio_rerio
ENSDCDP00000046663	ENSDCDG00000029180	Denticeps_clupeoides
ENSPANP00000004447	ENSPANG00000018915	Papio_anubis
ENSVVUP00000038189	ENSVVUG00000027233	Vulpes_vulpes
ENSOARP00000017564	ENSOARG00000016349	Ovis_aries
ENSLAFP00000006515	ENSLAFG00000007760	Loxodonta_africana
ENSPMAP00000001751	ENSPMAG00000001593	Petromyzon_marinus
ENSRBIP00000024132	ENSRBIG00000035969	Rhinopithecus_bieti
ENSMMUP00000018796	ENSMMUG00000014314	Macaca_mulatta
ENSMOCP00000023979	ENSMOCG00000020533	Microtus_ochrogaster
ENSTSYP00000010812	ENSTSYG00000011782	Carlito_syrichta
ENSCSAP00000008507	ENSCSAG00000012371	Chlorocebus_sabaeus
ENSCANP00000020552	ENSCANG00000033707	Colobus_angolensis_palliatus
ENSBBBP00000026777	ENSBBBG00000022823	Bison_bison_bison
ENSPPAP00000032426	ENSPPAG00000039080	Pan_paniscus
ENSMUSP00000054056	ENSMUSG00000039342	Mus_musculus_strain_reference_(CL57BL6)
ENSPNAP00000032596	ENSPNAG00000020711	Pygocentrus_nattereri
ENSMAUP00000023691	ENSMAUG00000020747	Mesocricetus_auratus
ENSUMAP00000026235	ENSUMAG00000019082	Ursus_maritimus
ENSXETP00000015713	ENSXETG00000000130	Xenopus_tropicalis
ENSNLEP00000008050	ENSNLEG00000006610	Nomascus_leucogenys
ENSLOCP00000010677	ENSLOCG00000008769	Lepisosteus_oculatus
ENSMLUP00000019278	ENSMLUG00000014326	Myotis_lucifugus
ENSBTAP00000053432	ENSBTAG00000012554	Bos_taurus
ENSCAFP00000013806	ENSCAFG00000009373	Canis_lupus_familiaris
ENSPCAP00000009866	ENSPCAG00000010465	Procavia_capensis
ENSCPBP00000029009	ENSCPBG00000020456	Chrysemys_picta_bellii
ENSPMAP00000004220	ENSPMAG00000003875	Petromyzon_marinus
ENSSFOP00015026860	ENSSFOG00015017103	Scleropages_formosus
ENSCPOP00000004246	ENSCPOG00000004714	Cavia_porcellus
ENSDORP00000000309	ENSDORG00000000331	Dipodomys_ordii
ENSBIXP00000026171	ENSBIXG00000028269	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSLACP00000022028	ENSLACG00000013938	Latimeria_chalumnae
ENSBIXP00005003861	ENSBIXG00005000670	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCATP00000026988	ENSCATG00000036884	Cercocebus_atys
ENSCGRP00015038432	ENSCGRG00015028735	Cricetulus_griseus_CriGri-PICR
ENSCCAP00000006279	ENSCCAG00000020879	Cebus_capucinus_imitator
ENSJJAP00000019801	ENSJJAG00000020631	Jaculus_jaculus
ENSCABP00000010722	ENSCABG00000008027	Chelonoidis_abingdonii
ENSCLAP00000019040	ENSCLAG00000013038	Chinchilla_lanigera
ENSHGLP00000010696	ENSHGLG00000007666	Heterocephalus_glaber_HetGla_female_1.0
ENSTTRP00000004920	ENSTTRG00000005201	Tursiops_truncatus
ENSAMXP00000043262	ENSAMXG00000037278	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSETEP00000003786	ENSETEG00000004628	Echinops_telfairi
ENSPSMP00000006206	ENSPSMG00000004688	Prolemur_simus
ENSUAMP00000014173	ENSUAMG00000011369	Ursus_americanus
ENSEEEP00000049407	ENSEEEG00000023220	Electrophorus_electricus
ENSFDAP00000012304	ENSFDAG00000006761	Fukomys_damarensis
ENSTBEP00000010810	ENSTBEG00000012445	Tupaia_belangeri
ENSMSIP00000024806	ENSMSIG00000020863	Mus_spicilegus
ENSMICP00000000739	ENSMICG00000000818	Microcebus_murinus
ENSCHIP00000006961	ENSCHIG00000010609	Capra_hircus
ENSCGRP00001015970	ENSCGRG00001016410	Cricetulus_griseus_CHOK1GS_HDv1
ENSTGEP00000034874	ENSTGEG00000027784	Theropithecus_gelada
ENSNPEP00000020264	ENSNPEG00000015067	Nothoprocta_perdicaria
ENSOANP00000028366	ENSOANG00000022232	Ornithorhynchus_anatinus
ENSMLEP00000029300	ENSMLEG00000038848	Mandrillus_leucophaeus
ENSPTEP00000020944	ENSPTEG00000022086	Piliocolobus_tephrosceles
ENSPSIP00000016624	ENSPSIG00000014767	Pelodiscus_sinensis
ENSACAP00000014123	ENSACAG00000014359	Anolis_carolinensis
ENSNVIP00000001541	ENSNVIG00000001112	Neovison_vison
ENSEASP00005030920	ENSEASG00005021070	Equus_asinus_asinus
ENSPPYP00000014540	ENSPPYG00000013015	Pongo_abelii
ENSDNOP00000012967	ENSDNOG00000016738	Dasypus_novemcinctus
ENSOPRP00000014933	ENSOPRG00000016346	Ochotona_princeps
ENSPTIP00000013351	ENSPTIG00000013087	Panthera_tigris_altaica
ENSSMRP00000025687	ENSSMRG00000019853	Salvator_merianae
ENSGAGP00000034344	ENSGAGG00000024398	Gopherus_agassizii
ENSCCNP00000010948	ENSCCNG00000011282	Castor_canadensis
ENSSSCP00000016997	ENSSSCG00000016042	Sus_scrofa_strain_reference
ENSPEMP00000025447	ENSPEMG00000021870	Peromyscus_maniculatus_bairdii
ENSSHAP00000014380	ENSSHAG00000012283	Sarcophilus_harrisii
