ENSPPAP00000028869	ENSPPAG00000037465	Pan_paniscus	ENSPPAT00000051717
ENSPTRP00000073184	ENSPTRG00000048633	Pan_troglodytes	ENSPTRT00000108900
ENSGGOP00000047348	ENSGGOG00000043068	Gorilla_gorilla	ENSGGOT00000061876
ENSNLEP00000038075	ENSNLEG00000031295	Nomascus_leucogenys	ENSNLET00000052285
ENSTGEP00000003590	ENSTGEG00000003039	Theropithecus_gelada	ENSTGET00000004376
ENSMLEP00000001603	ENSMLEG00000006190	Mandrillus_leucophaeus	ENSMLET00000006873
ENSCATP00000016894	ENSCATG00000032365	Cercocebus_atys	ENSCATT00000041058
ENSMNEP00000006174	ENSMNEG00000027059	Macaca_nemestrina	ENSMNET00000029741
ENSMFAP00000010300	ENSMFAG00000006903	Macaca_fascicularis	ENSMFAT00000040062
ENSPTEP00000027447	ENSPTEG00000027300	Piliocolobus_tephrosceles	ENSPTET00000038486
ENSANAP00000014909	ENSANAG00000025347	Aotus_nancymaae	ENSANAT00000032743
