ENSOARP00000012982	ENSOARG00000012110	Ovis_aries
ENSCHIP00000019365	ENSCHIG00000018396	Capra_hircus
ENSBIXP00000009908	ENSBIXG00000015536	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005018144	ENSBIXG00005003652	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000012443	ENSBTAG00000009458	Bos_taurus
ENSBMUP00000033338	ENSBMUG00000024885	Bos_mutus
ENSBBBP00000004152	ENSBBBG00000013109	Bison_bison_bison
ENSTTRP00000011974	ENSTTRG00000012619	Tursiops_truncatus
ENSPVAP00000005273	ENSPVAG00000005571	Pteropus_vampyrus
ENSAMEP00000004258	ENSAMEG00000004032	Ailuropoda_melanoleuca
ENSMPUP00000015059	ENSMPUG00000015168	Mustela_putorius_furo
ENSCAFP00000019703	ENSCAFG00000013365	Canis_lupus_familiaris
ENSCAFP00020034581	ENSCAFG00020026820	Canis_lupus_dingo
ENSPPRP00000009808	ENSPPRG00000004162	Panthera_pardus
ENSPTIP00000014357	ENSPTIG00000013790	Panthera_tigris_altaica
ENSFCAP00000010154	ENSFCAG00000010931	Felis_catus
ENSECAP00000016603	ENSECAG00000018804	Equus_caballus
ENSPCOP00000020872	ENSPCOG00000022425	Propithecus_coquereli
ENSPSMP00000012502	ENSPSMG00000008989	Prolemur_simus
ENSMICP00000050383	ENSMICG00000044781	Microcebus_murinus
ENSOGAP00000013249	ENSOGAG00000014790	Otolemur_garnettii
ENSP00000309610	ENSG00000087995	Homo_sapiens
ENSPTRP00000016131	ENSPTRG00000009504	Pan_troglodytes
ENSGGOP00000051726	ENSGGOG00000038731	Gorilla_gorilla
ENSPTRP00000046684	ENSPTRG00000019664	Pan_troglodytes
ENSPTRP00000063308	ENSPTRG00000046946	Pan_troglodytes
ENSP00000262432	ENSG00000165055	Homo_sapiens
ENSPPYP00000010047	ENSPPYG00000008952	Pongo_abelii
ENSNLEP00000009156	ENSNLEG00000007529	Nomascus_leucogenys
ENSPTEP00000025307	ENSPTEG00000025629	Piliocolobus_tephrosceles
ENSCANP00000008724	ENSCANG00000027777	Colobus_angolensis_palliatus
ENSRBIP00000018648	ENSRBIG00000033312	Rhinopithecus_bieti
ENSRROP00000019378	ENSRROG00000033706	Rhinopithecus_roxellana
ENSPANP00000020885	ENSPANG00000021128	Papio_anubis
