ENSMOCP00000004798	ENSMOCG00000004134	Microtus_ochrogaster
ENSPEMP00000016784	ENSPEMG00000015898	Peromyscus_maniculatus_bairdii
ENSCGRP00001027191	ENSCGRG00001024270	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015023781	ENSCGRG00015018119	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000009487	ENSCGRG00000006934	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000020905	ENSMAUG00000018787	Mesocricetus_auratus
MGP_SPRETEiJ_P0075175	MGP_SPRETEiJ_G0029054	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000027061	ENSMSIG00000022847	Mus_spicilegus
ENSMUSP00000097972	ENSMUSG00000051950	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0072350	MGP_CAROLIEiJ_G0028056	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0060554	MGP_PahariEiJ_G0024622	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000069223	ENSRNOG00000061346	Rattus_norvegicus
ENSNGAP00000022670	ENSNGAG00000021468	Nannospalax_galili
ENSJJAP00000021839	ENSJJAG00000022078	Jaculus_jaculus
ENSCCNP00000031145	ENSCCNG00000029678	Castor_canadensis
ENSHGLP00100023532	ENSHGLG00100017281	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000018803	ENSHGLG00000013471	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000008891	ENSFDAG00000017048	Fukomys_damarensis
ENSCLAP00000005224	ENSCLAG00000003709	Chinchilla_lanigera
ENSODEP00000007453	ENSODEG00000005559	Octodon_degus
ENSCPOP00000006724	ENSCPOG00000007455	Cavia_porcellus
ENSCAPP00000017654	ENSCAPG00000017259	Cavia_aperea
ENSUPAP00010001307	ENSUPAG00010001058	Urocitellus_parryii
ENSSTOP00000001530	ENSSTOG00000001710	Ictidomys_tridecemlineatus
ENSMMMP00000025154	ENSMMMG00000022023	Marmota_marmota_marmota
ENSOCUP00000031607	ENSOCUG00000014798	Oryctolagus_cuniculus
ENSCCAP00000018014	ENSCCAG00000026830	Cebus_capucinus_imitator
ENSSBOP00000021505	ENSSBOG00000027304	Saimiri_boliviensis_boliviensis
ENSCJAP00000062689	ENSCJAG00000018570	Callithrix_jacchus
ENSANAP00000032046	ENSANAG00000033739	Aotus_nancymaae
ENSPPAP00000011813	ENSPPAG00000029099	Pan_paniscus
ENSPTRP00000009803	ENSPTRG00000005761	Pan_troglodytes
ENSP00000343002	ENSG00000187676	Homo_sapiens
ENSGGOP00000002797	ENSGGOG00000002840	Gorilla_gorilla
ENSPPYP00000005988	ENSPPYG00000005259	Pongo_abelii
ENSNLEP00000001017	ENSNLEG00000000847	Nomascus_leucogenys
ENSPTEP00000019198	ENSPTEG00000020561	Piliocolobus_tephrosceles
ENSCANP00000032544	ENSCANG00000039938	Colobus_angolensis_palliatus
ENSRROP00000039155	ENSRROG00000042904	Rhinopithecus_roxellana
ENSRBIP00000014503	ENSRBIG00000031350	Rhinopithecus_bieti
ENSMFAP00000029092	ENSMFAG00000041822	Macaca_fascicularis
ENSMMUP00000080144	ENSMMUG00000013713	Macaca_mulatta
ENSMNEP00000022987	ENSMNEG00000035100	Macaca_nemestrina
ENSMLEP00000018236	ENSMLEG00000033315	Mandrillus_leucophaeus
ENSCATP00000031918	ENSCATG00000039061	Cercocebus_atys
ENSTGEP00000026565	ENSTGEG00000021407	Theropithecus_gelada
ENSPANP00000001834	ENSPANG00000005486	Papio_anubis
ENSCSAP00000013961	ENSCSAG00000017941	Chlorocebus_sabaeus
ENSTSYP00000001056	ENSTSYG00000001143	Carlito_syrichta
ENSPCOP00000001453	ENSPCOG00000004609	Propithecus_coquereli
ENSMICP00000018539	ENSMICG00000011910	Microcebus_murinus
ENSOGAP00000010025	ENSOGAG00000011196	Otolemur_garnettii
ENSTBEP00000004890	ENSTBEG00000005673	Tupaia_belangeri
ENSUMAP00000024520	ENSUMAG00000017840	Ursus_maritimus
ENSUAMP00000025949	ENSUAMG00000020156	Ursus_americanus
ENSAMEP00000009228	ENSAMEG00000008757	Ailuropoda_melanoleuca
ENSNVIP00000000212	ENSNVIG00000000223	Neovison_vison
ENSMPUP00000004434	ENSMPUG00000004469	Mustela_putorius_furo
ENSCAFP00000046538	ENSCAFG00000006522	Canis_lupus_familiaris
ENSVVUP00000026757	ENSVVUG00000019654	Vulpes_vulpes
ENSCAFP00020032196	ENSCAFG00020025062	Canis_lupus_dingo
ENSPTIP00000012832	ENSPTIG00000012767	Panthera_tigris_altaica
ENSPPRP00000012664	ENSPPRG00000006134	Panthera_pardus
ENSFCAP00000016109	ENSFCAG00000018185	Felis_catus
ENSEASP00005032730	ENSEASG00005022359	Equus_asinus_asinus
ENSECAP00000042547	ENSECAG00000009608	Equus_caballus
ENSBIXP00000026651	ENSBIXG00000029645	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005005097	ENSBIXG00005010902	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000044727	ENSBTAG00000033412	Bos_taurus
ENSBMUP00000030444	ENSBMUG00000022771	Bos_mutus
ENSBBBP00000019454	ENSBBBG00000001785	Bison_bison_bison
ENSOARP00000012535	ENSOARG00000011694	Ovis_aries
ENSCHIP00000015723	ENSCHIG00000016248	Capra_hircus
ENSTTRP00000001507	ENSTTRG00000001599	Tursiops_truncatus
ENSVPAP00000010130	ENSVPAG00000010881	Vicugna_pacos
ENSSSCP00000009964	ENSSSCG00000009335	Sus_scrofa_strain_reference
ENSPVAP00000000070	ENSPVAG00000000075	Pteropus_vampyrus
ENSEEUP00000008895	ENSEEUG00000009752	Erinaceus_europaeus
ENSSARP00000004469	ENSSARG00000004917	Sorex_araneus
ENSETEP00000001957	ENSETEG00000002405	Echinops_telfairi
ENSMLUP00000011036	ENSMLUG00000012104	Myotis_lucifugus
ENSDORP00000011123	ENSDORG00000011835	Dipodomys_ordii
ENSDNOP00000024208	ENSDNOG00000003327	Dasypus_novemcinctus	ENSDNOT00000046892
ENSCHOP00000010788	ENSCHOG00000012191	Choloepus_hoffmanni	ENSCHOT00000012229
ENSLAFP00000004225	ENSLAFG00000005051	Loxodonta_africana	ENSLAFT00000005050
