ENSLACP00000004026	ENSLACG00000003585	Latimeria_chalumnae
ENSCSEP00000007400	ENSCSEG00000004719	Cynoglossus_semilaevis
ENSCHAP00000018211	ENSCHAG00000007673	Clupea_harengus	ENSCHAT00000020010
ENSMUSP00000025668	ENSMUSG00000024759	Mus_musculus_strain_reference_(CL57BL6)
ENSEEEP00000042276	ENSEEEG00000019908	Electrophorus_electricus	ENSEEET00000042762
ENSPFOP00000009120	ENSPFOG00000008872	Poecilia_formosa
ENSSMRP00000012983	ENSSMRG00000010118	Salvator_merianae
ENSGAFP00000029428	ENSGAFG00000019847	Gambusia_affinis
ENSORLP00000034446	ENSORLG00000002092	Oryzias_latipes_ASM223467v1
ENSMALP00000015944	ENSMALG00000011181	Monopterus_albus
ENSORLP00020033796	ENSORLG00020019947	Oryzias_latipes_ASM223471v1
ENSSFOP00015013840	ENSSFOG00015008871	Scleropages_formosus
ENSMMOP00000003213	ENSMMOG00000002574	Mola_mola
ENSGMOP00000003518	ENSGMOG00000003308	Gadus_morhua
ENSFDAP00000019547	ENSFDAG00000005384	Fukomys_damarensis
ENSBBBP00000013897	ENSBBBG00000021605	Bison_bison_bison
ENSETEP00000014361	ENSETEG00000017679	Echinops_telfairi
ENSNBRP00000030582	ENSNBRG00000023257	Neolamprologus_brichardi
ENSCPBP00000033670	ENSCPBG00000023529	Chrysemys_picta_bellii
ENSPNAP00000014435	ENSPNAG00000020370	Pygocentrus_nattereri
MGP_SPRETEiJ_P0049934	MGP_SPRETEiJ_G0023550	Mus_spretus_strain_SPRET/EiJ
ENSMLUP00000012435	ENSMLUG00000013662	Myotis_lucifugus
ENSNSUP00000024336	ENSNSUG00000017589	Notechis_scutatus
ENSNSUP00000024337	ENSNSUG00000017590	Notechis_scutatus
ENSBTAP00000043475	ENSBTAG00000003330	Bos_taurus
ENSSBOP00000000345	ENSSBOG00000000876	Saimiri_boliviensis_boliviensis
ENSMICP00000013857	ENSMICG00000015189	Microcebus_murinus
ENSPKIP00000009687	ENSPKIG00000024694	Paramormyrops_kingsleyae
ENSMOCP00000014977	ENSMOCG00000014305	Microtus_ochrogaster
ENSPEMP00000029063	ENSPEMG00000017714	Peromyscus_maniculatus_bairdii
ENSMPUP00000013264	ENSMPUG00000013363	Mustela_putorius_furo
ENSMUGP00000006333	ENSMUGG00000005815	Meriones_unguiculatus
ENSXETP00000033104	ENSXETG00000015642	Xenopus_tropicalis
ENSDNOP00000019394	ENSDNOG00000038821	Dasypus_novemcinctus
ENSCGRP00000002722	ENSCGRG00000001990	Cricetulus_griseus_CriGri_1.0
ENSCSAP00000003148	ENSCSAG00000006859	Chlorocebus_sabaeus
ENSLBEP00000009502	ENSLBEG00000007329	Labrus_bergylta
MGP_PahariEiJ_P0020976	MGP_PahariEiJ_G0014134	Mus_pahari_strain_PAHARI_EIJ
ENSCPOP00000003401	ENSCPOG00000003766	Cavia_porcellus
ENSMLEP00000032457	ENSMLEG00000040413	Mandrillus_leucophaeus
ENSPTRP00000078069	ENSPTRG00000003807	Pan_troglodytes
ENSANAP00000011717	ENSANAG00000023785	Aotus_nancymaae
ENSLCAP00010042579	ENSLCAG00010019879	Lates_calcarifer
ENSCANP00000001901	ENSCANG00000006711	Colobus_angolensis_palliatus
ENSSMAP00000027261	ENSSMAG00000016636	Scophthalmus_maximus
ENSSPUP00000010603	ENSSPUG00000008184	Sphenodon_punctatus
