ENSCLAP00000005099	ENSCLAG00000003620	Chinchilla_lanigera
ENSECAP00000020123	ENSECAG00000022270	Equus_caballus
ENSEEUP00000004278	ENSEEUG00000004649	Erinaceus_europaeus
ENSCATP00000041907	ENSCATG00000043517	Cercocebus_atys
ENSNPEP00000000343	ENSNPEG00000000177	Nothoprocta_perdicaria
ENSNLEP00000012882	ENSNLEG00000010578	Nomascus_leucogenys
ENSIPUP00000024885	ENSIPUG00000016699	Ictalurus_punctatus
ENSSTOP00000000604	ENSSTOG00000000670	Ictidomys_tridecemlineatus
ENSPSMP00000030278	ENSPSMG00000021006	Prolemur_simus
ENSGMOP00000004778	ENSGMOG00000004467	Gadus_morhua
ENSCSAP00000016159	ENSCSAG00000001872	Chlorocebus_sabaeus
ENSCGRP00015009042	ENSCGRG00015006560	Cricetulus_griseus_CriGri-PICR
ENSPKIP00000035880	ENSPKIG00000014552	Paramormyrops_kingsleyae
ENSCPRP00005019348	ENSCPRG00005013462	Crocodylus_porosus
ENSPCOP00000020386	ENSPCOG00000022153	Propithecus_coquereli
ENSCGOP00000009004	ENSCGOG00000004656	Cottoperca_gobio
ENSPPYP00000000932	ENSPPYG00000000797	Pongo_abelii
ENSNMEP00000005812	ENSNMEG00000005980	Numida_meleagris
ENSMMMP00000020364	ENSMMMG00000017913	Marmota_marmota_marmota
ENSTNIP00000023057	ENSTNIG00000019793	Tetraodon_nigroviridis
ENSMLUP00000001695	ENSMLUG00000001857	Myotis_lucifugus
ENSMLEP00000035684	ENSMLEG00000041804	Mandrillus_leucophaeus
ENSECRP00000026030	ENSECRG00000017555	Erpetoichthys_calabaricus
ENSCHIP00000031483	ENSCHIG00000025770	Capra_hircus
ENSLCAP00010028479	ENSLCAG00010013252	Lates_calcarifer
ENSCJPP00005017294	ENSCJPG00005014144	Coturnix_japonica
ENSCCEP00000001082	ENSCCEG00000001356	Cyanistes_caeruleus	ENSCCET00000001960
ENSCPGP00000011816	ENSCPGG00000008199	Calidris_pygmaea
ENSFHEP00000015293	ENSFHEG00000016968	Fundulus_heteroclitus
ENSBIXP00000041900	ENSBIXG00000007730	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSLCOP00000008890	ENSLCOG00000006509	Lepidothrix_coronata
ENSBMUP00000036081	ENSBMUG00000026799	Bos_mutus
ENSPTIP00000011845	ENSPTIG00000012061	Panthera_tigris_altaica
ENSLCRP00005025251	ENSLCRG00005010088	Larimichthys_crocea
ENSCSAVP00000018895	ENSCSAVG00000011095	Ciona_savignyi
ENSPFOP00000009990	ENSPFOG00000009261	Poecilia_formosa
ENSSMRP00000000562	ENSSMRG00000000516	Salvator_merianae
ENSMODP00000021663	ENSMODG00000017354	Monodelphis_domestica
ENSANAP00000040318	ENSANAG00000037379	Aotus_nancymaae
ENSTTRP00000014009	ENSTTRG00000014769	Tursiops_truncatus
ENSPMJP00000003555	ENSPMJG00000003096	Parus_major
ENSCPUP00000005729	ENSCPUG00000004171	Calidris_pugnax
ENSCANP00000008482	ENSCANG00000025992	Colobus_angolensis_palliatus
ENSFDAP00000017112	ENSFDAG00000005767	Fukomys_damarensis
ENSAOWP00000010781	ENSAOWG00000007415	Apteryx_owenii
ENSHBUP00000030309	ENSHBUG00000015312	Haplochromis_burtoni
ENSSDUP00000000694	ENSSDUG00000000498	Seriola_dumerili
ENSNGAP00000026217	ENSNGAG00000023917	Nannospalax_galili
ENSCINP00000031234	ENSCING00000019017	Ciona_intestinalis
ENSMSIP00000000777	ENSMSIG00000000363	Mus_spicilegus
ENSORLP00000001863	ENSORLG00000001502	Oryzias_latipes_ASM223467v1
ENSOANP00000030558	ENSOANG00000030332	Ornithorhynchus_anatinus	ENSOANT00000039797
ENSACLP00000009976	ENSACLG00000006786	Astatotilapia_calliptera
ENSMAMP00000033020	ENSMAMG00000022219	Mastacembelus_armatus
ENSCHOP00000009828	ENSCHOG00000011096	Choloepus_hoffmanni
ENSCSEP00000028674	ENSCSEG00000018322	Cynoglossus_semilaevis
ENSPCAP00000015611	ENSPCAG00000016615	Procavia_capensis
MGP_PahariEiJ_P0069796	MGP_PahariEiJ_G0026679	Mus_pahari_strain_PAHARI_EIJ
ENSEEEP00000018771	ENSEEEG00000009222	Electrophorus_electricus
ENSXCOP00000025975	ENSXCOG00000019407	Xiphophorus_couchianus
ENSZALP00000011059	ENSZALG00000009372	Zonotrichia_albicollis
ENSTRUP00000050429	ENSTRUG00000000794	Takifugu_rubripes
ENSMPUP00000008161	ENSMPUG00000008221	Mustela_putorius_furo
ENSSSCP00000007005	ENSSSCG00000006571	Sus_scrofa_strain_reference
ENSSHAP00000012410	ENSSHAG00000010628	Sarcophilus_harrisii
ENSHCOP00000007158	ENSHCOG00000009084	Hippocampus_comes
ENSMZEP00005016386	ENSMZEG00005012255	Maylandia_zebra
ENSTGUP00000017219	ENSTGUG00000016930	Taeniopygia_guttata
ENSMICP00000008051	ENSMICG00000008832	Microcebus_murinus
ENSTSYP00000014003	ENSTSYG00000037547	Carlito_syrichta
FBpp0110478	FBgn0262117	Drosophila_melanogaster
ENSCCAP00000014782	ENSCCAG00000024830	Cebus_capucinus_imitator
ENSAMXP00000011748	ENSAMXG00000011437	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSGALP00000065099	ENSGALG00000027046	Gallus_gallus
ENSLOCP00000008386	ENSLOCG00000006927	Lepisosteus_oculatus
ENSNBRP00000027993	ENSNBRG00000021301	Neolamprologus_brichardi
ENSLBEP00000032238	ENSLBEG00000024260	Labrus_bergylta
ENSCINP00000005183	ENSCING00000002537	Ciona_intestinalis
ENSCHAP00000007330	ENSCHAG00000004494	Clupea_harengus
ENSODEP00000017079	ENSODEG00000012581	Octodon_degus
ENSTBEP00000014743	ENSTBEG00000016928	Tupaia_belangeri
ENSCSAVP00000018902	ENSCSAVG00000011100	Ciona_savignyi
ENSBIXP00005002152	ENSBIXG00005008552	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
MGP_CAROLIEiJ_P0058837	MGP_CAROLIEiJ_G0025235	Mus_caroli_strain_CAROLI_EIJ
ENSONIP00000009539	ENSONIG00000007567	Oreochromis_niloticus
ENSMMUP00000025605	ENSMMUG00000019482	Macaca_mulatta
ENSEBUP00000005080	ENSEBUG00000003412	Eptatretus_burgeri
ENSUMAP00000028134	ENSUMAG00000020431	Ursus_maritimus
ENSARWP00000011153	ENSARWG00000007757	Apteryx_rowi
ENSCAPP00000012276	ENSCAPG00000013132	Cavia_aperea
ENSAHAP00000000448	ENSAHAG00000000416	Apteryx_haastii
ENSMGAP00000000130	ENSMGAG00000000752	Meleagris_gallopavo
ENSAPOP00000015697	ENSAPOG00000018838	Acanthochromis_polyacanthus
ENSAOCP00000025490	ENSAOCG00000013168	Amphiprion_ocellaris
ENSDARP00000067792	ENSDARG00000016811	Danio_rerio
ENSUPAP00010019400	ENSUPAG00010015361	Urocitellus_parryii
ENSSFOP00015015540	ENSSFOG00015009936	Scleropages_formosus
ENSACAP00000010970	ENSACAG00000011196	Anolis_carolinensis
ENSECRP00000026072	ENSECRG00000017614	Erpetoichthys_calabaricus
ENSACIP00000009112	ENSACIG00000007118	Amphilophus_citrinellus
ENSLAFP00000002227	ENSLAFG00000002663	Loxodonta_africana
ENSOMEP00000008692	ENSOMEG00000009881	Oryzias_melastigma
ENSCCNP00000021634	ENSCCNG00000021366	Castor_canadensis
ENSMVIP00005017921	ENSMVIG00005012754	Manacus_vitellinus
ENSKMAP00000001812	ENSKMAG00000001336	Kryptolebias_marmoratus
ENSCCEP00000007563	ENSCCEG00000007803	Cyanistes_caeruleus
ENSPPRP00000001600	ENSPPRG00000023995	Panthera_pardus
ENSRBIP00000022066	ENSRBIG00000034979	Rhinopithecus_bieti
ENSACIP00000009059	ENSACIG00000007094	Amphilophus_citrinellus
ENSORLP00020009839	ENSORLG00020010774	Oryzias_latipes_ASM223471v1
ENSMUSP00000029542	ENSMUSG00000027933	Mus_musculus_strain_reference_(CL57BL6)
ENSGGOP00000029626	ENSGGOG00000003835	Gorilla_gorilla
ENSSDAP00000002372	ENSSDAG00000002172	Spermophilus_dauricus
ENSAMEP00000012757	ENSAMEG00000012085	Ailuropoda_melanoleuca
ENSPMEP00000012885	ENSPMEG00000015206	Poecilia_mexicana
ENSGACP00000013680	ENSGACG00000010341	Gasterosteus_aculeatus
ENSHHUP00000080114	ENSHHUG00000046669	Hucho_hucho
ENSXMAP00000017523	ENSXMAG00000017462	Xiphophorus_maculatus
ENSFCAP00000002524	ENSFCAG00000002744	Felis_catus
ENSMUGP00000007337	ENSMUGG00000006694	Meriones_unguiculatus
ENSAPEP00000026169	ENSAPEG00000018538	Amphiprion_percula
ENSPREP00000023415	ENSPREG00000015731	Poecilia_reticulata
Y92H12A.4a.1	WBGene00022360	Caenorhabditis_elegans_strain_N2
ENSELUP00000016363	ENSELUG00000000616	Esox_lucius
ENSJHYP00000009986	ENSJHYG00000007668	Junco_hyemalis
ENSDNVP00000022505	ENSDNVG00000015649	Dromaius_novaehollandiae
ENSP00000318641	ENSG00000143624	Homo_sapiens
ENSCJAP00000050057	ENSCJAG00000010155	Callithrix_jacchus
ENSGAGP00000000233	ENSGAGG00000000206	Gopherus_agassizii
ENSVURP00010029540	ENSVURG00010022591	Vombatus_ursinus
ENSOCUP00000004723	ENSOCUG00000005436	Oryctolagus_cuniculus
ENSCVAP00000003573	ENSCVAG00000004832	Cyprinodon_variegatus
ENSGAFP00000019084	ENSGAFG00000012876	Gambusia_affinis
ENSOANP00000032271	ENSOANG00000031551	Ornithorhynchus_anatinus
ENSFALP00000009282	ENSFALG00000008898	Ficedula_albicollis
ENSOARP00000001166	ENSOARG00000001095	Ovis_aries
ENSNVIP00000021547	ENSNVIG00000015347	Neovison_vison
ENSCAFP00020012750	ENSCAFG00020010273	Canis_lupus_dingo
ENSCABP00000003910	ENSCABG00000002952	Chelonoidis_abingdonii
ENSHHUP00000081138	ENSHHUG00000047197	Hucho_hucho
ENSOPRP00000003535	ENSOPRG00000003801	Ochotona_princeps
ENSVURP00010022143	ENSVURG00010016964	Vombatus_ursinus
ENSPTEP00000038784	ENSPTEG00000035986	Piliocolobus_tephrosceles
ENSTGEP00000023819	ENSTGEG00000019259	Theropithecus_gelada
ENSPEMP00000007979	ENSPEMG00000009736	Peromyscus_maniculatus_bairdii
ENSLSDP00000016360	ENSLSDG00000011674	Lonchura_striata_domestica
ENSLACP00000004972	ENSLACG00000004421	Latimeria_chalumnae
