ENSPCIP00000052041	ENSPCIG00000010455	Phascolarctos_cinereus
ENSVURP00010012369	ENSVURG00010009565	Vombatus_ursinus
ENSMEUP00000015062	ENSMEUG00000016460	Notamacropus_eugenii
ENSMODP00000042541	ENSMODG00000005166	Monodelphis_domestica
ENSSHAP00000002102	ENSSHAG00000001870	Sarcophilus_harrisii
ENSPTRP00000053770	ENSPTRG00000007763	Pan_troglodytes
ENSPPAP00000034353	ENSPPAG00000039980	Pan_paniscus
ENSP00000387122	ENSG00000038532	Homo_sapiens
ENSGGOP00000013727	ENSGGOG00000014059	Gorilla_gorilla
ENSPPYP00000008027	ENSPPYG00000007098	Pongo_abelii
ENSNLEP00000012380	ENSNLEG00000010152	Nomascus_leucogenys
ENSCANP00000002295	ENSCANG00000008347	Colobus_angolensis_palliatus
ENSPTEP00000023064	ENSPTEG00000023861	Piliocolobus_tephrosceles
ENSRBIP00000009934	ENSRBIG00000028801	Rhinopithecus_bieti
ENSRROP00000042353	ENSRROG00000044301	Rhinopithecus_roxellana
ENSCATP00000024279	ENSCATG00000035628	Cercocebus_atys
ENSMLEP00000031141	ENSMLEG00000039728	Mandrillus_leucophaeus
ENSTGEP00000032514	ENSTGEG00000025988	Theropithecus_gelada
ENSPANP00000013899	ENSPANG00000000525	Papio_anubis
ENSMFAP00000004663	ENSMFAG00000001961	Macaca_fascicularis
ENSMMUP00000008579	ENSMMUG00000006515	Macaca_mulatta
ENSMNEP00000029300	ENSMNEG00000038034	Macaca_nemestrina
ENSCSAP00000004666	ENSCSAG00000008414	Chlorocebus_sabaeus
ENSCCAP00000027181	ENSCCAG00000031303	Cebus_capucinus_imitator
ENSSBOP00000033496	ENSSBOG00000032827	Saimiri_boliviensis_boliviensis
ENSCJAP00000067140	ENSCJAG00000016025	Callithrix_jacchus
ENSANAP00000037189	ENSANAG00000036023	Aotus_nancymaae
ENSTSYP00000011969	ENSTSYG00000013039	Carlito_syrichta
ENSPCOP00000004936	ENSPCOG00000013270	Propithecus_coquereli
ENSMICP00000049451	ENSMICG00000016678	Microcebus_murinus
ENSPSMP00000005714	ENSPSMG00000004317	Prolemur_simus
ENSOGAP00000011420	ENSOGAG00000012739	Otolemur_garnettii
ENSDORP00000002151	ENSDORG00000002284	Dipodomys_ordii
ENSCCNP00000031738	ENSCCNG00000030182	Castor_canadensis
ENSMSIP00000009480	ENSMSIG00000007597	Mus_spicilegus
MGP_SPRETEiJ_P0042190	MGP_SPRETEiJ_G0021340	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000065423	ENSMUSG00000068663	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0040343	MGP_CAROLIEiJ_G0020446	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0027742	MGP_PahariEiJ_G0016153	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000075216	ENSRNOG00000057378	Rattus_norvegicus
ENSMUGP00000029834	ENSMUGG00000024545	Meriones_unguiculatus
ENSPEMP00000004360	ENSPEMG00000006527	Peromyscus_maniculatus_bairdii
ENSMOCP00000027441	ENSMOCG00000022920	Microtus_ochrogaster
ENSCGRP00000006097	ENSCGRG00000004462	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015013557	ENSCGRG00015008823	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001003242	ENSCGRG00001003785	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000015902	ENSMAUG00000015162	Mesocricetus_auratus
ENSNGAP00000022537	ENSNGAG00000021365	Nannospalax_galili
ENSJJAP00000020865	ENSJJAG00000021362	Jaculus_jaculus
ENSCLAP00000020693	ENSCLAG00000014177	Chinchilla_lanigera
ENSODEP00000015947	ENSODEG00000011749	Octodon_degus
ENSCPOP00000031239	ENSCPOG00000002517	Cavia_porcellus
ENSCAPP00000014755	ENSCAPG00000015006	Cavia_aperea
