ENSCSAP00000018335	ENSCSAG00000018816	Chlorocebus_sabaeus
ENSPTRP00000017491	ENSPTRG00000010291	Pan_troglodytes
ENSCATP00000036901	ENSCATG00000041220	Cercocebus_atys
ENSPANP00000024234	ENSPANG00000034710	Papio_anubis
ENSMFAP00000018077	ENSMFAG00000032133	Macaca_fascicularis
ENSCJAP00000071867	ENSCJAG00000059546	Callithrix_jacchus	ENSCJAT00000113639
ENSMLEP00000023359	ENSMLEG00000035883	Mandrillus_leucophaeus
ENSPPAP00000017767	ENSPPAG00000031996	Pan_paniscus
ENSGGOP00000005020	ENSGGOG00000005124	Gorilla_gorilla
ENSRROP00000014149	ENSRROG00000031290	Rhinopithecus_roxellana
ENSNLEP00000022881	ENSNLEG00000019024	Nomascus_leucogenys
ENSRBIP00000020978	ENSRBIG00000034476	Rhinopithecus_bieti
