ENSEBUP00000003684	ENSEBUG00000002549	Eptatretus_burgeri	ENSEBUT00000004068
ENSPMAP00000002485	ENSPMAG00000002275	Petromyzon_marinus	ENSPMAT00000002497
ENSLACP00000021941	ENSLACG00000017806	Latimeria_chalumnae	ENSLACT00000024982
ENSHHUP00000015926	ENSHHUG00000009906	Hucho_hucho	ENSHHUT00000016485
ENSTGUP00000004752	ENSTGUG00000004608	Taeniopygia_guttata
ENSLSDP00000012454	ENSLSDG00000009094	Lonchura_striata_domestica
ENSSCAP00000011510	ENSSCAG00000008634	Serinus_canaria
ENSZALP00000019944	ENSZALG00000015739	Zonotrichia_albicollis
ENSJHYP00000020525	ENSJHYG00000015565	Junco_hyemalis
ENSPMJP00000010437	ENSPMJG00000008222	Parus_major
ENSCPGP00000017211	ENSCPGG00000012074	Calidris_pygmaea
ENSCPUP00000005237	ENSCPUG00000003846	Calidris_pugnax
ENSCPGP00000017062	ENSCPGG00000011978	Calidris_pygmaea
ENSMUNP00000005379	ENSMUNG00000004428	Melopsittacus_undulatus
ENSCCEP00000007511	ENSCCEG00000007883	Cyanistes_caeruleus
ENSPMJP00000002369	ENSPMJG00000001951	Parus_major
ENSFALP00000004992	ENSFALG00000004792	Ficedula_albicollis
ENSLCOP00000016350	ENSLCOG00000011652	Lepidothrix_coronata
ENSMVIP00005027319	ENSMVIG00005019057	Manacus_vitellinus
ENSABRP00000021347	ENSABRG00000018153	Anser_brachyrhynchus
ENSAPLP00000000529	ENSAPLG00000001055	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000001521	ENSMGAG00000002005	Meleagris_gallopavo
ENSCJPP00005018849	ENSCJPG00005015302	Coturnix_japonica
ENSGALP00000005781	ENSGALG00000003655	Gallus_gallus
ENSNMEP00000008805	ENSNMEG00000008569	Numida_meleagris
ENSAHAP00000021273	ENSAHAG00000014936	Apteryx_haastii
ENSARWP00000024964	ENSARWG00000017008	Apteryx_rowi
ENSAOWP00000002283	ENSAOWG00000001635	Apteryx_owenii
ENSDNVP00000019195	ENSDNVG00000013450	Dromaius_novaehollandiae
ENSNPEP00000011666	ENSNPEG00000008764	Nothoprocta_perdicaria
ENSCPRP00005011029	ENSCPRG00005007880	Crocodylus_porosus
ENSGAGP00000012482	ENSGAGG00000009593	Gopherus_agassizii
ENSCABP00000022460	ENSCABG00000016534	Chelonoidis_abingdonii
ENSCPBP00000040783	ENSCPBG00000028013	Chrysemys_picta_bellii
ENSPSIP00000003962	ENSPSIG00000003747	Pelodiscus_sinensis
ENSPVIP00000013352	ENSPVIG00000010351	Pogona_vitticeps
ENSNSUP00000015801	ENSNSUG00000011681	Notechis_scutatus
ENSSMRP00000003607	ENSSMRG00000003046	Salvator_merianae
ENSSPUP00000005344	ENSSPUG00000004113	Sphenodon_punctatus
ENSPCIP00000040938	ENSPCIG00000029955	Phascolarctos_cinereus
ENSVURP00010003131	ENSVURG00010002520	Vombatus_ursinus
ENSMEUP00000013226	ENSMEUG00000014492	Notamacropus_eugenii
ENSSHAP00000017304	ENSSHAG00000014709	Sarcophilus_harrisii
ENSMODP00000043774	ENSMODG00000009312	Monodelphis_domestica
ENSCCNP00000007032	ENSCCNG00000007541	Castor_canadensis
ENSDORP00000007300	ENSDORG00000007788	Dipodomys_ordii
ENSSDAP00000017461	ENSSDAG00000015871	Spermophilus_dauricus
ENSSDAP00000020179	ENSSDAG00000018352	Spermophilus_dauricus
ENSSTOP00000025057	ENSSTOG00000019773	Ictidomys_tridecemlineatus
ENSUPAP00010004691	ENSUPAG00010003809	Urocitellus_parryii
ENSMMMP00000007353	ENSMMMG00000006596	Marmota_marmota_marmota
ENSCAPP00000009386	ENSCAPG00000010873	Cavia_aperea
ENSCAPP00000009477	ENSCAPG00000010947	Cavia_aperea
ENSCPOP00000029473	ENSCPOG00000015191	Cavia_porcellus
ENSODEP00000000963	ENSODEG00000000771	Octodon_degus
ENSHGLP00000007739	ENSHGLG00000005611	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100008740	ENSHGLG00100006506	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000010828	ENSFDAG00000018488	Fukomys_damarensis
ENSCLAP00000003793	ENSCLAG00000002702	Chinchilla_lanigera
ENSMSIP00000013315	ENSMSIG00000011533	Mus_spicilegus
ENSMUSP00000103217	ENSMUSG00000030498	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0079805	MGP_CAROLIEiJ_G0029798	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0016665	MGP_PahariEiJ_G0013023	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000022499	ENSRNOG00000016717	Rattus_norvegicus
ENSMUGP00000010945	ENSMUGG00000009591	Meriones_unguiculatus
ENSPEMP00000004279	ENSPEMG00000006543	Peromyscus_maniculatus_bairdii
ENSMOCP00000013285	ENSMOCG00000013131	Microtus_ochrogaster
ENSCGRP00000010610	ENSCGRG00000007786	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015023780	ENSCGRG00015018077	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001018203	ENSCGRG00001018029	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000000083	ENSMAUG00000000097	Mesocricetus_auratus
ENSNGAP00000009553	ENSNGAG00000012212	Nannospalax_galili
ENSJJAP00000012978	ENSJJAG00000015866	Jaculus_jaculus
ENSOPRP00000004906	ENSOPRG00000005356	Ochotona_princeps
ENSTBEP00000009805	ENSTBEG00000011344	Tupaia_belangeri
ENSPPAP00000029668	ENSPPAG00000037838	Pan_paniscus
ENSPTRP00000005998	ENSPTRG00000003446	Pan_troglodytes
ENSP00000401145	ENSG00000148935	Homo_sapiens
ENSGGOP00000018675	ENSGGOG00000027509	Gorilla_gorilla
ENSPPYP00000003922	ENSPPYG00000003415	Pongo_abelii
ENSNLEP00000043225	ENSNLEG00000030202	Nomascus_leucogenys
ENSPANP00000006625	ENSPANG00000025514	Papio_anubis
ENSCSAP00000001496	ENSCSAG00000005176	Chlorocebus_sabaeus
ENSTGEP00000009245	ENSTGEG00000007616	Theropithecus_gelada
ENSMMUP00000078938	ENSMMUG00000020818	Macaca_mulatta
ENSMNEP00000012986	ENSMNEG00000030757	Macaca_nemestrina
ENSMFAP00000043845	ENSMFAG00000039283	Macaca_fascicularis
ENSCATP00000010817	ENSCATG00000029661	Cercocebus_atys
ENSMLEP00000008451	ENSMLEG00000028387	Mandrillus_leucophaeus
ENSCANP00000035300	ENSCANG00000041319	Colobus_angolensis_palliatus
ENSPTEP00000020373	ENSPTEG00000021618	Piliocolobus_tephrosceles
ENSRBIP00000024374	ENSRBIG00000036081	Rhinopithecus_bieti
ENSRROP00000034176	ENSRROG00000040640	Rhinopithecus_roxellana
ENSCCAP00000027499	ENSCCAG00000031608	Cebus_capucinus_imitator
ENSCJAP00000074122	ENSCJAG00000006376	Callithrix_jacchus
ENSSBOP00000022252	ENSSBOG00000027647	Saimiri_boliviensis_boliviensis
ENSANAP00000021690	ENSANAG00000028616	Aotus_nancymaae
ENSTSYP00000002155	ENSTSYG00000002329	Carlito_syrichta
ENSPCOP00000013112	ENSPCOG00000018165	Propithecus_coquereli
ENSPSMP00000028162	ENSPSMG00000019614	Prolemur_simus
ENSMICP00000046490	ENSMICG00000031234	Microcebus_murinus
ENSOGAP00000010744	ENSOGAG00000012010	Otolemur_garnettii
ENSGGOP00000047871	ENSGGOG00000042299	Gorilla_gorilla
ENSCCNP00000007031	ENSCCNG00000007539	Castor_canadensis
ENSOCUP00000040122	ENSOCUG00000014464	Oryctolagus_cuniculus
MGP_SPRETEiJ_P0083151	MGP_SPRETEiJ_G0030901	Mus_spretus_strain_SPRET/EiJ
ENSPVAP00000004241	ENSPVAG00000004479	Pteropus_vampyrus
ENSSARP00000003535	ENSSARG00000003911	Sorex_araneus
ENSMLUP00000001026	ENSMLUG00000001128	Myotis_lucifugus
ENSMLUP00000021529	ENSMLUG00000029729	Myotis_lucifugus
ENSEEUP00000010491	ENSEEUG00000011517	Erinaceus_europaeus
ENSTTRP00000015169	ENSTTRG00000016007	Tursiops_truncatus
ENSSSCP00000023929	ENSSSCG00000031940	Sus_scrofa_strain_reference
ENSOARP00000008106	ENSOARG00000007558	Ovis_aries
ENSCHIP00000028798	ENSCHIG00000024172	Capra_hircus
ENSBIXP00000027582	ENSBIXG00000000103	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005039249	ENSBIXG00005021605	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000020839	ENSBMUG00000015704	Bos_mutus
ENSBTAP00000028855	ENSBTAG00000021654	Bos_taurus
ENSBMUP00000003044	ENSBMUG00000002421	Bos_mutus
ENSBBBP00000020109	ENSBBBG00000013684	Bison_bison_bison
ENSVPAP00000001287	ENSVPAG00000001393	Vicugna_pacos
ENSECAP00000005527	ENSECAG00000007468	Equus_caballus
ENSEASP00005019022	ENSEASG00005013095	Equus_asinus_asinus
ENSCAFP00020024742	ENSCAFG00020019458	Canis_lupus_dingo
ENSCAFP00000014859	ENSCAFG00000010113	Canis_lupus_familiaris
ENSVVUP00000013307	ENSVVUG00000009784	Vulpes_vulpes
ENSUAMP00000013651	ENSUAMG00000010967	Ursus_americanus
ENSUMAP00000027415	ENSUMAG00000019898	Ursus_maritimus
ENSAMEP00000015555	ENSAMEG00000014774	Ailuropoda_melanoleuca
ENSMPUP00000013966	ENSMPUG00000014074	Mustela_putorius_furo
ENSNVIP00000021797	ENSNVIG00000017020	Neovison_vison
ENSPPRP00000026142	ENSPPRG00000016682	Panthera_pardus
ENSPTIP00000011786	ENSPTIG00000012091	Panthera_tigris_altaica
ENSFCAP00000030616	ENSFCAG00000013896	Felis_catus
ENSLAFP00000003663	ENSLAFG00000004391	Loxodonta_africana
ENSPCAP00000011635	ENSPCAG00000012495	Procavia_capensis
ENSETEP00000013083	ENSETEG00000016132	Echinops_telfairi
ENSCHOP00000002039	ENSCHOG00000002305	Choloepus_hoffmanni
ENSDNOP00000025915	ENSDNOG00000043450	Dasypus_novemcinctus
ENSOANP00000020742	ENSOANG00000013127	Ornithorhynchus_anatinus
ENSACAP00000014845	ENSACAG00000015124	Anolis_carolinensis
ENSXETP00000011299	ENSXETG00000016048	Xenopus_tropicalis
