ENSJHYP00000000496	ENSJHYG00000000459	Junco_hyemalis
ENSZALP00000015695	ENSZALG00000012834	Zonotrichia_albicollis
ENSSCAP00000004816	ENSSCAG00000003892	Serinus_canaria
ENSLSDP00000024708	ENSLSDG00000017331	Lonchura_striata_domestica
ENSTGUP00000013169	ENSTGUG00000012788	Taeniopygia_guttata
ENSPMJP00000024258	ENSPMJG00000017852	Parus_major
ENSCCEP00000027418	ENSCCEG00000023944	Cyanistes_caeruleus
ENSFALP00000000359	ENSFALG00000000353	Ficedula_albicollis
ENSLCOP00000017300	ENSLCOG00000012245	Lepidothrix_coronata
ENSMVIP00005017890	ENSMVIG00005012723	Manacus_vitellinus
ENSMUNP00000003581	ENSMUNG00000003048	Melopsittacus_undulatus
ENSCPGP00000014216	ENSCPGG00000010061	Calidris_pygmaea
ENSCPUP00000001738	ENSCPUG00000001283	Calidris_pugnax
ENSABRP00000000683	ENSABRG00000000705	Anser_brachyrhynchus
ENSAPLP00000015932	ENSAPLG00000016036	Anas_platyrhynchos_platyrhynchos
ENSGALP00000027741	ENSGALG00000017196	Gallus_gallus
ENSMGAP00000016108	ENSMGAG00000015182	Meleagris_gallopavo
ENSCJPP00005003669	ENSCJPG00005003808	Coturnix_japonica
ENSNMEP00000023051	ENSNMEG00000019664	Numida_meleagris
ENSAHAP00000010590	ENSAHAG00000007106	Apteryx_haastii
ENSAOWP00000009238	ENSAOWG00000006335	Apteryx_owenii
ENSARWP00000017772	ENSARWG00000012216	Apteryx_rowi
ENSDNVP00000024689	ENSDNVG00000017165	Dromaius_novaehollandiae
ENSNPEP00000005769	ENSNPEG00000004355	Nothoprocta_perdicaria
ENSCPRP00005021561	ENSCPRG00005014996	Crocodylus_porosus
ENSGAGP00000036531	ENSGAGG00000025902	Gopherus_agassizii
ENSCABP00000002568	ENSCABG00000001993	Chelonoidis_abingdonii
ENSCPBP00000039801	ENSCPBG00000027408	Chrysemys_picta_bellii
ENSPSIP00000015992	ENSPSIG00000014150	Pelodiscus_sinensis
ENSACAP00000013658	ENSACAG00000013753	Anolis_carolinensis
ENSPVIP00000033004	ENSPVIG00000024157	Pogona_vitticeps
ENSNSUP00000007670	ENSNSUG00000006025	Notechis_scutatus
ENSSMRP00000013745	ENSSMRG00000010680	Salvator_merianae
ENSSPUP00000019547	ENSSPUG00000015036	Sphenodon_punctatus
ENSVURP00010016748	ENSVURG00010012829	Vombatus_ursinus
ENSPCIP00000013858	ENSPCIG00000010806	Phascolarctos_cinereus
ENSMEUP00000010291	ENSMEUG00000011268	Notamacropus_eugenii
