ENSOARP00000017488	ENSOARG00000016282	Ovis_aries
ENSUMAP00000007866	ENSUMAG00000006042	Ursus_maritimus
ENSMODP00000005521	ENSMODG00000004482	Monodelphis_domestica
ENSPMAP00000007031	ENSPMAG00000006363	Petromyzon_marinus
ENSVVUP00000017683	ENSVVUG00000013007	Vulpes_vulpes
ENSDNVP00000009490	ENSDNVG00000006701	Dromaius_novaehollandiae
ENSEBUP00000026277	ENSEBUG00000016181	Eptatretus_burgeri	ENSEBUT00000026853
ENSECAP00000019923	ENSECAG00000022309	Equus_caballus
ENSTBEP00000011956	ENSTBEG00000013768	Tupaia_belangeri
ENSGWIP00000007189	ENSGWIG00000004188	Gouania_willdenowi
MGP_PahariEiJ_P0032778	MGP_PahariEiJ_G0017298	Mus_pahari_strain_PAHARI_EIJ
ENSCPGP00000028357	ENSCPGG00000019497	Calidris_pygmaea
ENSMEUP00000008792	ENSMEUG00000009630	Notamacropus_eugenii
ENSCAPP00000010315	ENSCAPG00000011580	Cavia_aperea
ENSMNEP00000018727	ENSMNEG00000033238	Macaca_nemestrina
ENSPCOP00000003322	ENSPCOG00000010028	Propithecus_coquereli
ENSMFAP00000008942	ENSMFAG00000001042	Macaca_fascicularis
ENSRNOP00000036466	ENSRNOG00000024112	Rattus_norvegicus
ENSNPEP00000012066	ENSNPEG00000009032	Nothoprocta_perdicaria
ENSTSYP00000002308	ENSTSYG00000002505	Carlito_syrichta
ENSELUP00000027945	ENSELUG00000004386	Esox_lucius
ENSGGOP00000010060	ENSGGOG00000010295	Gorilla_gorilla
ENSLSDP00000015906	ENSLSDG00000011471	Lonchura_striata_domestica
ENSANAP00000012934	ENSANAG00000024388	Aotus_nancymaae
FBpp0303397	FBgn0051140	Drosophila_melanogaster
ENSCPOP00000029746	ENSCPOG00000002313	Cavia_porcellus
ENSPKIP00000030439	ENSPKIG00000011257	Paramormyrops_kingsleyae
ENSLOCP00000014903	ENSLOCG00000012108	Lepisosteus_oculatus
ENSCGOP00000014790	ENSCGOG00000007184	Cottoperca_gobio
ENSCHAP00000008793	ENSCHAG00000004892	Clupea_harengus
ENSMUGP00000001518	ENSMUGG00000001406	Meriones_unguiculatus
ENSSARP00000005374	ENSSARG00000005924	Sorex_araneus
ENSCINP00000034767	ENSCING00000018149	Ciona_intestinalis
ENSDORP00000007944	ENSDORG00000008460	Dipodomys_ordii
ENSNSUP00000021265	ENSNSUG00000015451	Notechis_scutatus
ENSLBEP00000024295	ENSLBEG00000018579	Labrus_bergylta
ENSTRUP00000006074	ENSTRUG00000002613	Takifugu_rubripes
ENSHHUP00000060594	ENSHHUG00000035857	Hucho_hucho
ENSDCDP00000030167	ENSDCDG00000021230	Denticeps_clupeoides
ENSPMEP00000027950	ENSPMEG00000012694	Poecilia_mexicana
ENSODEP00000017255	ENSODEG00000012712	Octodon_degus
ENSCATP00000031642	ENSCATG00000038934	Cercocebus_atys
ENSMAUP00000005962	ENSMAUG00000008006	Mesocricetus_auratus
ENSPTRP00000082684	ENSPTRG00000047042	Pan_troglodytes
ENSPPYP00000016222	ENSPPYG00000014513	Pongo_abelii
