ENSARWP00000015383	ENSARWG00000010622	Apteryx_rowi
ENSAOWP00000016545	ENSAOWG00000011271	Apteryx_owenii
ENSNPEP00000013684	ENSNPEG00000010230	Nothoprocta_perdicaria
ENSDNVP00000011648	ENSDNVG00000008199	Dromaius_novaehollandiae
ENSAHAP00000015773	ENSAHAG00000011290	Apteryx_haastii
ENSGALP00000066055	ENSGALG00000046299	Gallus_gallus
ENSCJPP00005019044	ENSCJPG00005015471	Coturnix_japonica
ENSMGAP00000018675	ENSMGAG00000000695	Meleagris_gallopavo
ENSNMEP00000003030	ENSNMEG00000003596	Numida_meleagris
ENSAPLP00000007658	ENSAPLG00000008023	Anas_platyrhynchos_platyrhynchos
ENSABRP00000025382	ENSABRG00000021291	Anser_brachyrhynchus
ENSPMJP00000024463	ENSPMJG00000017995	Parus_major
ENSCCEP00000018274	ENSCCEG00000016773	Cyanistes_caeruleus
ENSFALP00000000405	ENSFALG00000000390	Ficedula_albicollis
ENSJHYP00000001437	ENSJHYG00000001067	Junco_hyemalis
ENSSCAP00000009310	ENSSCAG00000007106	Serinus_canaria
ENSCPUP00000024036	ENSCPUG00000016300	Calidris_pugnax	ENSCPUT00000028335
ENSCPGP00000026296	ENSCPGG00000018132	Calidris_pygmaea	ENSCPGT00000028733
ENSCPGP00000026292	ENSCPGG00000018129	Calidris_pygmaea
ENSLSDP00000023679	ENSLSDG00000016664	Lonchura_striata_domestica
ENSAOWP00000016536	ENSAOWG00000011266	Apteryx_owenii
ENSNPEP00000013685	ENSNPEG00000010233	Nothoprocta_perdicaria
ENSCPRP00005005950	ENSCPRG00005004249	Crocodylus_porosus
ENSCABP00000014186	ENSCABG00000010580	Chelonoidis_abingdonii
ENSACAP00000017509	ENSACAG00000017781	Anolis_carolinensis
ENSPVIP00000020518	ENSPVIG00000015654	Pogona_vitticeps
ENSNSUP00000018950	ENSNSUG00000013829	Notechis_scutatus
ENSSMRP00000001556	ENSSMRG00000001354	Salvator_merianae
ENSSPUP00000013767	ENSSPUG00000010576	Sphenodon_punctatus
ENSCABP00000014177	ENSCABG00000010576	Chelonoidis_abingdonii
ENSCPBP00000035985	ENSCPBG00000025025	Chrysemys_picta_bellii
ENSGAGP00000000338	ENSGAGG00000000287	Gopherus_agassizii
ENSMLUP00000009304	ENSMLUG00000010184	Myotis_lucifugus
ENSPVAP00000016277	ENSPVAG00000017254	Pteropus_vampyrus
ENSUAMP00000008474	ENSUAMG00000007089	Ursus_americanus
ENSUMAP00000017368	ENSUMAG00000012697	Ursus_maritimus
ENSAMEP00000011023	ENSAMEG00000010424	Ailuropoda_melanoleuca
ENSNVIP00000030662	ENSNVIG00000023607	Neovison_vison
ENSMPUP00000015653	ENSMPUG00000015762	Mustela_putorius_furo
ENSCAFP00000018607	ENSCAFG00000012630	Canis_lupus_familiaris
ENSCAFP00020027166	ENSCAFG00020021246	Canis_lupus_dingo
ENSVVUP00000015929	ENSVVUG00000011710	Vulpes_vulpes
ENSPPRP00000007780	ENSPPRG00000002834	Panthera_pardus
ENSPTIP00000016342	ENSPTIG00000015149	Panthera_tigris_altaica
ENSFCAP00000011873	ENSFCAG00000012803	Felis_catus
ENSECAP00000016956	ENSECAG00000019108	Equus_caballus
ENSEASP00005005405	ENSEASG00005003974	Equus_asinus_asinus
ENSOARP00000005648	ENSOARG00000005259	Ovis_aries
ENSCHIP00000021567	ENSCHIG00000019843	Capra_hircus
ENSBIXP00000037719	ENSBIXG00000021319	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005001380	ENSBIXG00005007881	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000025847	ENSBTAG00000019399	Bos_taurus
ENSBMUP00000021544	ENSBMUG00000016212	Bos_mutus
ENSBBBP00000005514	ENSBBBG00000014206	Bison_bison_bison
ENSTTRP00000000581	ENSTTRG00000000619	Tursiops_truncatus
ENSSSCP00000025745	ENSSSCG00000028387	Sus_scrofa_strain_reference
ENSEEUP00000009677	ENSEEUG00000010582	Erinaceus_europaeus
ENSPTRP00000081491	ENSPTRG00000048000	Pan_troglodytes
ENSP00000363371	ENSG00000142675	Homo_sapiens
ENSPPYP00000001955	ENSPPYG00000001692	Pongo_abelii
ENSCANP00000023350	ENSCANG00000035101	Colobus_angolensis_palliatus
ENSPTEP00000015682	ENSPTEG00000017305	Piliocolobus_tephrosceles
ENSRROP00000010613	ENSRROG00000029711	Rhinopithecus_roxellana
ENSRBIP00000015715	ENSRBIG00000031952	Rhinopithecus_bieti
