ENSLCAP00010059843	ENSLCAG00010027861	Lates_calcarifer
ENSCSEP00000009746	ENSCSEG00000006257	Cynoglossus_semilaevis
ENSATEP00000008671	ENSATEG00000006105	Anabas_testudineus
ENSBSLP00000052548	ENSBSLG00000024808	Betta_splendens
ENSTNIP00000013851	ENSTNIG00000010921	Tetraodon_nigroviridis
ENSTRUP00000045326	ENSTRUG00000017687	Takifugu_rubripes
ENSMMOP00000022382	ENSMMOG00000017011	Mola_mola
ENSGACP00000007307	ENSGACG00000005529	Gasterosteus_aculeatus
ENSPMEP00000005899	ENSPMEG00000007338	Poecilia_mexicana
ENSPMEP00000031923	ENSPMEG00000019400	Poecilia_mexicana
ENSPLAP00000006048	ENSPLAG00000008108	Poecilia_latipinna
ENSPLAP00000017121	ENSPLAG00000021464	Poecilia_latipinna
ENSPFOP00000020781	ENSPFOG00000020657	Poecilia_formosa
ENSPFOP00000020782	ENSPFOG00000020658	Poecilia_formosa
ENSPREP00000015991	ENSPREG00000010802	Poecilia_reticulata
ENSXMAP00000020072	ENSXMAG00000020025	Xiphophorus_maculatus
ENSXCOP00000003460	ENSXCOG00000002731	Xiphophorus_couchianus
ENSGAFP00000023366	ENSGAFG00000015782	Gambusia_affinis
ENSFHEP00000015527	ENSFHEG00000017148	Fundulus_heteroclitus
ENSCVAP00000009987	ENSCVAG00000012060	Cyprinodon_variegatus
ENSKMAP00000004575	ENSKMAG00000003491	Kryptolebias_marmoratus
ENSORLP00020006402	ENSORLG00020007241	Oryzias_latipes_ASM223471v1
ENSORLP00000029687	ENSORLG00000025752	Oryzias_latipes_ASM223467v1
ENSORLP00015020339	ENSORLG00015021454	Oryzias_latipes_ASM223469v1
ENSOMEP00000031834	ENSOMEG00000016906	Oryzias_melastigma
ENSGWIP00000012831	ENSGWIG00000007413	Gouania_willdenowi
ENSGWIP00000012838	ENSGWIG00000007418	Gouania_willdenowi
ENSGWIP00000012851	ENSGWIG00000007426	Gouania_willdenowi
ENSSDUP00000020164	ENSSDUG00000014661	Seriola_dumerili
ENSSLDP00000024183	ENSSLDG00000018853	Seriola_lalandi_dorsalis
ENSSMAP00000015333	ENSSMAG00000009403	Scophthalmus_maximus
ENSLCRP00005056921	ENSLCRG00005021156	Larimichthys_crocea
ENSLBEP00000025779	ENSLBEG00000019667	Labrus_bergylta
ENSCGOP00000011996	ENSCGOG00000005954	Cottoperca_gobio
ENSMAMP00000022202	ENSMAMG00000014952	Mastacembelus_armatus
ENSMALP00000012598	ENSMALG00000008949	Monopterus_albus
ENSAOCP00000005097	ENSAOCG00000008549	Amphiprion_ocellaris
ENSAPEP00000015162	ENSAPEG00000010804	Amphiprion_percula
ENSAPOP00000031873	ENSAPOG00000019416	Acanthochromis_polyacanthus
ENSSPAP00000006716	ENSSPAG00000005178	Stegastes_partitus
ENSPRNP00000023413	ENSPRNG00000011951	Parambassis_ranga
ENSMZEP00005028653	ENSMZEG00005021364	Maylandia_zebra
ENSACLP00000026012	ENSACLG00000017697	Astatotilapia_calliptera
ENSPNYP00000015691	ENSPNYG00000011887	Pundamilia_nyererei
ENSHBUP00000032406	ENSHBUG00000018671	Haplochromis_burtoni
ENSNBRP00000029530	ENSNBRG00000022492	Neolamprologus_brichardi
ENSONIP00000008360	ENSONIG00000006618	Oreochromis_niloticus
ENSACIP00000020130	ENSACIG00000015649	Amphilophus_citrinellus
ENSPMGP00000024087	ENSPMGG00000019480	Periophthalmus_magnuspinnatus
ENSHCOP00000004808	ENSHCOG00000006334	Hippocampus_comes
ENSGMOP00000016734	ENSGMOG00000015608	Gadus_morhua
ENSHHUP00000063229	ENSHHUG00000037374	Hucho_hucho
ENSHHUP00000020032	ENSHHUG00000012544	Hucho_hucho
ENSELUP00000037742	ENSELUG00000017468	Esox_lucius
ENSAMXP00005000626	ENSAMXG00005000380	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000045198	ENSAMXG00000042917	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000030946	ENSPNAG00000017967	Pygocentrus_nattereri
ENSIPUP00000010707	ENSIPUG00000007301	Ictalurus_punctatus
ENSEEEP00000001236	ENSEEEG00000000842	Electrophorus_electricus
ENSDARP00000069611	ENSDARG00000053133	Danio_rerio
ENSCHAP00000021664	ENSCHAG00000010895	Clupea_harengus
ENSDCDP00000017526	ENSDCDG00000014293	Denticeps_clupeoides
ENSPKIP00000031871	ENSPKIG00000012193	Paramormyrops_kingsleyae
ENSLOCP00000022186	ENSLOCG00000018085	Lepisosteus_oculatus
ENSECRP00000025149	ENSECRG00000017012	Erpetoichthys_calabaricus
ENSLACP00000021719	ENSLACG00000019085	Latimeria_chalumnae
ENSXETP00000034578	ENSXETG00000015031	Xenopus_tropicalis
ENSCMIP00000004577	ENSCMIG00000002721	Callorhinchus_milii
