ENSTGEP00000020773	ENSTGEG00000016716	Theropithecus_gelada
ENSPSMP00000026173	ENSPSMG00000018363	Prolemur_simus
ENSECRP00000024587	ENSECRG00000016660	Erpetoichthys_calabaricus
ENSSMAP00000000238	ENSSMAG00000000160	Scophthalmus_maximus
ENSMZEP00005015578	ENSMZEG00005011685	Maylandia_zebra
ENSTRUP00000026675	ENSTRUG00000010569	Takifugu_rubripes
ENSOCUP00000047378	ENSOCUG00000032608	Oryctolagus_cuniculus
ENSLCAP00010052468	ENSLCAG00010024431	Lates_calcarifer
ENSBSLP00000034646	ENSBSLG00000016733	Betta_splendens
ENSPRNP00000019936	ENSPRNG00000010460	Parambassis_ranga
ENSPMGP00000027981	ENSPMGG00000022561	Periophthalmus_magnuspinnatus
ENSHHUP00000066285	ENSHHUG00000039072	Hucho_hucho
ENSAMXP00005021939	ENSAMXG00005011363	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000013173	ENSPNAG00000003567	Pygocentrus_nattereri	ENSPNAT00000020700
ENSAMXP00005052930	ENSAMXG00005023766	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSIPUP00000010994	ENSIPUG00000007461	Ictalurus_punctatus
ENSMZEP00005022216	ENSMZEG00005016661	Maylandia_zebra
ENSHBUP00000012454	ENSHBUG00000014173	Haplochromis_burtoni
ENSONIP00000016135	ENSONIG00000012820	Oreochromis_niloticus
ENSAPEP00000013662	ENSAPEG00000009723	Amphiprion_percula
ENSAOCP00000022666	ENSAOCG00000008271	Amphiprion_ocellaris
ENSSPAP00000028554	ENSSPAG00000021493	Stegastes_partitus
ENSLCAP00010021274	ENSLCAG00010010028	Lates_calcarifer
ENSCGOP00000031237	ENSCGOG00000014609	Cottoperca_gobio
ENSGACP00000013952	ENSGACG00000010530	Gasterosteus_aculeatus
ENSSMAP00000020121	ENSSMAG00000012350	Scophthalmus_maximus
ENSXMAP00000011922	ENSXMAG00000011893	Xiphophorus_maculatus
ENSGAFP00000020343	ENSGAFG00000013757	Gambusia_affinis
ENSPLAP00000011098	ENSPLAG00000014110	Poecilia_latipinna
