ENSBIXP00005008267	ENSBIXG00005005486	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000014858	ENSBIXG00000019465	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000057589	ENSBTAG00000050866	Bos_taurus
ENSBMUP00000006938	ENSBMUG00000005488	Bos_mutus	ENSBMUT00000008116
ENSBBBP00000012574	ENSBBBG00000020353	Bison_bison_bison
ENSSSCP00000067112	ENSSSCG00000048919	Sus_scrofa_strain_reference
ENSFCAP00000042943	ENSFCAG00000044886	Felis_catus
ENSPPRP00000022422	ENSPPRG00000012941	Panthera_pardus
ENSCCNP00000000492	ENSCCNG00000000565	Castor_canadensis
ENSOCUP00000041553	ENSOCUG00000030506	Oryctolagus_cuniculus
ENSMMUP00000026231	ENSMMUG00000019949	Macaca_mulatta
