ENSMICP00000007604	ENSMICG00000008338	Microcebus_murinus
ENSOCUP00000019161	ENSOCUG00000026822	Oryctolagus_cuniculus
ENSCJAP00000077690	ENSCJAG00000065812	Callithrix_jacchus
ENSPCAP00000006945	ENSPCAG00000007435	Procavia_capensis
ENSPCOP00000017811	ENSPCOG00000020749	Propithecus_coquereli
ENSPSMP00000016278	ENSPSMG00000011580	Prolemur_simus
ENSOGAP00000005135	ENSOGAG00000005740	Otolemur_garnettii
ENSPTRP00000012763	ENSPTRG00000007466	Pan_troglodytes
ENSPPAP00000037278	ENSPPAG00000041396	Pan_paniscus
ENSP00000377801	ENSG00000166965	Homo_sapiens
ENSGGOP00000008030	ENSGGOG00000008214	Gorilla_gorilla
ENSPPYP00000007703	ENSPPYG00000006790	Pongo_abelii
ENSNLEP00000014881	ENSNLEG00000012251	Nomascus_leucogenys
ENSPANP00000013367	ENSPANG00000023492	Papio_anubis
ENSTGEP00000006670	ENSTGEG00000005452	Theropithecus_gelada
ENSMNEP00000001770	ENSMNEG00000007953	Macaca_nemestrina
ENSMMUP00000006770	ENSMMUG00000005108	Macaca_mulatta
ENSMFAP00000025070	ENSMFAG00000044068	Macaca_fascicularis
ENSMLEP00000015470	ENSMLEG00000031904	Mandrillus_leucophaeus
ENSCATP00000043471	ENSCATG00000044276	Cercocebus_atys
ENSCSAP00000013115	ENSCSAG00000017077	Chlorocebus_sabaeus
ENSCANP00000006194	ENSCANG00000020827	Colobus_angolensis_palliatus
ENSPTEP00000032805	ENSPTEG00000031450	Piliocolobus_tephrosceles
ENSRROP00000024725	ENSRROG00000036157	Rhinopithecus_roxellana
ENSRBIP00000017348	ENSRBIG00000032680	Rhinopithecus_bieti
ENSSBOP00000028190	ENSSBOG00000030496	Saimiri_boliviensis_boliviensis
ENSCCAP00000006163	ENSCCAG00000020832	Cebus_capucinus_imitator
ENSCJAP00000017583	ENSCJAG00000011763	Callithrix_jacchus
ENSANAP00000007980	ENSANAG00000022033	Aotus_nancymaae
ENSMSIP00000019625	ENSMSIG00000016690	Mus_spicilegus
MGP_SPRETEiJ_P0083689	MGP_SPRETEiJ_G0031002	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000048043	ENSMUSG00000038930	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0080340	MGP_CAROLIEiJ_G0029900	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0017189	MGP_PahariEiJ_G0013122	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000031316	ENSRNOG00000042059	Rattus_norvegicus
ENSMUGP00000011854	ENSMUGG00000010352	Meriones_unguiculatus
ENSMUGP00000011534	ENSMUGG00000010091	Meriones_unguiculatus
ENSCGRP00001021176	ENSCGRG00001020094	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000004977	ENSCGRG00000003644	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015003281	ENSCGRG00015002627	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000001515	ENSMAUG00000001132	Mesocricetus_auratus
ENSMOCP00000007358	ENSMOCG00000007153	Microtus_ochrogaster
ENSPEMP00000008947	ENSPEMG00000010404	Peromyscus_maniculatus_bairdii
ENSNGAP00000011243	ENSNGAG00000013437	Nannospalax_galili
ENSJJAP00000015248	ENSJJAG00000017472	Jaculus_jaculus
ENSUPAP00010019262	ENSUPAG00010015255	Urocitellus_parryii
ENSMMMP00000022036	ENSMMMG00000019386	Marmota_marmota_marmota
ENSSTOP00000020863	ENSSTOG00000023982	Ictidomys_tridecemlineatus
ENSCAPP00000017230	ENSCAPG00000016938	Cavia_aperea
ENSCPOP00000006852	ENSCPOG00000007603	Cavia_porcellus
ENSODEP00000021641	ENSODEG00000015923	Octodon_degus
ENSCLAP00000020142	ENSCLAG00000013802	Chinchilla_lanigera
ENSHGLP00000016360	ENSHGLG00000011725	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100009390	ENSHGLG00100006963	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000015406	ENSFDAG00000003255	Fukomys_damarensis
ENSCCNP00000015246	ENSCCNG00000015650	Castor_canadensis
ENSLAFP00000005986	ENSLAFG00000007122	Loxodonta_africana
ENSETEP00000006560	ENSETEG00000008071	Echinops_telfairi
ENSDNOP00000028116	ENSDNOG00000031938	Dasypus_novemcinctus
ENSOARP00000013206	ENSOARG00000012325	Ovis_aries
ENSCHIP00000017654	ENSCHIG00000017401	Capra_hircus
ENSBTAP00000024803	ENSBTAG00000018642	Bos_taurus
ENSBIXP00000031792	ENSBIXG00000007904	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSTTRP00000007480	ENSTTRG00000007907	Tursiops_truncatus
ENSSSCP00000027473	ENSSSCG00000001822	Sus_scrofa_strain_reference
ENSAMEP00000014413	ENSAMEG00000013688	Ailuropoda_melanoleuca
ENSUAMP00000026228	ENSUAMG00000020345	Ursus_americanus
ENSNVIP00000021676	ENSNVIG00000016944	Neovison_vison
ENSMPUP00000015596	ENSMPUG00000015705	Mustela_putorius_furo
ENSCAFP00020020593	ENSCAFG00020016296	Canis_lupus_dingo
ENSVVUP00000008682	ENSVVUG00000006500	Vulpes_vulpes
ENSPPRP00000020979	ENSPPRG00000011903	Panthera_pardus
ENSFCAP00000005667	ENSFCAG00000006098	Felis_catus
ENSECAP00000015418	ENSECAG00000017879	Equus_caballus	ENSECAT00000018872
ENSEASP00005009367	ENSEASG00005006692	Equus_asinus_asinus
ENSPVAP00000014787	ENSPVAG00000015680	Pteropus_vampyrus
ENSDORP00000013226	ENSDORG00000014068	Dipodomys_ordii
ENSOPRP00000010272	ENSOPRG00000011253	Ochotona_princeps
ENSTSYP00000030557	ENSTSYG00000035757	Carlito_syrichta
ENSPCIP00000007865	ENSPCIG00000006571	Phascolarctos_cinereus
ENSVURP00010008832	ENSVURG00010006842	Vombatus_ursinus
ENSMEUP00000014716	ENSMEUG00000016099	Notamacropus_eugenii
ENSSHAP00000012338	ENSSHAG00000010570	Sarcophilus_harrisii
ENSEEUP00000010101	ENSEEUG00000011088	Erinaceus_europaeus
ENSOANP00000029309	ENSOANG00000028327	Ornithorhynchus_anatinus
