ENSAHAP00000011374	ENSAHAG00000008238	Apteryx_haastii	ENSAHAT00000012589
ENSAOWP00000027733	ENSAOWG00000018693	Apteryx_owenii	ENSAOWT00000031436
ENSARWP00000014481	ENSARWG00000010028	Apteryx_rowi	ENSARWT00000016537
ENSNPEP00000016840	ENSNPEG00000012530	Nothoprocta_perdicaria	ENSNPET00000017252
ENSDNVP00000004692	ENSDNVG00000003347	Dromaius_novaehollandiae	ENSDNVT00000005635
ENSMVIP00005021979	ENSMVIG00005015442	Manacus_vitellinus
ENSLCOP00000014096	ENSLCOG00000010146	Lepidothrix_coronata
ENSLSDP00000014517	ENSLSDG00000010489	Lonchura_striata_domestica
ENSTGUP00000011800	ENSTGUG00000011451	Taeniopygia_guttata
ENSFALP00000005021	ENSFALG00000004816	Ficedula_albicollis
ENSZALP00000015173	ENSZALG00000012507	Zonotrichia_albicollis
ENSSCAP00000018665	ENSSCAG00000013502	Serinus_canaria
ENSJHYP00000014132	ENSJHYG00000010958	Junco_hyemalis
ENSPMJP00000007017	ENSPMJG00000005841	Parus_major
ENSCCEP00000020064	ENSCCEG00000018194	Cyanistes_caeruleus
ENSCJPP00005008548	ENSCJPG00005007626	Coturnix_japonica
ENSMUNP00000021729	ENSMUNG00000016362	Melopsittacus_undulatus
ENSCPGP00000014297	ENSCPGG00000010118	Calidris_pygmaea
ENSCPUP00000029025	ENSCPUG00000019501	Calidris_pugnax
ENSMGAP00000012247	ENSMGAG00000011686	Meleagris_gallopavo
ENSCJPP00005000962	ENSCJPG00005001056	Coturnix_japonica
ENSGALP00000050387	ENSGALG00000034013	Gallus_gallus
ENSNMEP00000014142	ENSNMEG00000012742	Numida_meleagris
ENSAPLP00000014985	ENSAPLG00000015137	Anas_platyrhynchos_platyrhynchos
ENSABRP00000007044	ENSABRG00000006480	Anser_brachyrhynchus
ENSCPRP00005013882	ENSCPRG00005009789	Crocodylus_porosus
ENSGAGP00000026195	ENSGAGG00000019118	Gopherus_agassizii
ENSCABP00000019878	ENSCABG00000014664	Chelonoidis_abingdonii
ENSCPBP00000040905	ENSCPBG00000028069	Chrysemys_picta_bellii
ENSPSIP00000010755	ENSPSIG00000009720	Pelodiscus_sinensis
ENSPVIP00000005896	ENSPVIG00000004825	Pogona_vitticeps
ENSACAP00000014131	ENSACAG00000014407	Anolis_carolinensis
ENSNSUP00000000900	ENSNSUG00000000854	Notechis_scutatus
ENSSMRP00000005986	ENSSMRG00000004821	Salvator_merianae
ENSSPUP00000016806	ENSSPUG00000012992	Sphenodon_punctatus
ENSPCIP00000031077	ENSPCIG00000023106	Phascolarctos_cinereus
ENSVURP00010031945	ENSVURG00010024401	Vombatus_ursinus
ENSMEUP00000008072	ENSMEUG00000008844	Notamacropus_eugenii
ENSMODP00000012775	ENSMODG00000010207	Monodelphis_domestica
ENSSHAP00000001067	ENSSHAG00000000955	Sarcophilus_harrisii
ENSBIXP00000006663	ENSBIXG00000012760	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005040234	ENSBIXG00005022799	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000014950	ENSBMUG00000011370	Bos_mutus
ENSBTAP00000060928	ENSBTAG00000050151	Bos_taurus
ENSBBBP00000002139	ENSBBBG00000011272	Bison_bison_bison
ENSCHIP00000002150	ENSCHIG00000004811	Capra_hircus
ENSOARP00000011222	ENSOARG00000010457	Ovis_aries
ENSTTRP00000012994	ENSTTRG00000013700	Tursiops_truncatus
ENSVPAP00000009916	ENSVPAG00000010652	Vicugna_pacos
ENSPTIP00000019547	ENSPTIG00000017308	Panthera_tigris_altaica
ENSPPRP00000026370	ENSPPRG00000017084	Panthera_pardus
ENSPVAP00000002855	ENSPVAG00000003023	Pteropus_vampyrus
ENSMLUP00000017422	ENSMLUG00000026925	Myotis_lucifugus
ENSECAP00000005888	ENSECAG00000007838	Equus_caballus
