ENSMAMP00000023570	ENSMAMG00000015830	Mastacembelus_armatus
ENSPTEP00000033407	ENSPTEG00000031899	Piliocolobus_tephrosceles
ENSBSLP00000032946	ENSBSLG00000015985	Betta_splendens
ENSRROP00000001916	ENSRROG00000007701	Rhinopithecus_roxellana
ENSNGAP00000016299	ENSNGAG00000017069	Nannospalax_galili
MGP_PahariEiJ_P0089087	MGP_PahariEiJ_G0031616	Mus_pahari_strain_PAHARI_EIJ
ENSHGLP00100026246	ENSHGLG00100019259	Heterocephalus_glaber_HetGla_1.0
ENSPANP00000035279	ENSPANG00000011765	Papio_anubis
ENSNLEP00000027307	ENSNLEG00000034102	Nomascus_leucogenys
ENSCAFP00000027858	ENSCAFG00000018887	Canis_lupus_familiaris
ENSCLAP00000019191	ENSCLAG00000013154	Chinchilla_lanigera
ENSORLP00015012995	ENSORLG00015013889	Oryzias_latipes_ASM223469v1
ENSMODP00000018970	ENSMODG00000015185	Monodelphis_domestica
ENSPEMP00000025416	ENSPEMG00000021850	Peromyscus_maniculatus_bairdii
ENSOCUP00000048847	ENSOCUG00000035074	Oryctolagus_cuniculus
ENSVVUP00000018705	ENSVVUG00000013758	Vulpes_vulpes
ENSAPOP00000019104	ENSAPOG00000022509	Acanthochromis_polyacanthus
ENSOARP00000009071	ENSOARG00000008458	Ovis_aries
ENSRNOP00000034281	ENSRNOG00000028011	Rattus_norvegicus
ENSDORP00000026098	ENSDORG00000028213	Dipodomys_ordii
ENSRNOP00000003145	ENSRNOG00000002285	Rattus_norvegicus
ENSGAGP00000006425	ENSGAGG00000005198	Gopherus_agassizii
ENSCAFP00020034308	ENSCAFG00020026613	Canis_lupus_dingo
ENSTGUP00000003035	ENSTGUG00000002933	Taeniopygia_guttata
ENSCPBP00000037551	ENSCPBG00000026011	Chrysemys_picta_bellii
ENSCGRP00001010904	ENSCGRG00001012685	Cricetulus_griseus_CHOK1GS_HDv1
ENSMLEP00000001793	ENSMLEG00000006957	Mandrillus_leucophaeus
ENSODEP00000014312	ENSODEG00000010590	Octodon_degus
ENSCANP00000001613	ENSCANG00000006055	Colobus_angolensis_palliatus
ENSGGOP00000023070	ENSGGOG00000025221	Gorilla_gorilla
ENSMOCP00000001382	ENSMOCG00000001051	Microtus_ochrogaster
ENSLOCP00000018571	ENSLOCG00000015090	Lepisosteus_oculatus
ENSACIP00000028436	ENSACIG00000022025	Amphilophus_citrinellus
ENSMUSP00000139776	ENSMUSG00000036013	Mus_musculus_strain_reference_(CL57BL6)
ENSAOWP00000004909	ENSAOWG00000003401	Apteryx_owenii
ENSSCAP00000013713	ENSSCAG00000010137	Serinus_canaria
ENSPTRP00000075748	ENSPTRG00000022290	Pan_troglodytes
ENSONIP00000022175	ENSONIG00000017588	Oreochromis_niloticus
ENSCHOP00000005060	ENSCHOG00000005717	Choloepus_hoffmanni
ENSELUP00000008999	ENSELUG00000009600	Esox_lucius
ENSEEUP00000007525	ENSEEUG00000008263	Erinaceus_europaeus
ENSMNEP00000024352	ENSMNEG00000035717	Macaca_nemestrina
MGP_SPRETEiJ_P0095209	MGP_SPRETEiJ_G0034229	Mus_spretus_strain_SPRET/EiJ
ENSXCOP00000015609	ENSXCOG00000011796	Xiphophorus_couchianus
ENSPMEP00000007900	ENSPMEG00000009621	Poecilia_mexicana
ENSMAUP00000000040	ENSMAUG00000000061	Mesocricetus_auratus
ENSANAP00000020959	ENSANAG00000028270	Aotus_nancymaae
ENSCHIP00000005345	ENSCHIG00000009443	Capra_hircus
ENSHGLP00000011829	ENSHGLG00000008469	Heterocephalus_glaber_HetGla_female_1.0
ENSECRP00000018657	ENSECRG00000012473	Erpetoichthys_calabaricus
ENSJHYP00000019802	ENSJHYG00000015042	Junco_hyemalis
ENSMSIP00000015977	ENSMSIG00000013693	Mus_spicilegus
ENSCCEP00000012540	ENSCCEG00000012089	Cyanistes_caeruleus
ENSMMMP00000003824	ENSMMMG00000003490	Marmota_marmota_marmota
ENSBIXP00005021078	ENSBIXG00005007177	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSLACP00000019474	ENSLACG00000017124	Latimeria_chalumnae
ENSPKIP00000009708	ENSPKIG00000024715	Paramormyrops_kingsleyae
ENSHBUP00000000642	ENSHBUG00000001823	Haplochromis_burtoni
ENSOGAP00000021345	ENSOGAG00000024522	Otolemur_garnettii
ENSVURP00010004027	ENSVURG00010003216	Vombatus_ursinus
ENSHGLP00100027444	ENSHGLG00100020528	Heterocephalus_glaber_HetGla_1.0
ENSABRP00000013941	ENSABRG00000012382	Anser_brachyrhynchus
ENSMGAP00000003000	ENSMGAG00000003286	Meleagris_gallopavo
ENSMLUP00000007304	ENSMLUG00000007988	Myotis_lucifugus
ENSSPUP00000000044	ENSSPUG00000000074	Sphenodon_punctatus
ENSPCOP00000004901	ENSPCOG00000013255	Propithecus_coquereli
ENSTNIP00000008632	ENSTNIG00000005905	Tetraodon_nigroviridis
ENSPREP00000032795	ENSPREG00000022239	Poecilia_reticulata
ENSMSIP00000015996	ENSMSIG00000013778	Mus_spicilegus
ENSTRUP00000054394	ENSTRUG00000023382	Takifugu_rubripes
ENSSMRP00000022865	ENSSMRG00000017739	Salvator_merianae
ENSPMJP00000011776	ENSPMJG00000009087	Parus_major
ENSPMJP00000011774	ENSPMJG00000009086	Parus_major
ENSSDAP00000013634	ENSSDAG00000012286	Spermophilus_dauricus
ENSGGOP00000016956	ENSGGOG00000025406	Gorilla_gorilla
ENSPSMP00000017184	ENSPSMG00000012255	Prolemur_simus
ENSCGRP00001019962	ENSCGRG00001019250	Cricetulus_griseus_CHOK1GS_HDv1
ENSLBEP00000021782	ENSLBEG00000016722	Labrus_bergylta
ENSSDAP00000017099	ENSSDAG00000015476	Spermophilus_dauricus
ENSPCAP00000001295	ENSPCAG00000001382	Procavia_capensis
ENSPEMP00000012498	ENSPEMG00000012823	Peromyscus_maniculatus_bairdii
ENSATEP00000027417	ENSATEG00000018941	Anabas_testudineus
ENSCGOP00000014918	ENSCGOG00000007050	Cottoperca_gobio
ENSCGRP00000014571	ENSCGRG00000010548	Cricetulus_griseus_CriGri_1.0
ENSVPAP00000003261	ENSVPAG00000003519	Vicugna_pacos
ENSPTRP00000038404	ENSPTRG00000022292	Pan_troglodytes
ENSHGLP00000028982	ENSHGLG00000021429	Heterocephalus_glaber_HetGla_female_1.0
