ENSPCIP00000039977	ENSPCIG00000029265	Phascolarctos_cinereus	ENSPCIT00000049219
ENSVURP00010007973	ENSVURG00010006169	Vombatus_ursinus	ENSVURT00010009040
ENSMEUP00000009424	ENSMEUG00000010323	Notamacropus_eugenii	ENSMEUT00000010362
ENSSHAP00000013071	ENSSHAG00000011179	Sarcophilus_harrisii	ENSSHAT00000013177
ENSMODP00000037626	ENSMODG00000000947	Monodelphis_domestica	ENSMODT00000039226
ENSLAFP00000022399	ENSLAFG00000026123	Loxodonta_africana
ENSPCAP00000015995	ENSPCAG00000017093	Procavia_capensis
ENSETEP00000001214	ENSETEG00000001511	Echinops_telfairi
ENSDNOP00000019575	ENSDNOG00000037875	Dasypus_novemcinctus
ENSSBOP00000035616	ENSSBOG00000033969	Saimiri_boliviensis_boliviensis
ENSCJAP00000001990	ENSCJAG00000001155	Callithrix_jacchus
ENSCCAP00000038732	ENSCCAG00000037203	Cebus_capucinus_imitator
ENSANAP00000016409	ENSANAG00000026078	Aotus_nancymaae
ENSP00000373647	ENSG00000188522	Homo_sapiens
ENSGGOP00000012414	ENSGGOG00000012726	Gorilla_gorilla
ENSPTRP00000015124	ENSPTRG00000008862	Pan_troglodytes
ENSPPAP00000029031	ENSPPAG00000037545	Pan_paniscus
ENSPPYP00000009063	ENSPPYG00000008057	Pongo_abelii
ENSNLEP00000016063	ENSNLEG00000013260	Nomascus_leucogenys
ENSPTEP00000009018	ENSPTEG00000010249	Piliocolobus_tephrosceles
ENSCANP00000024248	ENSCANG00000035538	Colobus_angolensis_palliatus
ENSRROP00000001388	ENSRROG00000005565	Rhinopithecus_roxellana
ENSRBIP00000016734	ENSRBIG00000032389	Rhinopithecus_bieti
ENSCATP00000020983	ENSCATG00000034234	Cercocebus_atys
ENSMLEP00000010565	ENSMLEG00000029480	Mandrillus_leucophaeus
ENSTGEP00000003251	ENSTGEG00000002783	Theropithecus_gelada
ENSPANP00000019765	ENSPANG00000023655	Papio_anubis
ENSCSAP00000004186	ENSCSAG00000007924	Chlorocebus_sabaeus
ENSMFAP00000025616	ENSMFAG00000044301	Macaca_fascicularis
ENSMNEP00000036876	ENSMNEG00000041522	Macaca_nemestrina
ENSMMUP00000044459	ENSMMUG00000045660	Macaca_mulatta
ENSTSYP00000003143	ENSTSYG00000003436	Carlito_syrichta
ENSPCOP00000006135	ENSPCOG00000014183	Propithecus_coquereli
ENSMICP00000032029	ENSMICG00000033465	Microcebus_murinus
ENSPSMP00000018160	ENSPSMG00000012888	Prolemur_simus
ENSOGAP00000002633	ENSOGAG00000002938	Otolemur_garnettii
ENSTBEP00000014171	ENSTBEG00000016299	Tupaia_belangeri	ENSTBET00000016305
ENSCCNP00000019895	ENSCCNG00000019937	Castor_canadensis
ENSDORP00000004805	ENSDORG00000005138	Dipodomys_ordii
ENSMSIP00000024375	ENSMSIG00000020601	Mus_spicilegus
MGP_SPRETEiJ_P0028529	MGP_SPRETEiJ_G0017318	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000090697	ENSMUSG00000042377	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0027160	MGP_CAROLIEiJ_G0016483	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0033923	MGP_PahariEiJ_G0017613	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000027312	ENSRNOG00000027924	Rattus_norvegicus
ENSMUGP00000020887	ENSMUGG00000017602	Meriones_unguiculatus
ENSCGRP00000007240	ENSCGRG00000005264	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001001953	ENSCGRG00001001951	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015020287	ENSCGRG00015015520	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000019563	ENSMAUG00000017827	Mesocricetus_auratus
ENSPEMP00000007313	ENSPEMG00000009298	Peromyscus_maniculatus_bairdii
ENSMOCP00000020725	ENSMOCG00000018318	Microtus_ochrogaster
ENSNGAP00000017490	ENSNGAG00000017904	Nannospalax_galili
ENSSDAP00000004517	ENSSDAG00000004247	Spermophilus_dauricus
ENSSTOP00000011434	ENSSTOG00000012760	Ictidomys_tridecemlineatus
ENSUPAP00010030321	ENSUPAG00010023806	Urocitellus_parryii
ENSMMMP00000008689	ENSMMMG00000007777	Marmota_marmota_marmota
ENSCLAP00000012347	ENSCLAG00000008530	Chinchilla_lanigera
ENSODEP00000000276	ENSODEG00000000249	Octodon_degus
ENSCAPP00000012258	ENSCAPG00000013161	Cavia_aperea
ENSCPOP00000026112	ENSCPOG00000023284	Cavia_porcellus
ENSHGLP00000010913	ENSHGLG00000007826	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100018612	ENSHGLG00100013722	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000004350	ENSFDAG00000013577	Fukomys_damarensis
ENSOPRP00000005849	ENSOPRG00000006375	Ochotona_princeps
ENSOCUP00000013601	ENSOCUG00000015839	Oryctolagus_cuniculus
ENSSDAP00000004531	ENSSDAG00000004269	Spermophilus_dauricus	ENSSDAT00000005201
ENSEASP00005025793	ENSEASG00005017609	Equus_asinus_asinus
ENSECAP00000012658	ENSECAG00000015000	Equus_caballus
ENSEEUP00000000143	ENSEEUG00000000167	Erinaceus_europaeus
ENSPVAP00000005216	ENSPVAG00000005515	Pteropus_vampyrus
ENSMLUP00000005364	ENSMLUG00000005869	Myotis_lucifugus
ENSUAMP00000015003	ENSUAMG00000012035	Ursus_americanus
ENSUMAP00000008088	ENSUMAG00000006175	Ursus_maritimus
ENSAMEP00000004893	ENSAMEG00000004647	Ailuropoda_melanoleuca
ENSNVIP00000032230	ENSNVIG00000024852	Neovison_vison
ENSMPUP00000000042	ENSMPUG00000000042	Mustela_putorius_furo
ENSCAFP00020026878	ENSCAFG00020021092	Canis_lupus_dingo
ENSCAFP00000061246	ENSCAFG00000018245	Canis_lupus_familiaris
ENSVVUP00000042340	ENSVVUG00000030079	Vulpes_vulpes
ENSPTIP00000021643	ENSPTIG00000018732	Panthera_tigris_altaica
ENSPPRP00000028450	ENSPPRG00000020591	Panthera_pardus
ENSFCAP00000014303	ENSFCAG00000015424	Felis_catus
ENSSARP00000006135	ENSSARG00000006777	Sorex_araneus
ENSSSCP00000019122	ENSSSCG00000018047	Sus_scrofa_strain_reference
ENSTTRP00000003731	ENSTTRG00000003966	Tursiops_truncatus
ENSBIXP00005033108	ENSBIXG00005013794	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000006887	ENSBIXG00000012951	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000004828	ENSBTAG00000003705	Bos_taurus
ENSBMUP00000020431	ENSBMUG00000015391	Bos_mutus
ENSBBBP00000006239	ENSBBBG00000014838	Bison_bison_bison
ENSCHIP00000006340	ENSCHIG00000010221	Capra_hircus
ENSOARP00000019844	ENSOARG00000018480	Ovis_aries
ENSOANP00000000523	ENSOANG00000000310	Ornithorhynchus_anatinus
ENSACAP00000008761	ENSACAG00000008950	Anolis_carolinensis
ENSPVIP00000014297	ENSPVIG00000011058	Pogona_vitticeps
ENSSMRP00000011289	ENSSMRG00000008876	Salvator_merianae
ENSNSUP00000024786	ENSNSUG00000017901	Notechis_scutatus
ENSSPUP00000006196	ENSSPUG00000004738	Sphenodon_punctatus
ENSAHAP00000023055	ENSAHAG00000016104	Apteryx_haastii
ENSAOWP00000024004	ENSAOWG00000016208	Apteryx_owenii
ENSARWP00000025559	ENSARWG00000017356	Apteryx_rowi
ENSDNVP00000018863	ENSDNVG00000013184	Dromaius_novaehollandiae
ENSNPEP00000019400	ENSNPEG00000014465	Nothoprocta_perdicaria
ENSABRP00000017855	ENSABRG00000015442	Anser_brachyrhynchus
ENSAPLP00000012427	ENSAPLG00000012644	Anas_platyrhynchos_platyrhynchos
ENSGALP00000008144	ENSGALG00000005087	Gallus_gallus
ENSCJPP00005004202	ENSCJPG00005004224	Coturnix_japonica
ENSMGAP00000005014	ENSMGAG00000005138	Meleagris_gallopavo
ENSNMEP00000011942	ENSNMEG00000011185	Numida_meleagris
ENSCPGP00000001738	ENSCPGG00000001317	Calidris_pygmaea
ENSCPUP00000015384	ENSCPUG00000010715	Calidris_pugnax
ENSMUNP00000019117	ENSMUNG00000014620	Melopsittacus_undulatus
ENSMVIP00005020626	ENSMVIG00005014561	Manacus_vitellinus
ENSLCOP00000017999	ENSLCOG00000012724	Lepidothrix_coronata
ENSTGUP00000007260	ENSTGUG00000007053	Taeniopygia_guttata
ENSLSDP00000010009	ENSLSDG00000007375	Lonchura_striata_domestica
ENSSCAP00000011377	ENSSCAG00000008548	Serinus_canaria
ENSPMJP00000023798	ENSPMJG00000017543	Parus_major
ENSCCEP00000025753	ENSCCEG00000022699	Cyanistes_caeruleus
ENSJHYP00000005459	ENSJHYG00000004461	Junco_hyemalis
ENSZALP00000005720	ENSZALG00000005306	Zonotrichia_albicollis
ENSCPRP00005022560	ENSCPRG00005015728	Crocodylus_porosus
ENSCPBP00000029855	ENSCPBG00000021026	Chrysemys_picta_bellii
ENSPVIP00000014298	ENSPVIG00000011059	Pogona_vitticeps
ENSNPEP00000019399	ENSNPEG00000014464	Nothoprocta_perdicaria
ENSLSDP00000010013	ENSLSDG00000007381	Lonchura_striata_domestica
ENSCABP00000028823	ENSCABG00000021170	Chelonoidis_abingdonii
ENSGAGP00000011780	ENSGAGG00000009036	Gopherus_agassizii
ENSCPBP00000029851	ENSCPBG00000021021	Chrysemys_picta_bellii
ENSPSIP00000015056	ENSPSIG00000013483	Pelodiscus_sinensis
ENSSPUP00000006207	ENSSPUG00000004788	Sphenodon_punctatus
ENSXETP00000015315	ENSXETG00000000302	Xenopus_tropicalis
ENSLACP00000013674	ENSLACG00000012035	Latimeria_chalumnae
ENSPKIP00000034072	ENSPKIG00000013549	Paramormyrops_kingsleyae
ENSSFOP00015013099	ENSSFOG00015008424	Scleropages_formosus
ENSDCDP00000008530	ENSDCDG00000004345	Denticeps_clupeoides
