ENSMOCP00000006789	ENSMOCG00000006476	Microtus_ochrogaster
ENSBBBP00000025021	ENSBBBG00000020185	Bison_bison_bison
ENSMNEP00000044947	ENSMNEG00000045023	Macaca_nemestrina
ENSRROP00000012257	ENSRROG00000030433	Rhinopithecus_roxellana
ENSPMGP00000012945	ENSPMGG00000010672	Periophthalmus_magnuspinnatus
ENSANAP00000027000	ENSANAG00000031272	Aotus_nancymaae
ENSNMEP00000020715	ENSNMEG00000017785	Numida_meleagris
ENSCGRP00001027274	ENSCGRG00001024323	Cricetulus_griseus_CHOK1GS_HDv1
ENSACIP00000029179	ENSACIG00000022588	Amphilophus_citrinellus
ENSIPUP00000015571	ENSIPUG00000010569	Ictalurus_punctatus
ENSMMOP00000026197	ENSMMOG00000019868	Mola_mola
ENSBTAP00000067273	ENSBTAG00000019645	Bos_taurus
ENSPSIP00000007837	ENSPSIG00000007116	Pelodiscus_sinensis
ENSAOWP00000022125	ENSAOWG00000014961	Apteryx_owenii
ENSCPGP00000010731	ENSCPGG00000007647	Calidris_pygmaea	ENSCPGT00000011772
ENSVVUP00000018512	ENSVVUG00000013603	Vulpes_vulpes
ENSCHIP00000000637	ENSCHIG00000000446	Capra_hircus
ENSFDAP00000020661	ENSFDAG00000008273	Fukomys_damarensis
ENSGMOP00000012364	ENSGMOG00000011559	Gadus_morhua
ENSNPEP00000012182	ENSNPEG00000009126	Nothoprocta_perdicaria
ENSMSIP00000021398	ENSMSIG00000018120	Mus_spicilegus
ENSMFAP00000037272	ENSMFAG00000037887	Macaca_fascicularis
ENSODEP00000026831	ENSODEG00000020316	Octodon_degus
ENSSBOP00000015845	ENSSBOG00000024639	Saimiri_boliviensis_boliviensis
ENSEEEP00000025733	ENSEEEG00000012468	Electrophorus_electricus
ENSCATP00000039446	ENSCATG00000042331	Cercocebus_atys
ENSTNIP00000016894	ENSTNIG00000013889	Tetraodon_nigroviridis
ENSECAP00000024640	ENSECAG00000013054	Equus_caballus
ENSDNOP00000024519	ENSDNOG00000041695	Dasypus_novemcinctus
ENSGWIP00000032618	ENSGWIG00000016793	Gouania_willdenowi
ENSGAGP00000002573	ENSGAGG00000002063	Gopherus_agassizii
ENSBIXP00005018643	ENSBIXG00005003709	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPPRP00000020254	ENSPPRG00000011390	Panthera_pardus
ENSMALP00000008162	ENSMALG00000005813	Monopterus_albus
ENSAPLP00000014283	ENSAPLG00000014438	Anas_platyrhynchos_platyrhynchos
ENSMLEP00000011116	ENSMLEG00000029753	Mandrillus_leucophaeus
ENSAMXP00000052236	ENSAMXG00000040488	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMNEP00000015849	ENSMNEG00000031987	Macaca_nemestrina
ENSPVIP00000029930	ENSPVIG00000022056	Pogona_vitticeps	ENSPVIT00000036674
ENSCGRP00000003263	ENSCGRG00000002395	Cricetulus_griseus_CriGri_1.0
ENSPMEP00000019565	ENSPMEG00000022566	Poecilia_mexicana
ENSHHUP00000070753	ENSHHUG00000041569	Hucho_hucho
ENSATEP00000013832	ENSATEG00000009617	Anabas_testudineus
ENSVPAP00000010249	ENSVPAG00000011007	Vicugna_pacos
ENSMEUP00000002928	ENSMEUG00000003211	Notamacropus_eugenii
ENSOMEP00000009378	ENSOMEG00000010606	Oryzias_melastigma
ENSMUGP00000017056	ENSMUGG00000014553	Meriones_unguiculatus
ENSORLP00020009474	ENSORLG00020010378	Oryzias_latipes_ASM223471v1
ENSDCDP00000053935	ENSDCDG00000032247	Denticeps_clupeoides
ENSCANP00000013006	ENSCANG00000029924	Colobus_angolensis_palliatus
ENSMZEP00005029630	ENSMZEG00005022098	Maylandia_zebra
ENSPFOP00000015102	ENSPFOG00000015018	Poecilia_formosa
ENSIPUP00000037178	ENSIPUG00000024887	Ictalurus_punctatus
ENSTGEP00000031661	ENSTGEG00000025354	Theropithecus_gelada
ENSUPAP00010025156	ENSUPAG00010019917	Urocitellus_parryii
ENSCABP00000018695	ENSCABG00000013814	Chelonoidis_abingdonii
ENSHGLP00100019378	ENSHGLG00100014288	Heterocephalus_glaber_HetGla_1.0
ENSJJAP00000006615	ENSJJAG00000011213	Jaculus_jaculus
ENSPCAP00000000648	ENSPCAG00000000694	Procavia_capensis
ENSCVAP00000011988	ENSCVAG00000014352	Cyprinodon_variegatus
ENSRBIP00000012947	ENSRBIG00000030425	Rhinopithecus_bieti
ENSCAFP00000063174	ENSCAFG00000006384	Canis_lupus_familiaris
ENSCSEP00000006435	ENSCSEG00000004170	Cynoglossus_semilaevis
ENSMLEP00000024396	ENSMLEG00000036349	Mandrillus_leucophaeus
ENSONIP00000017841	ENSONIG00000014194	Oreochromis_niloticus
ENSSDUP00000008400	ENSSDUG00000006151	Seriola_dumerili
ENSPCOP00000017887	ENSPCOG00000020793	Propithecus_coquereli
ENSHGLP00000004960	ENSHGLG00000003633	Heterocephalus_glaber_HetGla_female_1.0
ENSHHUP00000049514	ENSHHUG00000029961	Hucho_hucho
ENSDNOP00000023586	ENSDNOG00000049735	Dasypus_novemcinctus
ENSNGAP00000020572	ENSNGAG00000020008	Nannospalax_galili
ENSUMAP00000028731	ENSUMAG00000020802	Ursus_maritimus
ENSMFAP00000023399	ENSMFAG00000043370	Macaca_fascicularis
ENSNPEP00000012177	ENSNPEG00000009121	Nothoprocta_perdicaria
ENSODEP00000012375	ENSODEG00000009187	Octodon_degus
ENSMLUP00000011084	ENSMLUG00000012165	Myotis_lucifugus
ENSPKIP00000025153	ENSPKIG00000008125	Paramormyrops_kingsleyae
ENSCJPP00005016601	ENSCJPG00005013541	Coturnix_japonica
ENSAHAP00000021624	ENSAHAG00000015207	Apteryx_haastii
ENSMUNP00000016413	ENSMUNG00000012638	Melopsittacus_undulatus	ENSMUNT00000018886
ENSHBUP00000003805	ENSHBUG00000005084	Haplochromis_burtoni
ENSCPBP00000019328	ENSCPBG00000013975	Chrysemys_picta_bellii
ENSSPAP00000008596	ENSSPAG00000006545	Stegastes_partitus
ENSOANP00000028623	ENSOANG00000015627	Ornithorhynchus_anatinus
ENSLBEP00000016040	ENSLBEG00000012429	Labrus_bergylta
ENSPTIP00000019198	ENSPTIG00000017077	Panthera_tigris_altaica
ENSLCOP00000005929	ENSLCOG00000004398	Lepidothrix_coronata
ENSPPAP00000029368	ENSPPAG00000037686	Pan_paniscus
ENSCANP00000038658	ENSCANG00000043001	Colobus_angolensis_palliatus
ENSPANP00000014333	ENSPANG00000015732	Papio_anubis
ENSLCRP00005029721	ENSLCRG00005011808	Larimichthys_crocea
ENSMSIP00000006736	ENSMSIG00000005980	Mus_spicilegus
ENSMNEP00000010232	ENSMNEG00000029536	Macaca_nemestrina
MGP_PahariEiJ_P0046697	MGP_PahariEiJ_G0021302	Mus_pahari_strain_PAHARI_EIJ
ENSMGAP00000015734	ENSMGAG00000014844	Meleagris_gallopavo
ENSMNEP00000001266	ENSMNEG00000005742	Macaca_nemestrina
ENSAOCP00000009561	ENSAOCG00000013715	Amphiprion_ocellaris
ENSPEMP00000023107	ENSPEMG00000020251	Peromyscus_maniculatus_bairdii
ENSPTEP00000041032	ENSPTEG00000037700	Piliocolobus_tephrosceles
ENSORLP00015012756	ENSORLG00015013644	Oryzias_latipes_ASM223469v1
ENSMSIP00000020261	ENSMSIG00000017191	Mus_spicilegus
ENSGGOP00000004808	ENSGGOG00000004908	Gorilla_gorilla
ENSPTRP00000075108	ENSPTRG00000050800	Pan_troglodytes
ENSLAFP00000006648	ENSLAFG00000007927	Loxodonta_africana
ENSMUGP00000017306	ENSMUGG00000014737	Meriones_unguiculatus
ENSOARP00000009053	ENSOARG00000008441	Ovis_aries
ENSACLP00000002893	ENSACLG00000001941	Astatotilapia_calliptera
ENSSTOP00000002317	ENSSTOG00000002592	Ictidomys_tridecemlineatus
ENSPPAP00000016053	ENSPPAG00000031115	Pan_paniscus
ENSCGOP00000006632	ENSCGOG00000003385	Cottoperca_gobio
ENSMMUP00000061681	ENSMMUG00000058853	Macaca_mulatta
ENSCSAP00000013449	ENSCSAG00000017427	Chlorocebus_sabaeus
ENSPNAP00000004747	ENSPNAG00000001561	Pygocentrus_nattereri
ENSCCAP00000024678	ENSCCAG00000030114	Cebus_capucinus_imitator
ENSLAFP00000017535	ENSLAFG00000026968	Loxodonta_africana
ENSOCUP00000005855	ENSOCUG00000006771	Oryctolagus_cuniculus
ENSEEEP00000047197	ENSEEEG00000022218	Electrophorus_electricus
ENSPPYP00000022642	ENSPPYG00000020233	Pongo_abelii
ENSANAP00000003905	ENSANAG00000019998	Aotus_nancymaae
ENSVURP00010007983	ENSVURG00010006175	Vombatus_ursinus
ENSFCAP00000049530	ENSFCAG00000005399	Felis_catus
ENSARWP00000024585	ENSARWG00000016750	Apteryx_rowi
ENSPRNP00000055319	ENSPRNG00000025940	Parambassis_ranga
ENSPSMP00000023635	ENSPSMG00000016704	Prolemur_simus
