ENSTBEP00000005043	ENSTBEG00000005851	Tupaia_belangeri
ENSOCUP00000012891	ENSOCUG00000015004	Oryctolagus_cuniculus
ENSPPAP00000025181	ENSPPAG00000035728	Pan_paniscus
ENSGGOP00000007386	ENSGGOG00000007547	Gorilla_gorilla
ENSP00000325822	ENSG00000179142	Homo_sapiens
ENSPPYP00000021230	ENSPPYG00000018926	Pongo_abelii
ENSNLEP00000040630	ENSNLEG00000017074	Nomascus_leucogenys
ENSPTEP00000005369	ENSPTEG00000006220	Piliocolobus_tephrosceles
ENSCANP00000038784	ENSCANG00000043073	Colobus_angolensis_palliatus
ENSRROP00000027959	ENSRROG00000037768	Rhinopithecus_roxellana
ENSPTEP00000027030	ENSPTEG00000026961	Piliocolobus_tephrosceles
ENSPANP00000037808	ENSPANG00000031868	Papio_anubis
ENSTGEP00000024948	ENSTGEG00000020135	Theropithecus_gelada
ENSMLEP00000032436	ENSMLEG00000040431	Mandrillus_leucophaeus
ENSCATP00000000069	ENSCATG00000000221	Cercocebus_atys
ENSMFAP00000013397	ENSMFAG00000028548	Macaca_fascicularis
ENSMMUP00000031896	ENSMMUG00000013631	Macaca_mulatta
ENSMNEP00000011646	ENSMNEG00000030148	Macaca_nemestrina
ENSCSAP00000005431	ENSCSAG00000009178	Chlorocebus_sabaeus
ENSPTRP00000035298	ENSPTRG00000020644	Pan_troglodytes
ENSPPAP00000002643	ENSPPAG00000011472	Pan_paniscus
ENSP00000292427	ENSG00000160882	Homo_sapiens
ENSPPYP00000021229	ENSPPYG00000018925	Pongo_abelii
ENSRBIP00000002395	ENSRBIG00000011807	Rhinopithecus_bieti
ENSCANP00000013862	ENSCANG00000030371	Colobus_angolensis_palliatus
ENSMLEP00000033011	ENSMLEG00000040702	Mandrillus_leucophaeus
ENSCATP00000004968	ENSCATG00000016834	Cercocebus_atys
ENSPANP00000004085	ENSPANG00000031382	Papio_anubis
ENSMFAP00000014370	ENSMFAG00000030325	Macaca_fascicularis
ENSMNEP00000006490	ENSMNEG00000027502	Macaca_nemestrina
ENSMMUP00000001289	ENSMMUG00000000959	Macaca_mulatta
ENSCSAP00000005421	ENSCSAG00000009165	Chlorocebus_sabaeus
ENSRROP00000045611	ENSRROG00000045697	Rhinopithecus_roxellana
ENSCCAP00000019969	ENSCCAG00000027823	Cebus_capucinus_imitator
ENSANAP00000004492	ENSANAG00000020349	Aotus_nancymaae
ENSCCAP00000039535	ENSCCAG00000037589	Cebus_capucinus_imitator
ENSSBOP00000022437	ENSSBOG00000027746	Saimiri_boliviensis_boliviensis
ENSCJAP00000039955	ENSCJAG00000021462	Callithrix_jacchus
ENSANAP00000011834	ENSANAG00000023854	Aotus_nancymaae
ENSTSYP00000020973	ENSTSYG00000034688	Carlito_syrichta
ENSMICP00000002366	ENSMICG00000002589	Microcebus_murinus
ENSMICP00000032214	ENSMICG00000044462	Microcebus_murinus
ENSPCOP00000010153	ENSPCOG00000016523	Propithecus_coquereli
ENSOGAP00000002465	ENSOGAG00000002752	Otolemur_garnettii
ENSOGAP00000013125	ENSOGAG00000014651	Otolemur_garnettii
ENSFCAP00000050063	ENSFCAG00000018677	Felis_catus	ENSFCAT00000055768
