ENSMAUP00000018771	ENSMAUG00000017243	Mesocricetus_auratus
ENSMOCP00000013397	ENSMOCG00000013207	Microtus_ochrogaster
ENSMUSP00000142140	ENSMUSG00000103677	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0048409	MGP_SPRETEiJ_G0023095	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000002878	ENSMSIG00000002681	Mus_spicilegus
MGP_CAROLIEiJ_P0046492	MGP_CAROLIEiJ_G0022185	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0039090	MGP_PahariEiJ_G0018919	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000059914	ENSRNOG00000042322	Rattus_norvegicus
ENSNGAP00000006625	ENSNGAG00000009895	Nannospalax_galili
ENSJJAP00000007151	ENSJJAG00000011620	Jaculus_jaculus
ENSDORP00000018833	ENSDORG00000016006	Dipodomys_ordii
ENSCAPP00000003547	ENSCAPG00000006288	Cavia_aperea
ENSODEP00000016735	ENSODEG00000012326	Octodon_degus
ENSEASP00005026614	ENSEASG00005018161	Equus_asinus_asinus
ENSPPAP00000002272	ENSPPAG00000010108	Pan_paniscus
ENSPTRP00000054373	ENSPTRG00000048702	Pan_troglodytes
ENSGGOP00000051992	ENSGGOG00000006956	Gorilla_gorilla
ENSP00000458570	ENSG00000262576	Homo_sapiens
ENSPPYP00000023659	ENSPPYG00000029754	Pongo_abelii
ENSNLEP00000039919	ENSNLEG00000009504	Nomascus_leucogenys
ENSMFAP00000043422	ENSMFAG00000033704	Macaca_fascicularis
ENSMNEP00000009999	ENSMNEG00000029363	Macaca_nemestrina
ENSPANP00000035532	ENSPANG00000029408	Papio_anubis
ENSCATP00000041737	ENSCATG00000043500	Cercocebus_atys
ENSRBIP00000027600	ENSRBIG00000037667	Rhinopithecus_bieti
ENSRROP00000014379	ENSRROG00000031416	Rhinopithecus_roxellana
ENSCANP00000006063	ENSCANG00000019834	Colobus_angolensis_palliatus
ENSTGEP00000006500	ENSTGEG00000005340	Theropithecus_gelada
ENSTGEP00000006622	ENSTGEG00000005435	Theropithecus_gelada
ENSPTEP00000001566	ENSPTEG00000001748	Piliocolobus_tephrosceles
ENSPTEP00000001619	ENSPTEG00000001801	Piliocolobus_tephrosceles
ENSPTEP00000005494	ENSPTEG00000006367	Piliocolobus_tephrosceles
ENSPTEP00000005416	ENSPTEG00000006278	Piliocolobus_tephrosceles
ENSCCAP00000012093	ENSCCAG00000023813	Cebus_capucinus_imitator
ENSCJAP00000067027	ENSCJAG00000036751	Callithrix_jacchus
ENSANAP00000031809	ENSANAG00000033605	Aotus_nancymaae
ENSTSYP00000009270	ENSTSYG00000010126	Carlito_syrichta
ENSMICP00000027170	ENSMICG00000011479	Microcebus_murinus
ENSOCUP00000038697	ENSOCUG00000013993	Oryctolagus_cuniculus
ENSVVUP00000023850	ENSVVUG00000017481	Vulpes_vulpes
ENSCAFP00020027006	ENSCAFG00020021141	Canis_lupus_dingo
ENSMPUP00000008266	ENSMPUG00000008329	Mustela_putorius_furo
ENSFCAP00000054223	ENSFCAG00000027095	Felis_catus
ENSECAP00000014273	ENSECAG00000016123	Equus_caballus
ENSBBBP00000001812	ENSBBBG00000006830	Bison_bison_bison
ENSBMUP00000022966	ENSBMUG00000017258	Bos_mutus
ENSCHIP00000018963	ENSCHIG00000018182	Capra_hircus
ENSSSCP00000015308	ENSSSCG00000027371	Sus_scrofa_strain_reference
