FBpp0078362	FBgn0046222	Drosophila_melanogaster
R06A4.9a.1	WBGene00011051	Caenorhabditis_elegans_strain_N2	R06A4.9a.1
ENSCMIP00000031718	ENSCMIG00000013577	Callorhinchus_milii
ENSXETP00000041114	ENSXETG00000021250	Xenopus_tropicalis
ENSGAGP00000029486	ENSGAGG00000021299	Gopherus_agassizii
ENSCABP00000026023	ENSCABG00000019140	Chelonoidis_abingdonii
ENSCPBP00000026975	ENSCPBG00000019128	Chrysemys_picta_bellii
ENSPSIP00000002984	ENSPSIG00000002879	Pelodiscus_sinensis
ENSCPRP00005012416	ENSCPRG00005008702	Crocodylus_porosus
ENSMGAP00000000713	ENSMGAG00000001252	Meleagris_gallopavo
ENSCJPP00005019662	ENSCJPG00005015893	Coturnix_japonica
ENSNMEP00000019929	ENSNMEG00000017102	Numida_meleagris
ENSABRP00000007346	ENSABRG00000006766	Anser_brachyrhynchus
ENSTGUP00000005979	ENSTGUG00000005784	Taeniopygia_guttata
ENSLSDP00000002046	ENSLSDG00000001555	Lonchura_striata_domestica
ENSSCAP00000011684	ENSSCAG00000008715	Serinus_canaria
ENSJHYP00000023292	ENSJHYG00000017534	Junco_hyemalis
ENSZALP00000000598	ENSZALG00000000364	Zonotrichia_albicollis
ENSCCEP00000003536	ENSCCEG00000003908	Cyanistes_caeruleus
ENSCCEP00000003532	ENSCCEG00000003903	Cyanistes_caeruleus
ENSPMJP00000022200	ENSPMJG00000016457	Parus_major
ENSLCOP00000008819	ENSLCOG00000006412	Lepidothrix_coronata
ENSMVIP00005015897	ENSMVIG00005011440	Manacus_vitellinus
ENSMUNP00000018571	ENSMUNG00000014176	Melopsittacus_undulatus
ENSCPUP00000028043	ENSCPUG00000018857	Calidris_pugnax
ENSCPGP00000010588	ENSCPGG00000007296	Calidris_pygmaea
ENSDNVP00000000470	ENSDNVG00000000364	Dromaius_novaehollandiae
ENSDNVP00000000457	ENSDNVG00000000350	Dromaius_novaehollandiae
ENSAOWP00000017268	ENSAOWG00000011810	Apteryx_owenii
ENSAOWP00000017263	ENSAOWG00000011806	Apteryx_owenii
ENSAHAP00000023806	ENSAHAG00000016586	Apteryx_haastii
ENSACIP00000000513	ENSACIG00000000456	Amphilophus_citrinellus
ENSNBRP00000022050	ENSNBRG00000016917	Neolamprologus_brichardi
ENSSPAP00000030259	ENSSPAG00000022727	Stegastes_partitus
ENSMAMP00000028269	ENSMAMG00000019007	Mastacembelus_armatus
ENSCGOP00000015023	ENSCGOG00000007258	Cottoperca_gobio
ENSPKIP00000031768	ENSPKIG00000012123	Paramormyrops_kingsleyae
ENSSLDP00000006783	ENSSLDG00000005383	Seriola_lalandi_dorsalis
ENSNPEP00000017674	ENSNPEG00000013106	Nothoprocta_perdicaria
ENSARWP00000003284	ENSARWG00000002463	Apteryx_rowi
ENSNSUP00000016226	ENSNSUG00000012005	Notechis_scutatus
ENSNSUP00000016228	ENSNSUG00000012007	Notechis_scutatus
ENSGALP00000049419	ENSGALG00000052210	Gallus_gallus
ENSGALP00000056134	ENSGALG00000002043	Gallus_gallus
ENSGALP00000066296	ENSGALG00000053889	Gallus_gallus
ENSARWP00000003281	ENSARWG00000002462	Apteryx_rowi
ENSNPEP00000017954	ENSNPEG00000013137	Nothoprocta_perdicaria
ENSFALP00000003673	ENSFALG00000003521	Ficedula_albicollis
ENSFALP00000003666	ENSFALG00000003514	Ficedula_albicollis
ENSPVIP00000032776	ENSPVIG00000024003	Pogona_vitticeps
ENSACAP00000005219	ENSACAG00000005263	Anolis_carolinensis
ENSSMRP00000028605	ENSSMRG00000021978	Salvator_merianae
ENSSPUP00000019328	ENSSPUG00000014886	Sphenodon_punctatus
ENSVURP00010015988	ENSVURG00010012244	Vombatus_ursinus
ENSPCIP00000015148	ENSPCIG00000011797	Phascolarctos_cinereus
ENSMEUP00000013468	ENSMEUG00000014744	Notamacropus_eugenii
ENSSHAP00000004451	ENSSHAG00000003914	Sarcophilus_harrisii
ENSMODP00000023263	ENSMODG00000018659	Monodelphis_domestica
ENSPVAP00000008946	ENSPVAG00000009495	Pteropus_vampyrus
ENSMLUP00000011147	ENSMLUG00000012220	Myotis_lucifugus
ENSEEUP00000003986	ENSEEUG00000004342	Erinaceus_europaeus
ENSSARP00000008306	ENSSARG00000009135	Sorex_araneus
ENSBIXP00000025874	ENSBIXG00000027981	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005006046	ENSBIXG00005011643	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000007859	ENSBTAG00000005987	Bos_taurus
ENSBBBP00000014250	ENSBBBG00000022018	Bison_bison_bison
ENSBMUP00000031117	ENSBMUG00000023226	Bos_mutus
ENSCHIP00000020477	ENSCHIG00000019104	Capra_hircus
ENSOARP00000017198	ENSOARG00000016015	Ovis_aries
ENSTTRP00000011015	ENSTTRG00000011614	Tursiops_truncatus
ENSSSCP00000019789	ENSSSCG00000015861	Sus_scrofa_strain_reference
ENSVPAP00000010822	ENSVPAG00000011631	Vicugna_pacos
ENSMPUP00000016584	ENSMPUG00000016687	Mustela_putorius_furo
ENSNVIP00000030549	ENSNVIG00000023516	Neovison_vison
ENSCAFP00020004361	ENSCAFG00020003598	Canis_lupus_dingo
ENSCAFP00000006428	ENSCAFG00000004326	Canis_lupus_familiaris
ENSVVUP00000011766	ENSVVUG00000008661	Vulpes_vulpes
ENSUMAP00000011000	ENSUMAG00000008286	Ursus_maritimus
ENSUAMP00000036478	ENSUAMG00000027625	Ursus_americanus
ENSAMEP00000012389	ENSAMEG00000011757	Ailuropoda_melanoleuca
ENSPPRP00000000750	ENSPPRG00000024620	Panthera_pardus
ENSPTIP00000021056	ENSPTIG00000018313	Panthera_tigris_altaica
ENSFCAP00000008381	ENSFCAG00000009043	Felis_catus
ENSEASP00005010032	ENSEASG00005007112	Equus_asinus_asinus
ENSECAP00000001312	ENSECAG00000000691	Equus_caballus
ENSCCNP00000007952	ENSCCNG00000008441	Castor_canadensis
ENSDORP00000018663	ENSDORG00000023513	Dipodomys_ordii
ENSMUSP00000025264	ENSMUSG00000024400	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0048147	MGP_SPRETEiJ_G0022978	Mus_spretus_strain_SPRET/EiJ
