ENSABRP00000024984	ENSABRG00000020976	Anser_brachyrhynchus	ENSABRT00000035036
ENSAPLP00000018808	ENSAPLG00000017315	Anas_platyrhynchos_platyrhynchos
ENSNMEP00000006308	ENSNMEG00000006492	Numida_meleagris
ENSCPGP00000008862	ENSCPGG00000006303	Calidris_pygmaea
ENSCPUP00000022301	ENSCPUG00000015141	Calidris_pugnax
ENSMUNP00000017575	ENSMUNG00000013499	Melopsittacus_undulatus
ENSLSDP00000007529	ENSLSDG00000005655	Lonchura_striata_domestica
ENSSCAP00000012126	ENSSCAG00000009058	Serinus_canaria
ENSPMJP00000021398	ENSPMJG00000015885	Parus_major
ENSZALP00000006041	ENSZALG00000005561	Zonotrichia_albicollis
ENSLCOP00000010385	ENSLCOG00000007544	Lepidothrix_coronata
ENSMVIP00005012116	ENSMVIG00005008853	Manacus_vitellinus
ENSAOWP00000014082	ENSAOWG00000009605	Apteryx_owenii
ENSARWP00000019641	ENSARWG00000013462	Apteryx_rowi
ENSDNVP00000023907	ENSDNVG00000016601	Dromaius_novaehollandiae
ENSNPEP00000001051	ENSNPEG00000000830	Nothoprocta_perdicaria
ENSCPRP00005024105	ENSCPRG00005016743	Crocodylus_porosus
ENSGAGP00000005658	ENSGAGG00000004593	Gopherus_agassizii
ENSGAGP00000034924	ENSGAGG00000024832	Gopherus_agassizii
ENSCABP00000002339	ENSCABG00000001825	Chelonoidis_abingdonii
ENSCPBP00000009733	ENSCPBG00000007508	Chrysemys_picta_bellii
ENSPVIP00000011311	ENSPVIG00000008882	Pogona_vitticeps
ENSACAP00000003828	ENSACAG00000003945	Anolis_carolinensis
ENSNSUP00000024095	ENSNSUG00000017422	Notechis_scutatus
ENSSMRP00000024388	ENSSMRG00000018914	Salvator_merianae
ENSSPUP00000007714	ENSSPUG00000005949	Sphenodon_punctatus
ENSNGAP00000009940	ENSNGAG00000012502	Nannospalax_galili
ENSMAUP00000006820	ENSMAUG00000008668	Mesocricetus_auratus
ENSJJAP00000012208	ENSJJAG00000015304	Jaculus_jaculus
ENSJJAP00000005230	ENSJJAG00000010182	Jaculus_jaculus
ENSCAPP00000009165	ENSCAPG00000010693	Cavia_aperea
ENSHGLP00100019045	ENSHGLG00100014046	Heterocephalus_glaber_HetGla_1.0
ENSCLAP00000004967	ENSCLAG00000003525	Chinchilla_lanigera
ENSODEP00000026266	ENSODEG00000019662	Octodon_degus
ENSSDAP00000018960	ENSSDAG00000017288	Spermophilus_dauricus
ENSUPAP00010009356	ENSUPAG00010007578	Urocitellus_parryii
ENSSTOP00000031071	ENSSTOG00000030819	Ictidomys_tridecemlineatus
ENSCCNP00000003240	ENSCCNG00000003492	Castor_canadensis
ENSOCUP00000039377	ENSOCUG00000034819	Oryctolagus_cuniculus
ENSTSYP00000013829	ENSTSYG00000037368	Carlito_syrichta
ENSTSYP00000016679	ENSTSYG00000031031	Carlito_syrichta
ENSTSYP00000026700	ENSTSYG00000036045	Carlito_syrichta
