ENSBMUP00000024711	ENSBMUG00000018591	Bos_mutus	ENSBMUT00000028466
ENSBTAP00000066470	ENSBTAG00000049925	Bos_taurus	ENSBTAT00000067788
ENSCHIP00000005446	ENSCHIG00000009580	Capra_hircus	ENSCHIT00000013134
ENSECAP00000001736	ENSECAG00000002574	Equus_caballus	ENSECAT00000002437
ENSECAP00000052213	ENSECAG00000042216	Equus_caballus
ENSEASP00005030843	ENSEASG00005021014	Equus_asinus_asinus
ENSBIXP00000037179	ENSBIXG00000003831	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000002027	ENSBTAG00000001549	Bos_taurus
ENSBIXP00005015441	ENSBIXG00005003133	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000024705	ENSBMUG00000018583	Bos_mutus
ENSBBBP00000021769	ENSBBBG00000003828	Bison_bison_bison
ENSOARP00000020679	ENSOARG00000019250	Ovis_aries
ENSCHIP00000011776	ENSCHIG00000013814	Capra_hircus
ENSUAMP00000004461	ENSUAMG00000004095	Ursus_americanus
ENSUMAP00000004112	ENSUMAG00000003334	Ursus_maritimus
ENSAMEP00000017056	ENSAMEG00000016163	Ailuropoda_melanoleuca
ENSFCAP00000056956	ENSFCAG00000009180	Felis_catus
ENSPTIP00000003125	ENSPTIG00000005981	Panthera_tigris_altaica
ENSP00000310773	ENSG00000173679	Homo_sapiens
ENSPTRP00000036455	ENSPTRG00000021333	Pan_troglodytes
ENSGGOP00000027216	ENSGGOG00000004567	Gorilla_gorilla
ENSNLEP00000022853	ENSNLEG00000018994	Nomascus_leucogenys
ENSPANP00000035212	ENSPANG00000030064	Papio_anubis
ENSCATP00000018887	ENSCATG00000033251	Cercocebus_atys
ENSMLEP00000014275	ENSMLEG00000031302	Mandrillus_leucophaeus
ENSMFAP00000016553	ENSMFAG00000031447	Macaca_fascicularis
ENSMNEP00000009056	ENSMNEG00000028995	Macaca_nemestrina
ENSSBOP00000040169	ENSSBOG00000036082	Saimiri_boliviensis_boliviensis
ENSCJAP00000058751	ENSCJAG00000041208	Callithrix_jacchus
ENSLAFP00000023520	ENSLAFG00000026613	Loxodonta_africana
