ENSPPAP00000006323	ENSPPAG00000024853	Pan_paniscus	ENSPPAT00000027438
ENSPTRP00000089438	ENSPTRG00000044431	Pan_troglodytes	ENSPTRT00000086854
ENSGGOP00000037906	ENSGGOG00000023740	Gorilla_gorilla	ENSGGOT00000033219
ENSPPYP00000018460	ENSPPYG00000016507	Pongo_abelii	ENSPPYT00000019197
ENSMLEP00000002461	ENSMLEG00000009976	Mandrillus_leucophaeus	ENSMLET00000010998
ENSTGEP00000037041	ENSTGEG00000029485	Theropithecus_gelada	ENSTGET00000043967
ENSCATP00000026418	ENSCATG00000036623	Cercocebus_atys	ENSCATT00000050655
ENSMMUP00000064853	ENSMMUG00000058175	Macaca_mulatta	ENSMMUT00000109977
ENSMNEP00000037104	ENSMNEG00000041642	Macaca_nemestrina	ENSMNET00000061572
ENSMFAP00000032077	ENSMFAG00000037076	Macaca_fascicularis	ENSMFAT00000006298
ENSPANP00000025366	ENSPANG00000007623	Papio_anubis	ENSPANT00000021090
ENSRROP00000044022	ENSRROG00000045017	Rhinopithecus_roxellana	ENSRROT00000068536
ENSRBIP00000022744	ENSRBIG00000035323	Rhinopithecus_bieti	ENSRBIT00000046635
ENSPTEP00000029829	ENSPTEG00000029174	Piliocolobus_tephrosceles	ENSPTET00000041404
ENSANAP00000036023	ENSANAG00000035534	Aotus_nancymaae	ENSANAT00000054094
