ENSOPRP00000006368	ENSOPRG00000006961	Ochotona_princeps
ENSPVAP00000009038	ENSPVAG00000009592	Pteropus_vampyrus
ENSFDAP00000021787	ENSFDAG00000007458	Fukomys_damarensis
ENSMMMP00000009747	ENSMMMG00000008692	Marmota_marmota_marmota
ENSCGRP00001027594	ENSCGRG00001024554	Cricetulus_griseus_CHOK1GS_HDv1
ENSPPYP00000018820	ENSPPYG00000016813	Pongo_abelii
ENSLAFP00000028663	ENSLAFG00000029666	Loxodonta_africana
ENSCPBP00000028037	ENSCPBG00000019816	Chrysemys_picta_bellii
MGP_PahariEiJ_P0024627	MGP_PahariEiJ_G0015370	Mus_pahari_strain_PAHARI_EIJ
ENSCCEP00000018631	ENSCCEG00000017052	Cyanistes_caeruleus
ENSCCNP00000016626	ENSCCNG00000016940	Castor_canadensis
ENSPMJP00000003566	ENSPMJG00000003110	Parus_major
ENSSARP00000008356	ENSSARG00000009259	Sorex_araneus
ENSEASP00005007661	ENSEASG00005005585	Equus_asinus_asinus
ENSTTRP00000009999	ENSTTRG00000010544	Tursiops_truncatus
ENSCSAP00000013414	ENSCSAG00000017379	Chlorocebus_sabaeus
ENSPTRP00000031418	ENSPTRG00000018387	Pan_troglodytes
MGP_CAROLIEiJ_P0088983	MGP_CAROLIEiJ_G0032503	Mus_caroli_strain_CAROLI_EIJ
ENSCPGP00000023998	ENSCPGG00000016581	Calidris_pygmaea
ENSCCAP00000015654	ENSCCAG00000025626	Cebus_capucinus_imitator
ENSSHAP00000011321	ENSSHAG00000009737	Sarcophilus_harrisii
ENSOCUP00000022729	ENSOCUG00000026841	Oryctolagus_cuniculus
ENSTBEP00000010161	ENSTBEG00000011766	Tupaia_belangeri
ENSMFAP00000037649	ENSMFAG00000038052	Macaca_fascicularis
ENSAMXP00005001701	ENSAMXG00005000960	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000000056	ENSAMXG00000000057	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSUMAP00000027560	ENSUMAG00000020003	Ursus_maritimus
ENSMAUP00000013439	ENSMAUG00000013487	Mesocricetus_auratus
ENSSFOP00015015748	ENSSFOG00015010175	Scleropages_formosus
ENSSBOP00000032280	ENSSBOG00000032325	Saimiri_boliviensis_boliviensis
ENSLACP00000015318	ENSLACG00000013484	Latimeria_chalumnae
ENSMNEP00000043429	ENSMNEG00000044397	Macaca_nemestrina
ENSCANP00000032407	ENSCANG00000039870	Colobus_angolensis_palliatus
ENSOARP00000014361	ENSOARG00000013397	Ovis_aries
ENSDCDP00000017310	ENSDCDG00000014089	Denticeps_clupeoides
ENSABRP00000008792	ENSABRG00000007912	Anser_brachyrhynchus
ENSCJPP00005004303	ENSCJPG00005004298	Coturnix_japonica
ENSCPOP00000030786	ENSCPOG00000037713	Cavia_porcellus
ENSIPUP00000036231	ENSIPUG00000024281	Ictalurus_punctatus
ENSMLUP00000004785	ENSMLUG00000005248	Myotis_lucifugus
ENSSCAP00000004338	ENSSCAG00000003548	Serinus_canaria	ENSSCAT00000005030
ENSLOCP00000020464	ENSLOCG00000016569	Lepisosteus_oculatus
ENSBTAP00000063028	ENSBTAG00000000257	Bos_taurus
ENSCMIP00000026522	ENSCMIG00000011612	Callorhinchus_milii
ENSAHAP00000010665	ENSAHAG00000007711	Apteryx_haastii
ENSBBBP00000010065	ENSBBBG00000018209	Bison_bison_bison
ENSAOWP00000027962	ENSAOWG00000018836	Apteryx_owenii
ENSNLEP00000015492	ENSNLEG00000012763	Nomascus_leucogenys
ENSOGAP00000011363	ENSOGAG00000012682	Otolemur_garnettii
ENSODEP00000012834	ENSODEG00000009498	Octodon_degus
ENSPTIP00000024828	ENSPTIG00000020805	Panthera_tigris_altaica
ENSPSIP00000015214	ENSPSIG00000013595	Pelodiscus_sinensis
ENSMVIP00005005235	ENSMVIG00005004000	Manacus_vitellinus	ENSMVIT00005006002
ENSCAFP00000053573	ENSCAFG00000031854	Canis_lupus_familiaris
ENSPVIP00000007725	ENSPVIG00000006300	Pogona_vitticeps	ENSPVIT00000009947
ENSPNAP00000034883	ENSPNAG00000024423	Pygocentrus_nattereri
ENSCPUP00000014057	ENSCPUG00000009932	Calidris_pugnax
ENSECRP00000002178	ENSECRG00000001507	Erpetoichthys_calabaricus
ENSVVUP00000026681	ENSVVUG00000019606	Vulpes_vulpes
ENSMODP00000022898	ENSMODG00000018364	Monodelphis_domestica
ENSRNOP00000014006	ENSRNOG00000010545	Rattus_norvegicus
ENSBIXP00000012441	ENSBIXG00000017513	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSLSDP00000019173	ENSLSDG00000013675	Lonchura_striata_domestica
ENSBIXP00005046821	ENSBIXG00005031518	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMICP00000011649	ENSMICG00000012798	Microcebus_murinus
ENSHHUP00000071281	ENSHHUG00000041893	Hucho_hucho
ENSNVIP00000004320	ENSNVIG00000003489	Neovison_vison
ENSNPEP00000018529	ENSNPEG00000013811	Nothoprocta_perdicaria
ENSZALP00000021755	ENSZALG00000016979	Zonotrichia_albicollis
ENSDNVP00000025506	ENSDNVG00000017739	Dromaius_novaehollandiae
ENSGAGP00000011962	ENSGAGG00000009215	Gopherus_agassizii
ENSJHYP00000020419	ENSJHYG00000015498	Junco_hyemalis
ENSEEUP00000002257	ENSEEUG00000002481	Erinaceus_europaeus
ENSPSMP00000034753	ENSPSMG00000023933	Prolemur_simus
ENSPCIP00000028111	ENSPCIG00000020999	Phascolarctos_cinereus
ENSCHIP00000002251	ENSCHIG00000005238	Capra_hircus
ENSARWP00000021390	ENSARWG00000014618	Apteryx_rowi
ENSCGRP00015011362	ENSCGRG00015008742	Cricetulus_griseus_CriGri-PICR
ENSJJAP00000010883	ENSJJAG00000014346	Jaculus_jaculus
ENSPTEP00000017723	ENSPTEG00000019233	Piliocolobus_tephrosceles
ENSUAMP00000021279	ENSUAMG00000016715	Ursus_americanus
ENSBMUP00000014614	ENSBMUG00000011095	Bos_mutus
ENSMGAP00000014501	ENSMGAG00000013723	Meleagris_gallopavo
ENSPCAP00000005201	ENSPCAG00000005637	Procavia_capensis
ENSPCOP00000016850	ENSPCOG00000020214	Propithecus_coquereli
ENSCPRP00005023951	ENSCPRG00005016616	Crocodylus_porosus
ENSHGLP00000025672	ENSHGLG00000018276	Heterocephalus_glaber_HetGla_female_1.0
ENSCAFP00020019912	ENSCAFG00020015810	Canis_lupus_dingo
ENSCABP00000023457	ENSCABG00000017294	Chelonoidis_abingdonii
ENSMOCP00000009684	ENSMOCG00000009867	Microtus_ochrogaster
ENSHGLP00100020797	ENSHGLG00100015333	Heterocephalus_glaber_HetGla_1.0
ENSCLAP00000019134	ENSCLAG00000013113	Chinchilla_lanigera
ENSPANP00000017305	ENSPANG00000000952	Papio_anubis
ENSHHUP00000054726	ENSHHUG00000032802	Hucho_hucho
ENSSPUP00000007052	ENSSPUG00000005455	Sphenodon_punctatus	ENSSPUT00000007515
ENSVPAP00000005768	ENSVPAG00000006217	Vicugna_pacos
ENSNGAP00000000776	ENSNGAG00000000589	Nannospalax_galili
ENSCATP00000017609	ENSCATG00000032685	Cercocebus_atys
ENSANAP00000006938	ENSANAG00000021545	Aotus_nancymaae
ENSMUNP00000010399	ENSMUNG00000008212	Melopsittacus_undulatus
ENSCGRP00000008911	ENSCGRG00000006515	Cricetulus_griseus_CriGri_1.0
ENSRROP00000036645	ENSRROG00000041774	Rhinopithecus_roxellana
ENSAMEP00000012665	ENSAMEG00000012039	Ailuropoda_melanoleuca
ENSNSUP00000001789	ENSNSUG00000001517	Notechis_scutatus	ENSNSUT00000001932
ENSMSIP00000023706	ENSMSIG00000020065	Mus_spicilegus
ENSPPAP00000014783	ENSPPAG00000030554	Pan_paniscus
ENSVPAP00000000640	ENSVPAG00000000699	Vicugna_pacos
ENSSMRP00000022478	ENSSMRG00000017472	Salvator_merianae	ENSSMRT00000026290
ENSBBBP00000026218	ENSBBBG00000021902	Bison_bison_bison
ENSTSYP00000009748	ENSTSYG00000010651	Carlito_syrichta
ENSAPLP00000011275	ENSAPLG00000011519	Anas_platyrhynchos_platyrhynchos
ENSCHAP00000033308	ENSCHAG00000015885	Clupea_harengus
ENSECAP00000043668	ENSECAG00000022686	Equus_caballus
ENSCAPP00000005864	ENSCAPG00000008084	Cavia_aperea
ENSDNOP00000019196	ENSDNOG00000031907	Dasypus_novemcinctus
ENSGALP00000025492	ENSGALG00000015838	Gallus_gallus
ENSUPAP00010020962	ENSUPAG00010016628	Urocitellus_parryii
MGP_SPRETEiJ_P0092640	MGP_SPRETEiJ_G0033642	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000108774	ENSMUSG00000042761	Mus_musculus_strain_reference_(CL57BL6)
ENSXETP00000028169	ENSXETG00000008581	Xenopus_tropicalis
ENSNMEP00000012460	ENSNMEG00000011538	Numida_meleagris
ENSFCAP00000006314	ENSFCAG00000006798	Felis_catus
ENSMLEP00000018654	ENSMLEG00000033519	Mandrillus_leucophaeus
ENSMPUP00000005341	ENSMPUG00000005380	Mustela_putorius_furo
ENSSSCP00000038787	ENSSSCG00000026943	Sus_scrofa_strain_reference
ENSP00000257776	ENSG00000135324	Homo_sapiens
ENSDCDP00000018188	ENSDCDG00000014723	Denticeps_clupeoides
ENSTGEP00000022038	ENSTGEG00000017807	Theropithecus_gelada
ENSLCOP00000022792	ENSLCOG00000016011	Lepidothrix_coronata	ENSLCOT00000024081
ENSACAP00000003846	ENSACAG00000003956	Anolis_carolinensis	ENSACAT00000003938
ENSSDAP00000013060	ENSSDAG00000011752	Spermophilus_dauricus
ENSSTOP00000029804	ENSSTOG00000021518	Ictidomys_tridecemlineatus
ENSRBIP00000010677	ENSRBIG00000029180	Rhinopithecus_bieti
ENSDARP00000124181	ENSDARG00000074763	Danio_rerio
ENSPEMP00000024198	ENSPEMG00000021013	Peromyscus_maniculatus_bairdii
ENSCJAP00000063206	ENSCJAG00000031597	Callithrix_jacchus
ENSGGOP00000006074	ENSGGOG00000006212	Gorilla_gorilla
ENSEEEP00000049097	ENSEEEG00000023071	Electrophorus_electricus
ENSPPRP00000029447	ENSPPRG00000022050	Panthera_pardus
ENSMUGP00000014882	ENSMUGG00000012842	Meriones_unguiculatus
ENSFALP00000002880	ENSFALG00000002764	Ficedula_albicollis
