ENSUPAP00010028741	ENSUPAG00010022674	Urocitellus_parryii	ENSUPAT00010032708
ENSSDAP00000022874	ENSSDAG00000020801	Spermophilus_dauricus	ENSSDAT00000026148
ENSMMMP00000013165	ENSMMMG00000011751	Marmota_marmota_marmota
ENSMUSP00000098827	ENSMUSG00000072995	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0096349	MGP_SPRETEiJ_G0034531	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0092585	MGP_CAROLIEiJ_G0033364	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0090199	MGP_PahariEiJ_G0031906	Mus_pahari_strain_PAHARI_EIJ
ENSPEMP00000037150	ENSPEMG00000026829	Peromyscus_maniculatus_bairdii
ENSOCUP00000029870	ENSOCUG00000014565	Oryctolagus_cuniculus
ENSPTRP00000041822	ENSPTRG00000022076	Pan_troglodytes
ENSPPAP00000003897	ENSPPAG00000016441	Pan_paniscus
ENSP00000276127	ENSG00000147183	Homo_sapiens
ENSGGOP00000026143	ENSGGOG00000026865	Gorilla_gorilla
ENSPPYP00000022974	ENSPPYG00000020524	Pongo_abelii
ENSNLEP00000003512	ENSNLEG00000002894	Nomascus_leucogenys
ENSCANP00000018927	ENSCANG00000032906	Colobus_angolensis_palliatus
ENSPTEP00000011234	ENSPTEG00000012670	Piliocolobus_tephrosceles
ENSRBIP00000034208	ENSRBIG00000040819	Rhinopithecus_bieti
ENSRROP00000017678	ENSRROG00000032930	Rhinopithecus_roxellana
ENSMNEP00000015037	ENSMNEG00000031654	Macaca_nemestrina
ENSMFAP00000025937	ENSMFAG00000044441	Macaca_fascicularis
ENSCATP00000012802	ENSCATG00000030545	Cercocebus_atys
ENSMLEP00000001543	ENSMLEG00000006016	Mandrillus_leucophaeus
ENSTGEP00000032272	ENSTGEG00000025801	Theropithecus_gelada
ENSPANP00000009631	ENSPANG00000024226	Papio_anubis
ENSCSAP00000006668	ENSCSAG00000010435	Chlorocebus_sabaeus
ENSCCAP00000020009	ENSCCAG00000027844	Cebus_capucinus_imitator
ENSSBOP00000014941	ENSSBOG00000024206	Saimiri_boliviensis_boliviensis
ENSCJAP00000019460	ENSCJAG00000010550	Callithrix_jacchus
ENSANAP00000015118	ENSANAG00000025456	Aotus_nancymaae
ENSTSYP00000013161	ENSTSYG00000014330	Carlito_syrichta
ENSPSMP00000027456	ENSPSMG00000019198	Prolemur_simus
ENSPCOP00000000745	ENSPCOG00000002441	Propithecus_coquereli
ENSMICP00000002509	ENSMICG00000002763	Microcebus_murinus
ENSTBEP00000008781	ENSTBEG00000010167	Tupaia_belangeri
ENSUAMP00000029128	ENSUAMG00000022452	Ursus_americanus
ENSUMAP00000033195	ENSUMAG00000023931	Ursus_maritimus
ENSVVUP00000017896	ENSVVUG00000013152	Vulpes_vulpes
ENSVPAP00000001697	ENSVPAG00000001841	Vicugna_pacos
ENSPVAP00000002556	ENSPVAG00000002707	Pteropus_vampyrus
ENSMLUP00000002009	ENSMLUG00000002206	Myotis_lucifugus
ENSEEUP00000012213	ENSEEUG00000013417	Erinaceus_europaeus
ENSSARP00000004022	ENSSARG00000004444	Sorex_araneus
ENSLAFP00000025407	ENSLAFG00000031743	Loxodonta_africana
ENSPCAP00000010524	ENSPCAG00000011328	Procavia_capensis
ENSETEP00000000892	ENSETEG00000001103	Echinops_telfairi
ENSDNOP00000024294	ENSDNOG00000038026	Dasypus_novemcinctus
