ENSMEUP00000004866	ENSMEUG00000005324	Notamacropus_eugenii
ENSPCIP00000038103	ENSPCIG00000028050	Phascolarctos_cinereus
ENSVURP00010027922	ENSVURG00010021366	Vombatus_ursinus
ENSMODP00000006698	ENSMODG00000005421	Monodelphis_domestica
ENSSHAP00000008923	ENSSHAG00000007728	Sarcophilus_harrisii
ENSCCNP00000014658	ENSCCNG00000015131	Castor_canadensis
ENSDORP00000002660	ENSDORG00000002832	Dipodomys_ordii
MGP_SPRETEiJ_P0089357	MGP_SPRETEiJ_G0032622	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000034369	ENSMUSG00000031897	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000006687	ENSMSIG00000005972	Mus_spicilegus
MGP_CAROLIEiJ_P0085858	MGP_CAROLIEiJ_G0031504	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0054111	MGP_PahariEiJ_G0023104	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000026462	ENSRNOG00000019494	Rattus_norvegicus
ENSMUGP00000020142	ENSMUGG00000017026	Meriones_unguiculatus
ENSCGRP00000023281	ENSCGRG00000016858	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015010692	ENSCGRG00015008241	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001007440	ENSCGRG00001009850	Cricetulus_griseus_CHOK1GS_HDv1
ENSPEMP00000006967	ENSPEMG00000009058	Peromyscus_maniculatus_bairdii
ENSMOCP00000009487	ENSMOCG00000009667	Microtus_ochrogaster
ENSNGAP00000019010	ENSNGAG00000018966	Nannospalax_galili
ENSJJAP00000022810	ENSJJAG00000022755	Jaculus_jaculus
ENSSTOP00000001787	ENSSTOG00000002011	Ictidomys_tridecemlineatus
ENSSDAP00000019721	ENSSDAG00000017973	Spermophilus_dauricus
ENSUPAP00010000504	ENSUPAG00010000439	Urocitellus_parryii
ENSMMMP00000016534	ENSMMMG00000014711	Marmota_marmota_marmota
ENSHGLP00100017970	ENSHGLG00100013249	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000017140	ENSHGLG00000012273	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000015037	ENSFDAG00000002665	Fukomys_damarensis
ENSODEP00000020788	ENSODEG00000015334	Octodon_degus
ENSCLAP00000010812	ENSCLAG00000007461	Chinchilla_lanigera
ENSCPOP00000020806	ENSCPOG00000021270	Cavia_porcellus
ENSOCUP00000005491	ENSOCUG00000006348	Oryctolagus_cuniculus
ENSOPRP00000012602	ENSOPRG00000013823	Ochotona_princeps
ENSPTRP00000045585	ENSPTRG00000031165	Pan_troglodytes
ENSPPAP00000021038	ENSPPAG00000033747	Pan_paniscus
ENSP00000351314	ENSG00000205220	Homo_sapiens
ENSGGOP00000013556	ENSGGOG00000013901	Gorilla_gorilla
ENSPPYP00000008443	ENSPPYG00000007476	Pongo_abelii
ENSNLEP00000006110	ENSNLEG00000005024	Nomascus_leucogenys
ENSMNEP00000007653	ENSMNEG00000028402	Macaca_nemestrina
ENSMMUP00000067788	ENSMMUG00000064535	Macaca_mulatta
ENSMFAP00000031434	ENSMFAG00000036794	Macaca_fascicularis
ENSCATP00000017923	ENSCATG00000032828	Cercocebus_atys
ENSMLEP00000031717	ENSMLEG00000040076	Mandrillus_leucophaeus
ENSTGEP00000008553	ENSTGEG00000007008	Theropithecus_gelada
ENSPANP00000018052	ENSPANG00000017133	Papio_anubis
ENSCSAP00000000340	ENSCSAG00000003993	Chlorocebus_sabaeus
ENSRBIP00000034350	ENSRBIG00000040876	Rhinopithecus_bieti
ENSRROP00000001101	ENSRROG00000003928	Rhinopithecus_roxellana
ENSCANP00000016146	ENSCANG00000031502	Colobus_angolensis_palliatus
ENSSBOP00000029579	ENSSBOG00000031106	Saimiri_boliviensis_boliviensis
ENSCCAP00000022442	ENSCCAG00000029020	Cebus_capucinus_imitator
ENSCJAP00000029359	ENSCJAG00000053823	Callithrix_jacchus
ENSANAP00000031656	ENSANAG00000033558	Aotus_nancymaae
ENSTSYP00000026504	ENSTSYG00000030122	Carlito_syrichta
ENSPSMP00000014316	ENSPSMG00000010266	Prolemur_simus
ENSMICP00000011184	ENSMICG00000012294	Microcebus_murinus
ENSPCOP00000021817	ENSPCOG00000022959	Propithecus_coquereli
ENSOGAP00000013955	ENSOGAG00000015584	Otolemur_garnettii
ENSTBEP00000003020	ENSTBEG00000003501	Tupaia_belangeri
ENSCHOP00000003254	ENSCHOG00000003674	Choloepus_hoffmanni
ENSETEP00000013275	ENSETEG00000016367	Echinops_telfairi
ENSLAFP00000026676	ENSLAFG00000028527	Loxodonta_africana
ENSPCAP00000014655	ENSPCAG00000015667	Procavia_capensis
ENSUAMP00000026793	ENSUAMG00000020721	Ursus_americanus
ENSAMEP00000018576	ENSAMEG00000017583	Ailuropoda_melanoleuca
ENSNVIP00000011666	ENSNVIG00000009233	Neovison_vison
ENSMPUP00000006733	ENSMPUG00000006787	Mustela_putorius_furo
ENSCAFP00000030153	ENSCAFG00000020333	Canis_lupus_familiaris
ENSCAFP00020023495	ENSCAFG00020018533	Canis_lupus_dingo
ENSVVUP00000017188	ENSVVUG00000012675	Vulpes_vulpes
ENSPPRP00000028363	ENSPPRG00000020434	Panthera_pardus
ENSPTIP00000023819	ENSPTIG00000020142	Panthera_tigris_altaica
ENSFCAP00000011921	ENSFCAG00000012854	Felis_catus
ENSECAP00000010204	ENSECAG00000012022	Equus_caballus
ENSEASP00005020965	ENSEASG00005014362	Equus_asinus_asinus
ENSMLUP00000005371	ENSMLUG00000005876	Myotis_lucifugus
ENSPVAP00000015678	ENSPVAG00000016612	Pteropus_vampyrus
ENSOARP00000003455	ENSOARG00000003243	Ovis_aries
ENSCHIP00000027522	ENSCHIG00000023396	Capra_hircus
ENSBIXP00000010102	ENSBIXG00000015673	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005040453	ENSBIXG00005023115	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000003712	ENSBMUG00000002931	Bos_mutus
ENSBTAP00000063146	ENSBTAG00000018040	Bos_taurus
ENSBBBP00000007394	ENSBBBG00000008328	Bison_bison_bison
ENSSSCP00000058852	ENSSSCG00000031781	Sus_scrofa_strain_reference
ENSTTRP00000008778	ENSTTRG00000009256	Tursiops_truncatus
ENSSARP00000012776	ENSSARG00000014126	Sorex_araneus
ENSEEUP00000003530	ENSEEUG00000003892	Erinaceus_europaeus
ENSOANP00000021822	ENSOANG00000013843	Ornithorhynchus_anatinus
ENSGAGP00000005323	ENSGAGG00000004310	Gopherus_agassizii
ENSXETP00000047783	ENSXETG00000017814	Xenopus_tropicalis
ENSLACP00000015725	ENSLACG00000013849	Latimeria_chalumnae
ENSTRUP00000017306	ENSTRUG00000007044	Takifugu_rubripes
ENSTNIP00000006304	ENSTNIG00000003705	Tetraodon_nigroviridis
ENSGWIP00000025710	ENSGWIG00000013531	Gouania_willdenowi
ENSBSLP00000004969	ENSBSLG00000002658	Betta_splendens
ENSBSLP00000005079	ENSBSLG00000002773	Betta_splendens
ENSCSEP00000028111	ENSCSEG00000017959	Cynoglossus_semilaevis
ENSCGOP00000031932	ENSCGOG00000014791	Cottoperca_gobio
ENSGACP00000024531	ENSGACG00000018551	Gasterosteus_aculeatus
ENSMMOP00000015411	ENSMMOG00000011755	Mola_mola
ENSMMOP00000004907	ENSMMOG00000003920	Mola_mola
ENSLCRP00005010408	ENSLCRG00005004767	Larimichthys_crocea
ENSMAMP00000028424	ENSMAMG00000019127	Mastacembelus_armatus
ENSMALP00000003579	ENSMALG00000002151	Monopterus_albus
ENSATEP00000015815	ENSATEG00000010999	Anabas_testudineus
ENSSDUP00000029852	ENSSDUG00000021536	Seriola_dumerili
ENSSLDP00000029516	ENSSLDG00000022777	Seriola_lalandi_dorsalis
ENSSMAP00000018465	ENSSMAG00000011304	Scophthalmus_maximus
ENSLCAP00010046351	ENSLCAG00010021491	Lates_calcarifer
ENSXMAP00000007666	ENSXMAG00000007637	Xiphophorus_maculatus
ENSXCOP00000022810	ENSXCOG00000016418	Xiphophorus_couchianus
ENSGAFP00000012004	ENSGAFG00000008138	Gambusia_affinis
