ENSECRP00000003459	ENSECRG00000002333	Erpetoichthys_calabaricus
ENSCMIP00000009515	ENSCMIG00000005052	Callorhinchus_milii
ENSTGUP00000016145	ENSTGUG00000015823	Taeniopygia_guttata
ENSPNAP00000030851	ENSPNAG00000018151	Pygocentrus_nattereri
ENSAMXP00000014287	ENSAMXG00000013855	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSIPUP00000020898	ENSIPUG00000014087	Ictalurus_punctatus
ENSEEEP00000050130	ENSEEEG00000023580	Electrophorus_electricus
ENSDARP00000143601	ENSDARG00000099871	Danio_rerio
ENSCHAP00000027937	ENSCHAG00000009132	Clupea_harengus
ENSDCDP00000047716	ENSDCDG00000028451	Denticeps_clupeoides
ENSMAMP00000026723	ENSMAMG00000017522	Mastacembelus_armatus
ENSMALP00000019138	ENSMALG00000013307	Monopterus_albus
ENSTRUP00000005892	ENSTRUG00000002538	Takifugu_rubripes
ENSTNIP00000002895	ENSTNIG00000004772	Tetraodon_nigroviridis
ENSMMOP00000006594	ENSMMOG00000005142	Mola_mola
ENSFHEP00000007031	ENSFHEG00000008196	Fundulus_heteroclitus
ENSCVAP00000007424	ENSCVAG00000009198	Cyprinodon_variegatus
ENSXMAP00000004683	ENSXMAG00000004628	Xiphophorus_maculatus
ENSXCOP00000014102	ENSXCOG00000010669	Xiphophorus_couchianus
ENSGAFP00000023241	ENSGAFG00000015683	Gambusia_affinis
ENSPFOP00000013810	ENSPFOG00000013226	Poecilia_formosa
ENSPMEP00000019435	ENSPMEG00000022547	Poecilia_mexicana
ENSPLAP00000029719	ENSPLAG00000020549	Poecilia_latipinna
ENSPREP00000025874	ENSPREG00000017413	Poecilia_reticulata
ENSKMAP00000023052	ENSKMAG00000016911	Kryptolebias_marmoratus
ENSORLP00000002419	ENSORLG00000001941	Oryzias_latipes_ASM223467v1
ENSORLP00020017066	ENSORLG00020018143	Oryzias_latipes_ASM223471v1
ENSORLP00015005835	ENSORLG00015006711	Oryzias_latipes_ASM223469v1
ENSOMEP00000036146	ENSOMEG00000023739	Oryzias_melastigma
ENSCSEP00000010216	ENSCSEG00000006533	Cynoglossus_semilaevis
ENSPMGP00000004945	ENSPMGG00000004175	Periophthalmus_magnuspinnatus
ENSGWIP00000048015	ENSGWIG00000023197	Gouania_willdenowi	ENSGWIT00000051932
ENSAOCP00000010097	ENSAOCG00000014408	Amphiprion_ocellaris
ENSAPEP00000025641	ENSAPEG00000018128	Amphiprion_percula
ENSAPOP00000020536	ENSAPOG00000024178	Acanthochromis_polyacanthus
ENSSPAP00000011242	ENSSPAG00000008477	Stegastes_partitus
ENSPRNP00000021835	ENSPRNG00000011264	Parambassis_ranga
ENSHBUP00000033861	ENSHBUG00000022404	Haplochromis_burtoni
ENSPNYP00000023680	ENSPNYG00000017768	Pundamilia_nyererei
ENSACLP00000023789	ENSACLG00000016070	Astatotilapia_calliptera
