ENSPTEP00000023999	ENSPTEG00000024596	Piliocolobus_tephrosceles
ENSBMUP00000033816	ENSBMUG00000025209	Bos_mutus
ENSOPRP00000001885	ENSOPRG00000002042	Ochotona_princeps
ENSPANP00000012176	ENSPANG00000005064	Papio_anubis
ENSMLUP00000017513	ENSMLUG00000027441	Myotis_lucifugus
ENSCHIP00000024837	ENSCHIG00000021858	Capra_hircus
ENSSHAP00000020451	ENSSHAG00000017342	Sarcophilus_harrisii
ENSCAFP00020032514	ENSCAFG00020025337	Canis_lupus_dingo
ENSMPUP00000011228	ENSMPUG00000011320	Mustela_putorius_furo
ENSOANP00000006081	ENSOANG00000003831	Ornithorhynchus_anatinus
ENSEASP00005001596	ENSEASG00005001298	Equus_asinus_asinus
ENSAHAP00000002602	ENSAHAG00000002123	Apteryx_haastii
ENSJJAP00000013856	ENSJJAG00000016464	Jaculus_jaculus
ENSUPAP00010022631	ENSUPAG00010017957	Urocitellus_parryii
ENSTTRP00000012792	ENSTTRG00000013485	Tursiops_truncatus
ENSCPBP00000033153	ENSCPBG00000023217	Chrysemys_picta_bellii
ENSMICP00000006743	ENSMICG00000007406	Microcebus_murinus
ENSVVUP00000040322	ENSVVUG00000028806	Vulpes_vulpes
ENSMSIP00000004787	ENSMSIG00000004384	Mus_spicilegus
ENSCSAVP00000000883	ENSCSAVG00000000501	Ciona_savignyi
ENSPSMP00000032017	ENSPSMG00000022190	Prolemur_simus
ENSPTRP00000089731	ENSPTRG00000043584	Pan_troglodytes
ENSOGAP00000005629	ENSOGAG00000006298	Otolemur_garnettii
ENSCGRP00001026950	ENSCGRG00001024108	Cricetulus_griseus_CHOK1GS_HDv1
ENSFDAP00000022387	ENSFDAG00000020797	Fukomys_damarensis
ENSAOWP00000011488	ENSAOWG00000007902	Apteryx_owenii
ENSPCOP00000007635	ENSPCOG00000015069	Propithecus_coquereli
ENSOCUP00000005172	ENSOCUG00000005975	Oryctolagus_cuniculus
ENSCAPP00000005825	ENSCAPG00000008046	Cavia_aperea
ENSPCIP00000011630	ENSPCIG00000009295	Phascolarctos_cinereus
ENSMFAP00000013617	ENSMFAG00000028601	Macaca_fascicularis
ENSCPOP00000024326	ENSCPOG00000033601	Cavia_porcellus
ENSPEMP00000004719	ENSPEMG00000007093	Peromyscus_maniculatus_bairdii
ENSSBOP00000021249	ENSSBOG00000027157	Saimiri_boliviensis_boliviensis
ENSNLEP00000046053	ENSNLEG00000011651	Nomascus_leucogenys
ENSSSCP00000066603	ENSSSCG00000008194	Sus_scrofa_strain_reference
ENSCLAP00000005703	ENSCLAG00000004041	Chinchilla_lanigera
ENSNGAP00000008083	ENSNGAG00000011162	Nannospalax_galili
ENSPVAP00000006714	ENSPVAG00000007116	Pteropus_vampyrus
ENSVURP00010004701	ENSVURG00010003742	Vombatus_ursinus
ENSCGRP00000018482	ENSCGRG00000013453	Cricetulus_griseus_CriGri_1.0
ENSSDAP00000004258	ENSSDAG00000004005	Spermophilus_dauricus
ENSCABP00000016374	ENSCABG00000012080	Chelonoidis_abingdonii	ENSCABT00000017943
ENSCATP00000037042	ENSCATG00000041279	Cercocebus_atys
ENSPCAP00000010887	ENSPCAG00000011660	Procavia_capensis
ENSRNOP00000022779	ENSRNOG00000016789	Rattus_norvegicus
MGP_SPRETEiJ_P0018159	MGP_SPRETEiJ_G0014847	Mus_spretus_strain_SPRET/EiJ
ENSPPAP00000005659	ENSPPAG00000023188	Pan_paniscus
ENSMAUP00000023129	ENSMAUG00000020362	Mesocricetus_auratus
ENSGGOP00000038510	ENSGGOG00000037645	Gorilla_gorilla
ENSSPUP00000004744	ENSSPUG00000003665	Sphenodon_punctatus
ENSSARP00000010174	ENSSARG00000011261	Sorex_araneus
ENSNSUP00000006845	ENSNSUG00000005419	Notechis_scutatus
ENSUMAP00000015914	ENSUMAG00000011700	Ursus_maritimus
ENSMOCP00000023267	ENSMOCG00000020042	Microtus_ochrogaster
ENSCCAP00000010878	ENSCCAG00000023158	Cebus_capucinus_imitator
ENSECAP00000002026	ENSECAG00000002758	Equus_caballus
ENSMMMP00000024728	ENSMMMG00000021656	Marmota_marmota_marmota
ENSMODP00000020058	ENSMODG00000016067	Monodelphis_domestica
ENSBBBP00000027685	ENSBBBG00000024028	Bison_bison_bison
ENSANAP00000005599	ENSANAG00000020837	Aotus_nancymaae
ENSPPYP00000013468	ENSPPYG00000012079	Pongo_abelii
ENSPTRP00000021007	ENSPTRG00000012258	Pan_troglodytes
ENSDORP00000014112	ENSDORG00000014995	Dipodomys_ordii
ENSPVIP00000024447	ENSPVIG00000018399	Pogona_vitticeps
ENSPTIP00000004976	ENSPTIG00000007334	Panthera_tigris_altaica
ENSAMEP00000005533	ENSAMEG00000005211	Ailuropoda_melanoleuca
ENSBIXP00000038105	ENSBIXG00000021850	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSODEP00000009075	ENSODEG00000006779	Octodon_degus
ENSACAP00000006025	ENSACAG00000006123	Anolis_carolinensis
ENSMUGP00000027048	ENSMUGG00000022526	Meriones_unguiculatus
ENSRBIP00000013539	ENSRBIG00000030796	Rhinopithecus_bieti
MGP_CAROLIEiJ_P0017158	MGP_CAROLIEiJ_G0014044	Mus_caroli_strain_CAROLI_EIJ
ENSCHOP00000003330	ENSCHOG00000003769	Choloepus_hoffmanni
ENSOARP00000014647	ENSOARG00000013660	Ovis_aries
ENSRROP00000015770	ENSRROG00000032053	Rhinopithecus_roxellana
ENSNVIP00000019966	ENSNVIG00000015647	Neovison_vison
ENSCGRP00015019631	ENSCGRG00015015082	Cricetulus_griseus_CriGri-PICR
ENSMMUP00000041916	ENSMMUG00000009732	Macaca_mulatta
ENSHGLP00000012818	ENSHGLG00000009168	Heterocephalus_glaber_HetGla_female_1.0
ENSMUSP00000047326	ENSMUSG00000037351	Mus_musculus_strain_reference_(CL57BL6)
ENSCCNP00000031629	ENSCCNG00000030108	Castor_canadensis
ENSMNEP00000042388	ENSMNEG00000043916	Macaca_nemestrina
ENSUAMP00000030981	ENSUAMG00000023791	Ursus_americanus
ENSSMRP00000025619	ENSSMRG00000019809	Salvator_merianae
ENSMEUP00000005348	ENSMEUG00000005859	Notamacropus_eugenii
MGP_PahariEiJ_P0072503	MGP_PahariEiJ_G0027290	Mus_pahari_strain_PAHARI_EIJ
ENSPPRP00000001896	ENSPPRG00000023797	Panthera_pardus
ENSCSAP00000013318	ENSCSAG00000017285	Chlorocebus_sabaeus
ENSBTAP00000059768	ENSBTAG00000048041	Bos_taurus
ENSTSYP00000024911	ENSTSYG00000000406	Carlito_syrichta
ENSTGEP00000010998	ENSTGEG00000008997	Theropithecus_gelada
ENSEEUP00000006795	ENSEEUG00000007457	Erinaceus_europaeus
ENSHGLP00100022615	ENSHGLG00100016629	Heterocephalus_glaber_HetGla_1.0
ENSCGOP00000033377	ENSCGOG00000015084	Cottoperca_gobio
ENSLAFP00000017401	ENSLAFG00000022898	Loxodonta_africana
ENSARWP00000015754	ENSARWG00000010869	Apteryx_rowi
ENSCANP00000035566	ENSCANG00000041450	Colobus_angolensis_palliatus
ENSMLEP00000032080	ENSMLEG00000040229	Mandrillus_leucophaeus
ENSSTOP00000009853	ENSSTOG00000010983	Ictidomys_tridecemlineatus
