ENSCSEP00000033934	ENSCSEG00000021761	Cynoglossus_semilaevis	ENSCSET00000034371
ENSGWIP00000022472	ENSGWIG00000012039	Gouania_willdenowi
ENSTRUP00000037233	ENSTRUG00000014564	Takifugu_rubripes
ENSLCRP00005002040	ENSLCRG00005001034	Larimichthys_crocea
ENSMMOP00000024317	ENSMMOG00000018500	Mola_mola
ENSSDUP00000000229	ENSSDUG00000000249	Seriola_dumerili	ENSSDUT00000000264
ENSSLDP00000010373	ENSSLDG00000008276	Seriola_lalandi_dorsalis
ENSSMAP00000001167	ENSSMAG00000000735	Scophthalmus_maximus	ENSSMAT00000001191
ENSLCAP00010049124	ENSLCAG00010022851	Lates_calcarifer
ENSAOCP00000029200	ENSAOCG00000019311	Amphiprion_ocellaris
ENSAPEP00000026236	ENSAPEG00000018615	Amphiprion_percula
ENSAPOP00000007820	ENSAPOG00000009841	Acanthochromis_polyacanthus
ENSSPAP00000007241	ENSSPAG00000005555	Stegastes_partitus
ENSPMGP00000002667	ENSPMGG00000002326	Periophthalmus_magnuspinnatus
ENSHCOP00000025778	ENSHCOG00000016188	Hippocampus_comes
ENSELUP00000037466	ENSELUG00000017120	Esox_lucius
ENSAMXP00005047617	ENSAMXG00005021847	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSLOCP00000019612	ENSLOCG00000015929	Lepisosteus_oculatus
ENSLACP00000008622	ENSLACG00000007622	Latimeria_chalumnae
ENSXETP00000048058	ENSXETG00000020096	Xenopus_tropicalis
ENSGMOP00000020724	ENSGMOG00000019272	Gadus_morhua
ENSEEEP00000047917	ENSEEEG00000022560	Electrophorus_electricus
ENSECRP00000025738	ENSECRG00000017359	Erpetoichthys_calabaricus
ENSECRP00000021275	ENSECRG00000014159	Erpetoichthys_calabaricus
ENSECRP00000000837	ENSECRG00000000551	Erpetoichthys_calabaricus
ENSCPBP00000017044	ENSCPBG00000012524	Chrysemys_picta_bellii
ENSPSIP00000003532	ENSPSIG00000003364	Pelodiscus_sinensis
ENSPMJP00000002143	ENSPMJG00000001762	Parus_major
ENSJHYP00000008168	ENSJHYG00000006499	Junco_hyemalis
ENSCPUP00000017501	ENSCPUG00000012051	Calidris_pugnax
ENSDNVP00000021241	ENSDNVG00000014878	Dromaius_novaehollandiae
ENSSMRP00000028813	ENSSMRG00000022163	Salvator_merianae
ENSSPUP00000003714	ENSSPUG00000002838	Sphenodon_punctatus
ENSPMAP00000010446	ENSPMAG00000009502	Petromyzon_marinus
