ENSPTEP00000007703	ENSPTEG00000008754	Piliocolobus_tephrosceles	ENSPTET00000011733
ENSPTEP00000005157	ENSPTEG00000006002	Piliocolobus_tephrosceles	ENSPTET00000007958
ENSPTEP00000003123	ENSPTEG00000003693	Piliocolobus_tephrosceles	ENSPTET00000004888
ENSPTEP00000004208	ENSPTEG00000004953	Piliocolobus_tephrosceles	ENSPTET00000006581
ENSPTEP00000000451	ENSPTEG00000000546	Piliocolobus_tephrosceles	ENSPTET00000000681
ENSPTEP00000002108	ENSPTEG00000002429	Piliocolobus_tephrosceles	ENSPTET00000003200
ENSEBUP00000002904	ENSEBUG00000002179	Eptatretus_burgeri	ENSEBUT00000003266
ENSPMAP00000004408	ENSPMAG00000004015	Petromyzon_marinus	ENSPMAT00000004425
ENSGAGP00000007052	ENSGAGG00000005668	Gopherus_agassizii
ENSCABP00000002995	ENSCABG00000002294	Chelonoidis_abingdonii
ENSCPBP00000022697	ENSCPBG00000016153	Chrysemys_picta_bellii
ENSPSIP00000020452	ENSPSIG00000018098	Pelodiscus_sinensis
ENSARWP00000025872	ENSARWG00000017573	Apteryx_rowi
ENSAHAP00000019726	ENSAHAG00000013932	Apteryx_haastii
ENSAOWP00000008960	ENSAOWG00000006143	Apteryx_owenii
ENSDNVP00000011327	ENSDNVG00000007952	Dromaius_novaehollandiae
ENSNPEP00000009691	ENSNPEG00000007267	Nothoprocta_perdicaria
ENSLCOP00000002427	ENSLCOG00000001898	Lepidothrix_coronata
ENSMVIP00005000856	ENSMVIG00005000696	Manacus_vitellinus
ENSTGUP00000003437	ENSTGUG00000003317	Taeniopygia_guttata
ENSLSDP00000013807	ENSLSDG00000009995	Lonchura_striata_domestica
ENSPMJP00000012382	ENSPMJG00000009528	Parus_major
ENSFALP00000006479	ENSFALG00000006202	Ficedula_albicollis
ENSCCEP00000024135	ENSCCEG00000021480	Cyanistes_caeruleus
ENSSCAP00000019482	ENSSCAG00000014055	Serinus_canaria
ENSJHYP00000013005	ENSJHYG00000010100	Junco_hyemalis
ENSZALP00000004707	ENSZALG00000004390	Zonotrichia_albicollis
ENSMUNP00000002960	ENSMUNG00000002568	Melopsittacus_undulatus
ENSCPGP00000006341	ENSCPGG00000004558	Calidris_pygmaea
ENSCPUP00000025200	ENSCPUG00000017046	Calidris_pugnax
ENSGALP00000019961	ENSGALG00000012239	Gallus_gallus
ENSCJPP00005007564	ENSCJPG00005006942	Coturnix_japonica
ENSMGAP00000011681	ENSMGAG00000011181	Meleagris_gallopavo
ENSABRP00000004780	ENSABRG00000004392	Anser_brachyrhynchus
ENSAPLP00000015627	ENSAPLG00000015750	Anas_platyrhynchos_platyrhynchos
ENSPVIP00000005304	ENSPVIG00000004311	Pogona_vitticeps
ENSACAP00000014015	ENSACAG00000014229	Anolis_carolinensis
ENSNSUP00000017058	ENSNSUG00000012572	Notechis_scutatus
ENSSMRP00000016707	ENSSMRG00000013013	Salvator_merianae
ENSCPRP00005018192	ENSCPRG00005012656	Crocodylus_porosus
ENSSPUP00000018549	ENSSPUG00000014321	Sphenodon_punctatus
ENSVURP00010002028	ENSVURG00010001691	Vombatus_ursinus
ENSPCIP00000028017	ENSPCIG00000020930	Phascolarctos_cinereus
ENSMODP00000057267	ENSMODG00000020715	Monodelphis_domestica
ENSSHAP00000008369	ENSSHAG00000007251	Sarcophilus_harrisii
ENSMOCP00000011933	ENSMOCG00000012187	Microtus_ochrogaster
ENSMOCP00000009021	ENSMOCG00000009116	Microtus_ochrogaster
ENSPEMP00000028083	ENSPEMG00000023712	Peromyscus_maniculatus_bairdii
ENSCGRP00001002201	ENSCGRG00001002302	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000000641	ENSCGRG00000000532	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015011821	ENSCGRG00015009052	Cricetulus_griseus_CriGri-PICR
