ENSPPYP00000019560	ENSPPYG00000017449	Pongo_abelii	ENSPPYT00000020331
ENSCSAP00000014056	ENSCSAG00000018053	Chlorocebus_sabaeus	ENSCSAT00000016134
ENSTBEP00000008623	ENSTBEG00000009963	Tupaia_belangeri	ENSTBET00000009965
ENSMLUP00000015391	ENSMLUG00000016879	Myotis_lucifugus	ENSMLUT00000016887
ENSBIXP00000000657	ENSBIXG00000029541	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSSHAP00000014019	ENSSHAG00000011990	Sarcophilus_harrisii
ENSOANP00000028426	ENSOANG00000022281	Ornithorhynchus_anatinus
ENSMGAP00000002983	ENSMGAG00000003284	Meleagris_gallopavo
ENSFALP00000010185	ENSFALG00000009765	Ficedula_albicollis
ENSGAGP00000017815	ENSGAGG00000013225	Gopherus_agassizii
ENSACAP00000020966	ENSACAG00000025682	Anolis_carolinensis
ENSACAP00000020144	ENSACAG00000027087	Anolis_carolinensis
ENSMGAP00000008141	ENSMGAG00000007923	Meleagris_gallopavo
ENSPNAP00000025079	ENSPNAG00000009970	Pygocentrus_nattereri
ENSAMXP00000050189	ENSAMXG00000038630	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSIPUP00000006084	ENSIPUG00000004218	Ictalurus_punctatus
ENSFHEP00000005037	ENSFHEG00000005979	Fundulus_heteroclitus
ENSPFOP00000011425	ENSPFOG00000011384	Poecilia_formosa
ENSORLP00000027918	ENSORLG00000025498	Oryzias_latipes_ASM223467v1
ENSLBEP00000028390	ENSLBEG00000021517	Labrus_bergylta
ENSSFOP00015006084	ENSSFOG00015003983	Scleropages_formosus
ENSELUP00000033501	ENSELUG00000011772	Esox_lucius
ENSEBUP00000004832	ENSEBUG00000003360	Eptatretus_burgeri
