ENSPLAP00000006035	ENSPLAG00000008106	Poecilia_latipinna
ENSMGAP00000001788	ENSMGAG00000002244	Meleagris_gallopavo
ENSHGLP00000016080	ENSHGLG00000011501	Heterocephalus_glaber_HetGla_female_1.0
ENSONIP00000013376	ENSONIG00000010640	Oreochromis_niloticus
ENSJHYP00000002987	ENSJHYG00000002347	Junco_hyemalis
ENSCGOP00000051117	ENSCGOG00000022619	Cottoperca_gobio
ENSBMUP00000002681	ENSBMUG00000002107	Bos_mutus
ENSVVUP00000000064	ENSVVUG00000000049	Vulpes_vulpes
ENSTGEP00000013500	ENSTGEG00000010979	Theropithecus_gelada
ENSPCIP00000008811	ENSPCIG00000007280	Phascolarctos_cinereus
ENSAMXP00000005521	ENSAMXG00000005381	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCPGP00000001198	ENSCPGG00000000949	Calidris_pygmaea
ENSFALP00000006712	ENSFALG00000006436	Ficedula_albicollis
Y113G7B.24a.1	WBGene00013768	Caenorhabditis_elegans_strain_N2	Y113G7B.24a.1
ENSNSUP00000026448	ENSNSUG00000018987	Notechis_scutatus	ENSNSUT00000028095
ENSTBEP00000004106	ENSTBEG00000004767	Tupaia_belangeri
ENSLACP00000003000	ENSLACG00000002683	Latimeria_chalumnae
FBpp0084348	FBgn0039403	Drosophila_melanogaster	FBtr0084975
ENSORLP00015034323	ENSORLG00015020227	Oryzias_latipes_ASM223469v1
ENSCCAP00000029371	ENSCCAG00000032737	Cebus_capucinus_imitator
ENSCHOP00000008635	ENSCHOG00000009751	Choloepus_hoffmanni
ENSP00000276533	ENSG00000147536	Homo_sapiens
ENSPKIP00000022803	ENSPKIG00000006669	Paramormyrops_kingsleyae
ENSZALP00000005106	ENSZALG00000004758	Zonotrichia_albicollis
ENSGWIP00000052118	ENSGWIG00000025185	Gouania_willdenowi
ENSPNAP00000033628	ENSPNAG00000003720	Pygocentrus_nattereri
ENSSTOP00000018868	ENSSTOG00000026490	Ictidomys_tridecemlineatus
ENSMAMP00000013076	ENSMAMG00000008863	Mastacembelus_armatus
ENSRROP00000006717	ENSRROG00000026206	Rhinopithecus_roxellana
ENSMMMP00000004677	ENSMMMG00000004261	Marmota_marmota_marmota
ENSSHAP00000019100	ENSSHAG00000016215	Sarcophilus_harrisii
ENSMSIP00000024980	ENSMSIG00000021124	Mus_spicilegus
ENSSFOP00015016382	ENSSFOG00015010555	Scleropages_formosus
ENSMODP00000013119	ENSMODG00000010469	Monodelphis_domestica
ENSGGOP00000052372	ENSGGOG00000001536	Gorilla_gorilla
ENSSBOP00000024730	ENSSBOG00000028833	Saimiri_boliviensis_boliviensis
ENSHGLP00100015320	ENSHGLG00100011324	Heterocephalus_glaber_HetGla_1.0
ENSVPAP00000002171	ENSVPAG00000002348	Vicugna_pacos
MGP_SPRETEiJ_P0087447	MGP_SPRETEiJ_G0032025	Mus_spretus_strain_SPRET/EiJ
ENSCGRP00015031033	ENSCGRG00015023414	Cricetulus_griseus_CriGri-PICR
ENSCPRP00005000872	ENSCPRG00005000671	Crocodylus_porosus
ENSCHIP00000015853	ENSCHIG00000016339	Capra_hircus
ENSBIXP00005028380	ENSBIXG00005008027	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPTEP00000039626	ENSPTEG00000036632	Piliocolobus_tephrosceles
ENSIPUP00000005056	ENSIPUG00000003513	Ictalurus_punctatus
ENSHBUP00000010699	ENSHBUG00000012264	Haplochromis_burtoni
ENSANAP00000031532	ENSANAG00000033482	Aotus_nancymaae
ENSMFAP00000032853	ENSMFAG00000002972	Macaca_fascicularis
ENSSPUP00000010760	ENSSPUG00000008237	Sphenodon_punctatus
ENSMMOP00000018380	ENSMMOG00000013908	Mola_mola
ENSKMAP00000006665	ENSKMAG00000005013	Kryptolebias_marmoratus
ENSRBIP00000006909	ENSRBIG00000027166	Rhinopithecus_bieti
ENSCLAP00000000848	ENSCLAG00000000658	Chinchilla_lanigera
ENSMUGP00000031709	ENSMUGG00000026368	Meriones_unguiculatus
ENSEEUP00000004495	ENSEEUG00000004940	Erinaceus_europaeus
ENSLCRP00005036445	ENSLCRG00005014210	Larimichthys_crocea
ENSMUSP00000033950	ENSMUSG00000031546	Mus_musculus_strain_reference_(CL57BL6)
ENSAOCP00000001983	ENSAOCG00000005070	Amphiprion_ocellaris
ENSCPUP00000011425	ENSCPUG00000008105	Calidris_pugnax
ENSECAP00000018059	ENSECAG00000020517	Equus_caballus
ENSHHUP00000047891	ENSHHUG00000029087	Hucho_hucho
ENSMAUP00000003942	ENSMAUG00000004678	Mesocricetus_auratus
ENSETEP00000015797	ENSETEG00000019449	Echinops_telfairi
ENSLCOP00000010306	ENSLCOG00000007481	Lepidothrix_coronata
ENSFDAP00000017366	ENSFDAG00000005933	Fukomys_damarensis
ENSSDUP00000028782	ENSSDUG00000020754	Seriola_dumerili
ENSMVIP00005009133	ENSMVIG00005006765	Manacus_vitellinus
