ENSTRUP00000030080	ENSTRUG00000011898	Takifugu_rubripes
ENSTNIP00000015534	ENSTNIG00000012565	Tetraodon_nigroviridis
ENSMMOP00000015280	ENSMMOG00000011658	Mola_mola
ENSLCRP00005010373	ENSLCRG00005004742	Larimichthys_crocea	ENSLCRT00005010661
ENSCGOP00000000883	ENSCGOG00000000562	Cottoperca_gobio
ENSGACP00000004462	ENSGACG00000003402	Gasterosteus_aculeatus
ENSMAMP00000036020	ENSMAMG00000024181	Mastacembelus_armatus
ENSMALP00000015417	ENSMALG00000010815	Monopterus_albus
ENSATEP00000029425	ENSATEG00000020274	Anabas_testudineus
ENSBSLP00000007160	ENSBSLG00000003492	Betta_splendens
ENSSDUP00000028146	ENSSDUG00000020344	Seriola_dumerili
ENSSLDP00000009677	ENSSLDG00000007698	Seriola_lalandi_dorsalis
ENSLCAP00010023186	ENSLCAG00010010882	Lates_calcarifer
ENSHBUP00000025686	ENSHBUG00000007818	Haplochromis_burtoni
ENSMZEP00005035106	ENSMZEG00005026252	Maylandia_zebra
ENSNBRP00000015796	ENSNBRG00000012176	Neolamprologus_brichardi
ENSPNYP00000023421	ENSPNYG00000017690	Pundamilia_nyererei
ENSONIP00000021383	ENSONIG00000016955	Oreochromis_niloticus
ENSACIP00000000072	ENSACIG00000000060	Amphilophus_citrinellus
ENSFHEP00000025792	ENSFHEG00000008230	Fundulus_heteroclitus
ENSCVAP00000032860	ENSCVAG00000023261	Cyprinodon_variegatus
ENSXMAP00000023966	ENSXMAG00000016493	Xiphophorus_maculatus
ENSXCOP00000017218	ENSXCOG00000012982	Xiphophorus_couchianus
ENSGAFP00000006159	ENSGAFG00000004125	Gambusia_affinis
ENSPFOP00000022277	ENSPFOG00000007428	Poecilia_formosa
ENSPMEP00000007502	ENSPMEG00000009236	Poecilia_mexicana
ENSPLAP00000023411	ENSPLAG00000008769	Poecilia_latipinna
ENSPREP00000006946	ENSPREG00000004768	Poecilia_reticulata
ENSKMAP00000013466	ENSKMAG00000010077	Kryptolebias_marmoratus
ENSORLP00000016831	ENSORLG00000013419	Oryzias_latipes_ASM223467v1
ENSORLP00015008448	ENSORLG00015009268	Oryzias_latipes_ASM223469v1
ENSORLP00020030659	ENSORLG00020015255	Oryzias_latipes_ASM223471v1
ENSOMEP00000024161	ENSOMEG00000004624	Oryzias_melastigma
ENSAOCP00000017631	ENSAOCG00000022757	Amphiprion_ocellaris
ENSAPEP00000026225	ENSAPEG00000018598	Amphiprion_percula
ENSAPOP00000013329	ENSAPOG00000016170	Acanthochromis_polyacanthus
ENSSPAP00000025529	ENSSPAG00000019266	Stegastes_partitus
ENSPRNP00000041493	ENSPRNG00000020319	Parambassis_ranga
ENSGWIP00000000481	ENSGWIG00000000324	Gouania_willdenowi
ENSHCOP00000023546	ENSHCOG00000012215	Hippocampus_comes
ENSSMAP00000010123	ENSSMAG00000006151	Scophthalmus_maximus
ENSCSEP00000028840	ENSCSEG00000018463	Cynoglossus_semilaevis
ENSPMGP00000011919	ENSPMGG00000009869	Periophthalmus_magnuspinnatus
ENSGMOP00000010874	ENSGMOG00000010153	Gadus_morhua
ENSELUP00000039576	ENSELUG00000019786	Esox_lucius
