ENSVPAP00000004685	ENSVPAG00000005052	Vicugna_pacos
ENSMLUP00000017026	ENSMLUG00000009729	Myotis_lucifugus	ENSMLUT00000022444
ENSUAMP00000034839	ENSUAMG00000026473	Ursus_americanus
ENSUMAP00000014576	ENSUMAG00000010731	Ursus_maritimus
ENSAMEP00000015836	ENSAMEG00000015025	Ailuropoda_melanoleuca
ENSNVIP00000001114	ENSNVIG00000000933	Neovison_vison
ENSMPUP00000015569	ENSMPUG00000015678	Mustela_putorius_furo
ENSCAFP00020017501	ENSCAFG00020014009	Canis_lupus_dingo
ENSPPRP00000005832	ENSPPRG00000001465	Panthera_pardus
ENSPTIP00000017309	ENSPTIG00000015782	Panthera_tigris_altaica
ENSBIXP00000026576	ENSBIXG00000029797	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000020310	ENSBTAG00000015272	Bos_taurus
ENSBIXP00005032321	ENSBIXG00005012809	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000027078	ENSBBBG00000000396	Bison_bison_bison
ENSOARP00000018140	ENSOARG00000016889	Ovis_aries
ENSCHIP00000016089	ENSCHIG00000016474	Capra_hircus
ENSTTRP00000008420	ENSTTRG00000008882	Tursiops_truncatus
ENSEASP00005025072	ENSEASG00005017059	Equus_asinus_asinus
ENSECAP00000052053	ENSECAG00000008387	Equus_caballus
ENSSSCP00000064554	ENSSSCG00000025164	Sus_scrofa_strain_reference
ENSCAFP00000043429	ENSCAFG00000014443	Canis_lupus_familiaris
ENSVVUP00000032266	ENSVVUG00000023425	Vulpes_vulpes
ENSFCAP00000056833	ENSFCAG00000010805	Felis_catus
ENSPVAP00000011309	ENSPVAG00000011999	Pteropus_vampyrus	ENSPVAT00000011999
ENSSARP00000000892	ENSSARG00000000975	Sorex_araneus
ENSPSMP00000002070	ENSPSMG00000001573	Prolemur_simus
ENSMICP00000029090	ENSMICG00000037589	Microcebus_murinus
ENSPCOP00000025997	ENSPCOG00000025299	Propithecus_coquereli
ENSOGAP00000009861	ENSOGAG00000011020	Otolemur_garnettii
ENSPTRP00000033361	ENSPTRG00000019490	Pan_troglodytes
ENSPTRP00000085164	ENSPTRG00000050286	Pan_troglodytes
ENSPPAP00000041752	ENSPPAG00000043478	Pan_paniscus
ENSP00000300181	ENSG00000166925	Homo_sapiens
ENSGGOP00000026056	ENSGGOG00000028315	Gorilla_gorilla
ENSPPYP00000019518	ENSPPYG00000017414	Pongo_abelii
ENSMFAP00000042920	ENSMFAG00000040847	Macaca_fascicularis
ENSMNEP00000030692	ENSMNEG00000038789	Macaca_nemestrina
ENSMLEP00000002128	ENSMLEG00000008489	Mandrillus_leucophaeus
ENSCATP00000016765	ENSCATG00000032301	Cercocebus_atys
ENSPANP00000017440	ENSPANG00000026457	Papio_anubis
ENSTGEP00000012672	ENSTGEG00000010346	Theropithecus_gelada
ENSCSAP00000013922	ENSCSAG00000017902	Chlorocebus_sabaeus
ENSRROP00000039352	ENSRROG00000043001	Rhinopithecus_roxellana
ENSPTEP00000024040	ENSPTEG00000024627	Piliocolobus_tephrosceles
ENSCANP00000015825	ENSCANG00000031365	Colobus_angolensis_palliatus
ENSRBIP00000006587	ENSRBIG00000026761	Rhinopithecus_bieti
ENSMMUP00000081245	ENSMMUG00000041566	Macaca_mulatta
ENSSBOP00000025024	ENSSBOG00000028981	Saimiri_boliviensis_boliviensis
ENSCCAP00000039862	ENSCCAG00000037737	Cebus_capucinus_imitator
ENSCJAP00000028234	ENSCJAG00000015328	Callithrix_jacchus
ENSANAP00000023791	ENSANAG00000029644	Aotus_nancymaae
ENSCLAP00000003391	ENSCLAG00000002429	Chinchilla_lanigera
ENSODEP00000022338	ENSODEG00000016398	Octodon_degus
ENSCAPP00000016564	ENSCAPG00000016426	Cavia_aperea
ENSCPOP00000022908	ENSCPOG00000033476	Cavia_porcellus
ENSHGLP00100008305	ENSHGLG00100006178	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000023679	ENSHGLG00000016894	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000021393	ENSFDAG00000007740	Fukomys_damarensis
ENSDORP00000019921	ENSDORG00000012171	Dipodomys_ordii
ENSMAUP00000019446	ENSMAUG00000017736	Mesocricetus_auratus
ENSMAUP00000023362	ENSMAUG00000020535	Mesocricetus_auratus
ENSMOCP00000008999	ENSMOCG00000009082	Microtus_ochrogaster
ENSRNOP00000033658	ENSRNOG00000050805	Rattus_norvegicus
ENSSTOP00000025981	ENSSTOG00000030762	Ictidomys_tridecemlineatus
ENSUPAP00010022602	ENSUPAG00010017932	Urocitellus_parryii
ENSMMMP00000013877	ENSMMMG00000012366	Marmota_marmota_marmota
ENSOPRP00000013565	ENSOPRG00000014852	Ochotona_princeps
MGP_SPRETEiJ_P0074402	MGP_SPRETEiJ_G0028895	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000098108	ENSMUSG00000029723	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000008639	ENSMSIG00000007669	Mus_spicilegus
MGP_CAROLIEiJ_P0071587	MGP_CAROLIEiJ_G0027890	Mus_caroli_strain_CAROLI_EIJ
ENSMUGP00000018072	ENSMUGG00000015323	Meriones_unguiculatus
ENSCGRP00000005550	ENSCGRG00000004066	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001011408	ENSCGRG00001013054	Cricetulus_griseus_CHOK1GS_HDv1
