ENSCHOP00000000116	ENSCHOG00000000135	Choloepus_hoffmanni
ENSDNOP00000005455	ENSDNOG00000007042	Dasypus_novemcinctus
ENSLAFP00000001833	ENSLAFG00000002193	Loxodonta_africana
ENSPCAP00000007890	ENSPCAG00000008444	Procavia_capensis
ENSETEP00000013973	ENSETEG00000017214	Echinops_telfairi
ENSCCNP00000008927	ENSCCNG00000009435	Castor_canadensis
ENSDORP00000000203	ENSDORG00000000221	Dipodomys_ordii
ENSCGRP00000016038	ENSCGRG00000011642	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001013082	ENSCGRG00001014317	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015000916	ENSCGRG00015000827	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000022681	ENSMAUG00000020043	Mesocricetus_auratus
ENSPEMP00000018808	ENSPEMG00000017291	Peromyscus_maniculatus_bairdii
ENSMOCP00000024868	ENSMOCG00000021149	Microtus_ochrogaster
ENSMSIP00000034068	ENSMSIG00000028453	Mus_spicilegus
MGP_SPRETEiJ_P0035932	MGP_SPRETEiJ_G0019385	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000060402	ENSMUSG00000043631	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0034306	MGP_CAROLIEiJ_G0018505	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0040914	MGP_PahariEiJ_G0019571	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000076346	ENSRNOG00000031716	Rattus_norvegicus
ENSRNOP00000063949	ENSRNOG00000045684	Rattus_norvegicus
ENSMUGP00000029740	ENSMUGG00000024699	Meriones_unguiculatus
ENSNGAP00000008835	ENSNGAG00000011706	Nannospalax_galili
ENSJJAP00000008249	ENSJJAG00000012441	Jaculus_jaculus
ENSUPAP00010009180	ENSUPAG00010007408	Urocitellus_parryii
ENSSTOP00000013651	ENSSTOG00000015223	Ictidomys_tridecemlineatus
ENSMMMP00000006881	ENSMMMG00000006158	Marmota_marmota_marmota
ENSSDAP00000020871	ENSSDAG00000018988	Spermophilus_dauricus
ENSCLAP00000001977	ENSCLAG00000001449	Chinchilla_lanigera
ENSODEP00000014632	ENSODEG00000010821	Octodon_degus
ENSCPOP00000029459	ENSCPOG00000026773	Cavia_porcellus
ENSCAPP00000009573	ENSCAPG00000011009	Cavia_aperea
ENSHGLP00000012502	ENSHGLG00000008935	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000022142	ENSFDAG00000007197	Fukomys_damarensis
ENSOCUP00000007169	ENSOCUG00000008288	Oryctolagus_cuniculus
ENSOPRP00000014228	ENSOPRG00000015582	Ochotona_princeps
ENSPPAP00000021116	ENSPPAG00000033779	Pan_paniscus
ENSPTRP00000036082	ENSPTRG00000021114	Pan_troglodytes
ENSP00000344758	ENSG00000106823	Homo_sapiens
ENSGGOP00000025292	ENSGGOG00000013631	Gorilla_gorilla
ENSPPYP00000021719	ENSPPYG00000019380	Pongo_abelii
ENSNLEP00000019984	ENSNLEG00000016451	Nomascus_leucogenys
ENSMNEP00000043066	ENSMNEG00000044237	Macaca_nemestrina
ENSMFAP00000003045	ENSMFAG00000034111	Macaca_fascicularis
ENSMMUP00000063290	ENSMMUG00000056929	Macaca_mulatta
ENSMLEP00000028465	ENSMLEG00000038449	Mandrillus_leucophaeus
ENSPANP00000019414	ENSPANG00000024730	Papio_anubis
ENSTGEP00000003149	ENSTGEG00000002693	Theropithecus_gelada
ENSCATP00000019654	ENSCATG00000033612	Cercocebus_atys
