ENSPMAP00000009163	ENSPMAG00000008324	Petromyzon_marinus	ENSPMAT00000009203
ENSPMAP00000003075	ENSPMAG00000002828	Petromyzon_marinus
ENSEBUP00000022716	ENSEBUG00000013929	Eptatretus_burgeri	ENSEBUT00000023292
ENSSFOP00015011455	ENSSFOG00015007413	Scleropages_formosus
ENSPKIP00000026475	ENSPKIG00000008946	Paramormyrops_kingsleyae
ENSEEEP00000027215	ENSEEEG00000013132	Electrophorus_electricus
ENSEEEP00000027213	ENSEEEG00000013131	Electrophorus_electricus
ENSPNAP00000025518	ENSPNAG00000010646	Pygocentrus_nattereri
ENSPNAP00000004110	ENSPNAG00000010625	Pygocentrus_nattereri
ENSAMXP00005016733	ENSAMXG00005008711	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000036778	ENSAMXG00000014817	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSIPUP00000014717	ENSIPUG00000010031	Ictalurus_punctatus
ENSDARP00000123630	ENSDARG00000023678	Danio_rerio
ENSDCDP00000039306	ENSDCDG00000026152	Denticeps_clupeoides
ENSPMGP00000001821	ENSPMGG00000001632	Periophthalmus_magnuspinnatus
ENSPMGP00000001795	ENSPMGG00000001609	Periophthalmus_magnuspinnatus
ENSAOCP00000021235	ENSAOCG00000005808	Amphiprion_ocellaris
ENSAOCP00000002675	ENSAOCG00000005837	Amphiprion_ocellaris
ENSAPEP00000030982	ENSAPEG00000022002	Amphiprion_percula
ENSAPOP00000002548	ENSAPOG00000004036	Acanthochromis_polyacanthus
ENSSPAP00000021268	ENSSPAG00000016040	Stegastes_partitus
ENSACIP00000028773	ENSACIG00000022271	Amphilophus_citrinellus
ENSACIP00000028799	ENSACIG00000022296	Amphilophus_citrinellus
ENSHBUP00000000451	ENSHBUG00000001620	Haplochromis_burtoni
ENSPNYP00000004552	ENSPNYG00000003544	Pundamilia_nyererei
ENSMZEP00005000684	ENSMZEG00005000629	Maylandia_zebra
ENSACLP00000035831	ENSACLG00000024257	Astatotilapia_calliptera
ENSNBRP00000023471	ENSNBRG00000017953	Neolamprologus_brichardi
ENSNBRP00000023491	ENSNBRG00000017983	Neolamprologus_brichardi
ENSPNYP00000004582	ENSPNYG00000003556	Pundamilia_nyererei
ENSONIP00000003922	ENSONIG00000003129	Oreochromis_niloticus
ENSTNIP00000012314	ENSTNIG00000009442	Tetraodon_nigroviridis
ENSTRUP00000044132	ENSTRUG00000017227	Takifugu_rubripes
ENSMMOP00000023780	ENSMMOG00000018099	Mola_mola
ENSLCRP00005062388	ENSLCRG00005022908	Larimichthys_crocea
ENSCGOP00000036852	ENSCGOG00000017024	Cottoperca_gobio
ENSGACP00000020166	ENSGACG00000015292	Gasterosteus_aculeatus
ENSLBEP00000016945	ENSLBEG00000013058	Labrus_bergylta
ENSHCOP00000002276	ENSHCOG00000003386	Hippocampus_comes
ENSHCOP00000002291	ENSHCOG00000003418	Hippocampus_comes
ENSLCAP00010021891	ENSLCAG00010010310	Lates_calcarifer
ENSSMAP00000034887	ENSSMAG00000021320	Scophthalmus_maximus
ENSSDUP00000008670	ENSSDUG00000006374	Seriola_dumerili
ENSSLDP00000001332	ENSSLDG00000001074	Seriola_lalandi_dorsalis
ENSMALP00000023192	ENSMALG00000016173	Monopterus_albus
ENSMAMP00000004724	ENSMAMG00000003197	Mastacembelus_armatus
ENSATEP00000018275	ENSATEG00000012667	Anabas_testudineus
ENSLBEP00000016887	ENSLBEG00000013019	Labrus_bergylta
ENSTNIP00000004215	ENSTNIG00000001841	Tetraodon_nigroviridis
ENSAPEP00000030991	ENSAPEG00000022018	Amphiprion_percula
ENSPFOP00000009224	ENSPFOG00000009287	Poecilia_formosa
ENSPLAP00000008240	ENSPLAG00000010748	Poecilia_latipinna
ENSPMEP00000034064	ENSPMEG00000022975	Poecilia_mexicana
ENSPREP00000032160	ENSPREG00000021777	Poecilia_reticulata
ENSXMAP00000019246	ENSXMAG00000019207	Xiphophorus_maculatus
ENSXCOP00000003648	ENSXCOG00000002868	Xiphophorus_couchianus
ENSGAFP00000018068	ENSGAFG00000012232	Gambusia_affinis
ENSFHEP00000030245	ENSFHEG00000015447	Fundulus_heteroclitus
ENSCVAP00000027475	ENSCVAG00000013835	Cyprinodon_variegatus
ENSKMAP00000029766	ENSKMAG00000022019	Kryptolebias_marmoratus
ENSOMEP00000015209	ENSOMEG00000016762	Oryzias_melastigma
ENSOMEP00000015229	ENSOMEG00000016797	Oryzias_melastigma
ENSORLP00000006287	ENSORLG00000004984	Oryzias_latipes_ASM223467v1
ENSORLP00015030769	ENSORLG00015014610	Oryzias_latipes_ASM223469v1
ENSORLP00020031213	ENSORLG00020016109	Oryzias_latipes_ASM223471v1
ENSPRNP00000012742	ENSPRNG00000007040	Parambassis_ranga
ENSBSLP00000004511	ENSBSLG00000002340	Betta_splendens
ENSCSEP00000009585	ENSCSEG00000006148	Cynoglossus_semilaevis
ENSGWIP00000026792	ENSGWIG00000014055	Gouania_willdenowi
ENSGMOP00000009197	ENSGMOG00000008588	Gadus_morhua
ENSELUP00000026612	ENSELUG00000001486	Esox_lucius
ENSLOCP00000012313	ENSLOCG00000010061	Lepisosteus_oculatus	ENSLOCT00000012334
ENSAHAP00000020684	ENSAHAG00000014539	Apteryx_haastii
ENSAOWP00000000661	ENSAOWG00000000517	Apteryx_owenii
ENSARWP00000017605	ENSARWG00000012110	Apteryx_rowi
ENSDNVP00000015204	ENSDNVG00000010702	Dromaius_novaehollandiae
ENSNPEP00000018842	ENSNPEG00000014046	Nothoprocta_perdicaria
ENSABRP00000022201	ENSABRG00000018808	Anser_brachyrhynchus
ENSAPLP00000004545	ENSAPLG00000004995	Anas_platyrhynchos_platyrhynchos
