ENSARWP00000017748	ENSARWG00000012201	Apteryx_rowi
ENSZALP00000005277	ENSZALG00000004906	Zonotrichia_albicollis
ENSOANP00000031535	ENSOANG00000031247	Ornithorhynchus_anatinus
MGP_SPRETEiJ_P0076475	MGP_SPRETEiJ_G0029335	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0076475
ENSMSIP00000001261	ENSMSIG00000001238	Mus_spicilegus
ENSMUSP00000098989	ENSMUSG00000045466	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0073617	MGP_CAROLIEiJ_G0028331	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0049727	MGP_PahariEiJ_G0022088	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000056030	ENSRNOG00000026874	Rattus_norvegicus
ENSMUGP00000025575	ENSMUGG00000021326	Meriones_unguiculatus
ENSCGRP00015010809	ENSCGRG00015008326	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000024165	ENSCGRG00000017517	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001013280	ENSCGRG00001014461	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000017186	ENSMAUG00000016124	Mesocricetus_auratus
ENSMOCP00000007678	ENSMOCG00000007530	Microtus_ochrogaster
ENSPEMP00000032999	ENSPEMG00000028517	Peromyscus_maniculatus_bairdii
ENSNGAP00000025571	ENSNGAG00000023477	Nannospalax_galili
ENSCCNP00000012503	ENSCCNG00000012990	Castor_canadensis
ENSSTOP00000015584	ENSSTOG00000022081	Ictidomys_tridecemlineatus
ENSUPAP00010026058	ENSUPAG00010020603	Urocitellus_parryii
ENSSDAP00000016647	ENSSDAG00000015062	Spermophilus_dauricus
ENSMMMP00000007764	ENSMMMG00000006955	Marmota_marmota_marmota
ENSOCUP00000030025	ENSOCUG00000038553	Oryctolagus_cuniculus
ENSPTEP00000031334	ENSPTEG00000030299	Piliocolobus_tephrosceles
ENSDNOP00000026717	ENSDNOG00000031181	Dasypus_novemcinctus
ENSMODP00000059867	ENSMODG00000043340	Monodelphis_domestica
ENSSHAP00000021656	ENSSHAG00000018340	Sarcophilus_harrisii
ENSPCIP00000011670	ENSPCIG00000009333	Phascolarctos_cinereus
ENSOANP00000024035	ENSOANG00000031069	Ornithorhynchus_anatinus
ENSAOWP00000006786	ENSAOWG00000004671	Apteryx_owenii
ENSAHAP00000001117	ENSAHAG00000000976	Apteryx_haastii
ENSGAGP00000025700	ENSGAGG00000018764	Gopherus_agassizii
ENSSMRP00000022230	ENSSMRG00000017280	Salvator_merianae
