ENSPMAP00000003124	ENSPMAG00000002864	Petromyzon_marinus	ENSPMAT00000003139
ENSPMAP00000000956	ENSPMAG00000000862	Petromyzon_marinus	ENSPMAT00000000960
ENSEBUP00000002495	ENSEBUG00000001846	Eptatretus_burgeri	ENSEBUT00000002849
ENSPMGP00000014725	ENSPMGG00000012065	Periophthalmus_magnuspinnatus
ENSHCOP00000007296	ENSHCOG00000009259	Hippocampus_comes
ENSNBRP00000011780	ENSNBRG00000009168	Neolamprologus_brichardi
ENSAOCP00000008755	ENSAOCG00000000796	Amphiprion_ocellaris
ENSSMAP00000001505	ENSSMAG00000000966	Scophthalmus_maximus
ENSCSEP00000014747	ENSCSEG00000009485	Cynoglossus_semilaevis
ENSTRUP00000004969	ENSTRUG00000002165	Takifugu_rubripes
ENSTNIP00000007775	ENSTNIG00000005107	Tetraodon_nigroviridis
ENSMMOP00000012948	ENSMMOG00000009940	Mola_mola
ENSMALP00000017858	ENSMALG00000012457	Monopterus_albus
ENSMAMP00000034923	ENSMAMG00000023455	Mastacembelus_armatus
ENSLBEP00000035788	ENSLBEG00000026826	Labrus_bergylta
ENSGACP00000025693	ENSGACG00000019422	Gasterosteus_aculeatus
ENSLCRP00005062872	ENSLCRG00005022917	Larimichthys_crocea
ENSSDUP00000023449	ENSSDUG00000017054	Seriola_dumerili
ENSSLDP00000010647	ENSSLDG00000008457	Seriola_lalandi_dorsalis
ENSLCAP00010033728	ENSLCAG00010015700	Lates_calcarifer
ENSATEP00000002591	ENSATEG00000001866	Anabas_testudineus
ENSCGOP00000052637	ENSCGOG00000023086	Cottoperca_gobio
ENSBSLP00000020586	ENSBSLG00000009565	Betta_splendens
ENSAPEP00000028242	ENSAPEG00000020049	Amphiprion_percula
ENSAOCP00000013579	ENSAOCG00000018226	Amphiprion_ocellaris	ENSAOCT00000031097
ENSAPOP00000001092	ENSAPOG00000002329	Acanthochromis_polyacanthus
ENSPRNP00000012018	ENSPRNG00000002401	Parambassis_ranga
ENSFHEP00000004944	ENSFHEG00000005867	Fundulus_heteroclitus	ENSFHET00000007994
ENSCVAP00000000841	ENSCVAG00000001788	Cyprinodon_variegatus	ENSCVAT00000014395
ENSPFOP00000022982	ENSPFOG00000021811	Poecilia_formosa	ENSPFOT00000028796
ENSPLAP00000010199	ENSPLAG00000013069	Poecilia_latipinna	ENSPLAT00000028730
ENSPMEP00000004837	ENSPMEG00000006127	Poecilia_mexicana	ENSPMET00000008506
ENSPREP00000020087	ENSPREG00000013595	Poecilia_reticulata	ENSPRET00000020299
ENSGAFP00000009191	ENSGAFG00000006247	Gambusia_affinis	ENSGAFT00000009282
ENSXMAP00000027874	ENSXMAG00000026749	Xiphophorus_maculatus	ENSXMAT00000030904
ENSXCOP00000020249	ENSXCOG00000015182	Xiphophorus_couchianus	ENSXCOT00000020497
ENSKMAP00000016248	ENSKMAG00000012098	Kryptolebias_marmoratus
