ENSPSMP00000004548	ENSPSMG00000003632	Prolemur_simus
ENSPPYP00000007009	ENSPPYG00000006168	Pongo_abelii
ENSCGRP00015025614	ENSCGRG00015019459	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001013575	ENSCGRG00001014678	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000002310	ENSMAUG00000001867	Mesocricetus_auratus
ENSPEMP00000029305	ENSPEMG00000029489	Peromyscus_maniculatus_bairdii
ENSMUSP00000010673	ENSMUSG00000010529	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000010208	ENSMSIG00000008953	Mus_spicilegus
MGP_SPRETEiJ_P0034950	MGP_SPRETEiJ_G0018982	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0033411	MGP_CAROLIEiJ_G0018133	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0083527	MGP_PahariEiJ_G0029890	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000049780	ENSRNOG00000033736	Rattus_norvegicus
ENSMUGP00000022176	ENSMUGG00000018619	Meriones_unguiculatus
ENSMUGP00000019285	ENSMUGG00000016353	Meriones_unguiculatus
ENSCCNP00000028511	ENSCCNG00000027456	Castor_canadensis
ENSMMMP00000004543	ENSMMMG00000004126	Marmota_marmota_marmota
ENSUPAP00010022597	ENSUPAG00010017927	Urocitellus_parryii
ENSSTOP00000023807	ENSSTOG00000022018	Ictidomys_tridecemlineatus
ENSSDAP00000007351	ENSSDAG00000006727	Spermophilus_dauricus
ENSDORP00000020653	ENSDORG00000027857	Dipodomys_ordii
ENSOGAP00000019345	ENSOGAG00000030713	Otolemur_garnettii
ENSNVIP00000016430	ENSNVIG00000012876	Neovison_vison
ENSMPUP00000019043	ENSMPUG00000019166	Mustela_putorius_furo
ENSUAMP00000033097	ENSUAMG00000025229	Ursus_americanus
ENSPPRP00000028093	ENSPPRG00000020034	Panthera_pardus
ENSFCAP00000061258	ENSFCAG00000047159	Felis_catus
ENSCAFP00020010829	ENSCAFG00020008767	Canis_lupus_dingo
ENSVVUP00000000500	ENSVVUG00000000435	Vulpes_vulpes
ENSBIXP00005033070	ENSBIXG00005013727	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000031430	ENSBIXG00000006176	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000055404	ENSBTAG00000047319	Bos_taurus
ENSBBBP00000016438	ENSBBBG00000006381	Bison_bison_bison
ENSCHIP00000005998	ENSCHIG00000009953	Capra_hircus
ENSOARP00000014947	ENSOARG00000013927	Ovis_aries
ENSECAP00000024531	ENSECAG00000037072	Equus_caballus
ENSEASP00005005513	ENSEASG00005004073	Equus_asinus_asinus
ENSLAFP00000026321	ENSLAFG00000026093	Loxodonta_africana
