ENSPCOP00000031389	ENSPCOG00000028464	Propithecus_coquereli
ENSPSIP00000008635	ENSPSIG00000007850	Pelodiscus_sinensis
ENSAPOP00000026297	ENSAPOG00000000288	Acanthochromis_polyacanthus
ENSACAP00000000431	ENSACAG00000000452	Anolis_carolinensis	ENSACAT00000000448
ENSOANP00000007276	ENSOANG00000004590	Ornithorhynchus_anatinus
ENSAPLP00000021476	ENSAPLG00000004545	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000003429	ENSMGAG00000003690	Meleagris_gallopavo
ENSSSCP00000068793	ENSSSCG00000032250	Sus_scrofa_strain_reference
ENSBIXP00005030279	ENSBIXG00005007426	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSRROP00000022194	ENSRROG00000034980	Rhinopithecus_roxellana
ENSCAFP00000036664	ENSCAFG00000013537	Canis_lupus_familiaris
ENSCJPP00005011424	ENSCJPG00005009813	Coturnix_japonica
ENSPCIP00000044082	ENSPCIG00000031434	Phascolarctos_cinereus
ENSPANP00000003829	ENSPANG00000000776	Papio_anubis
ENSPTRP00000033040	ENSPTRG00000019317	Pan_troglodytes
ENSECAP00000019556	ENSECAG00000022142	Equus_caballus
ENSLACP00000009072	ENSLACG00000008008	Latimeria_chalumnae
ENSPPRP00000012832	ENSPPRG00000006254	Panthera_pardus
ENSCJAP00000030000	ENSCJAG00000016307	Callithrix_jacchus
ENSSTOP00000012710	ENSSTOG00000014181	Ictidomys_tridecemlineatus
ENSPMJP00000025950	ENSPMJG00000018978	Parus_major
ENSCSEP00000017098	ENSCSEG00000010978	Cynoglossus_semilaevis
ENSNLEP00000010268	ENSNLEG00000008423	Nomascus_leucogenys
ENSMSIP00000014184	ENSMSIG00000012244	Mus_spicilegus
ENSPEMP00000011841	ENSPEMG00000012358	Peromyscus_maniculatus_bairdii
ENSCSAP00000014156	ENSCSAG00000018140	Chlorocebus_sabaeus
ENSMALP00000001080	ENSMALG00000000844	Monopterus_albus
ENSORLP00015021491	ENSORLG00015022712	Oryzias_latipes_ASM223469v1
ENSPKIP00000040153	ENSPKIG00000017233	Paramormyrops_kingsleyae
ENSIPUP00000018329	ENSIPUG00000012467	Ictalurus_punctatus
ENSPMEP00000010084	ENSPMEG00000011981	Poecilia_mexicana
ENSAMXP00005056752	ENSAMXG00005025166	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSOGAP00000019314	ENSOGAG00000030805	Otolemur_garnettii
ENSKMAP00000018122	ENSKMAG00000013495	Kryptolebias_marmoratus
MGP_CAROLIEiJ_P0071368	MGP_CAROLIEiJ_G0027845	Mus_caroli_strain_CAROLI_EIJ
ENSABRP00000001693	ENSABRG00000001730	Anser_brachyrhynchus
ENSCCAP00000030641	ENSCCAG00000033359	Cebus_capucinus_imitator
