ENSPPAP00000012641	ENSPPAG00000029500	Pan_paniscus
ENSPTRP00000071557	ENSPTRG00000013351	Pan_troglodytes
ENSGGOP00000005258	ENSGGOG00000005372	Gorilla_gorilla
ENSP00000365492	ENSG00000180483	Homo_sapiens
ENSPPYP00000012154	ENSPPYG00000010881	Pongo_abelii
ENSNLEP00000011640	ENSNLEG00000009568	Nomascus_leucogenys
ENSRROP00000042044	ENSRROG00000044181	Rhinopithecus_roxellana	ENSRROT00000066547
ENSRBIP00000041503	ENSRBIG00000044078	Rhinopithecus_bieti	ENSRBIT00000065540
ENSCANP00000000390	ENSCANG00000001438	Colobus_angolensis_palliatus
ENSMLEP00000028569	ENSMLEG00000038512	Mandrillus_leucophaeus
ENSCATP00000012243	ENSCATG00000030298	Cercocebus_atys
ENSMFAP00000023743	ENSMFAG00000043509	Macaca_fascicularis
ENSMMUP00000011536	ENSMMUG00000008796	Macaca_mulatta
ENSMNEP00000005531	ENSMNEG00000025134	Macaca_nemestrina
ENSPANP00000022972	ENSPANG00000018092	Papio_anubis
ENSCCAP00000039219	ENSCCAG00000037434	Cebus_capucinus_imitator
ENSSBOP00000026808	ENSSBOG00000029835	Saimiri_boliviensis_boliviensis
ENSCJAP00000074180	ENSCJAG00000056466	Callithrix_jacchus
ENSANAP00000022443	ENSANAG00000028989	Aotus_nancymaae
ENSTSYP00000011676	ENSTSYG00000012729	Carlito_syrichta
ENSPCOP00000010449	ENSPCOG00000016692	Propithecus_coquereli
ENSPSMP00000004097	ENSPSMG00000003290	Prolemur_simus
ENSMICP00000013341	ENSMICG00000014645	Microcebus_murinus
ENSOGAP00000018713	ENSOGAG00000032304	Otolemur_garnettii
ENSOCUP00000028471	ENSOCUG00000030606	Oryctolagus_cuniculus
ENSOPRP00000012390	ENSOPRG00000013598	Ochotona_princeps
ENSSTOP00000004099	ENSSTOG00000004584	Ictidomys_tridecemlineatus
ENSTBEP00000009025	ENSTBEG00000010456	Tupaia_belangeri
ENSUAMP00000030622	ENSUAMG00000023516	Ursus_americanus
ENSAMEP00000014501	ENSAMEG00000013774	Ailuropoda_melanoleuca
ENSVVUP00000011344	ENSVVUG00000008359	Vulpes_vulpes
ENSCAFP00020005072	ENSCAFG00020004168	Canis_lupus_dingo
ENSPTIP00000013023	ENSPTIG00000012897	Panthera_tigris_altaica
ENSPPRP00000001014	ENSPPRG00000024430	Panthera_pardus
ENSFCAP00000029822	ENSFCAG00000039915	Felis_catus
ENSPVAP00000007794	ENSPVAG00000008252	Pteropus_vampyrus
ENSECAP00000030738	ENSECAG00000029172	Equus_caballus
ENSEASP00005004840	ENSEASG00005003647	Equus_asinus_asinus
ENSCHIP00000019655	ENSCHIG00000018593	Capra_hircus
ENSCHOP00000008745	ENSCHOG00000009885	Choloepus_hoffmanni
ENSDNOP00000031307	ENSDNOG00000043181	Dasypus_novemcinctus
