ENSPCAP00000011034	ENSPCAG00000011836	Procavia_capensis	ENSPCAT00000011812
ENSLAFP00000026305	ENSLAFG00000030707	Loxodonta_africana	ENSLAFT00000032147
ENSETEP00000002891	ENSETEG00000003525	Echinops_telfairi	ENSETET00000003524
ENSVPAP00000008444	ENSVPAG00000009074	Vicugna_pacos
ENSSSCP00000039940	ENSSSCG00000031307	Sus_scrofa_strain_reference
ENSTTRP00000005144	ENSTTRG00000005456	Tursiops_truncatus
ENSSARP00000006068	ENSSARG00000006711	Sorex_araneus	ENSSART00000006689
ENSEEUP00000009548	ENSEEUG00000010470	Erinaceus_europaeus	ENSEEUT00000010474
ENSPVAP00000008117	ENSPVAG00000008598	Pteropus_vampyrus
ENSTBEP00000010568	ENSTBEG00000012205	Tupaia_belangeri
ENSUAMP00000035332	ENSUAMG00000026823	Ursus_americanus
ENSUMAP00000020343	ENSUMAG00000014884	Ursus_maritimus
ENSAMEP00000012707	ENSAMEG00000012076	Ailuropoda_melanoleuca
ENSNVIP00000008969	ENSNVIG00000007112	Neovison_vison
ENSCAFP00000025046	ENSCAFG00000017016	Canis_lupus_familiaris
ENSCAFP00020030151	ENSCAFG00020023495	Canis_lupus_dingo
ENSVVUP00000005499	ENSVVUG00000004316	Vulpes_vulpes
ENSFCAP00000056946	ENSFCAG00000053017	Felis_catus
ENSBIXP00005028782	ENSBIXG00005008532	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000005962	ENSBIXG00000001117	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000053481	ENSBTAG00000043979	Bos_taurus
ENSBMUP00000029964	ENSBMUG00000022389	Bos_mutus
ENSBBBP00000013005	ENSBBBG00000020655	Bison_bison_bison
ENSOARP00000005495	ENSOARG00000005125	Ovis_aries
ENSEASP00005027320	ENSEASG00005018623	Equus_asinus_asinus
ENSECAP00000045369	ENSECAG00000030190	Equus_caballus
ENSSTOP00000019923	ENSSTOG00000024093	Ictidomys_tridecemlineatus
ENSUPAP00010007053	ENSUPAG00010005686	Urocitellus_parryii
ENSMMMP00000025896	ENSMMMG00000022701	Marmota_marmota_marmota
ENSFDAP00000012223	ENSFDAG00000006735	Fukomys_damarensis
ENSCGRP00001004485	ENSCGRG00001005718	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000026760	ENSCGRG00000019851	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015028405	ENSCGRG00015021506	Cricetulus_griseus_CriGri-PICR
ENSPEMP00000034239	ENSPEMG00000024353	Peromyscus_maniculatus_bairdii
ENSMUSP00000039866	ENSMUSG00000038994	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000023542	ENSMSIG00000019945	Mus_spicilegus
MGP_SPRETEiJ_P0030741	MGP_SPRETEiJ_G0017841	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0029325	MGP_CAROLIEiJ_G0016996	Mus_caroli_strain_CAROLI_EIJ
ENSRNOP00000037497	ENSRNOG00000024041	Rattus_norvegicus
ENSMUGP00000012185	ENSMUGG00000010630	Meriones_unguiculatus
ENSOCUP00000010593	ENSOCUG00000012304	Oryctolagus_cuniculus
ENSOPRP00000012001	ENSOPRG00000013165	Ochotona_princeps
ENSPSMP00000034898	ENSPSMG00000024052	Prolemur_simus
ENSOGAP00000018668	ENSOGAG00000027712	Otolemur_garnettii
ENSCJAP00000069825	ENSCJAG00000058292	Callithrix_jacchus
ENSSBOP00000032417	ENSSBOG00000032392	Saimiri_boliviensis_boliviensis
ENSPTRP00000080121	ENSPTRG00000046816	Pan_troglodytes
ENSGGOP00000012882	ENSGGOG00000013204	Gorilla_gorilla
ENSPPYP00000010030	ENSPPYG00000008936	Pongo_abelii
ENSNLEP00000010955	ENSNLEG00000008990	Nomascus_leucogenys
ENSRBIP00000023262	ENSRBIG00000035550	Rhinopithecus_bieti
ENSRROP00000017334	ENSRROG00000032771	Rhinopithecus_roxellana
ENSCANP00000012516	ENSCANG00000029657	Colobus_angolensis_palliatus
ENSMFAP00000006505	ENSMFAG00000033947	Macaca_fascicularis
ENSMNEP00000005491	ENSMNEG00000024961	Macaca_nemestrina
ENSPANP00000020219	ENSPANG00000022597	Papio_anubis
ENSCATP00000044843	ENSCATG00000044884	Cercocebus_atys
ENSDNOP00000020094	ENSDNOG00000042871	Dasypus_novemcinctus
MGP_PahariEiJ_P0036035	MGP_PahariEiJ_G0018125	Mus_pahari_strain_PAHARI_EIJ
ENSSHAP00000015659	ENSSHAG00000013343	Sarcophilus_harrisii
ENSMODP00000056464	ENSMODG00000043992	Monodelphis_domestica
